plate,meaning,gpt_cluster_meaning,gpt_classification,zeroshot_cluster_meaning,zeroshot_classification,unified_gpt_classification,unified_zeroshot_classification
MDL 3SOM,THREESOME SEXUAL REFERENCE,Sexual References,5,Sexual References,4,5,5
LAHUEVA,SIMILAR TO AHUEVO WHICH MEANS FUCK YEAH IN SPANISH,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
POS BUG,PIECE OF SHIT BUG,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
DX SZN,DICK SEASON,Sexual References,5,Sexual References,4,5,5
MEAT ME,MY FAMILY OWNS A MEAT DISTRIBUTION COMPANY AND IT IS A CLEVER PLATE CONSIDERING ALL MY FAMILY MEMBERS HAVE MEAT RELATED PLATES,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
MDRNWGN,MODERN WAGON,Vehicle Related,8,Vehicle Related,0,3,3
DK$LOVE,LOOKS LIKE DICKLOVE,Sexual References,5,Sexual References,4,5,5
1UGOBLK,"ONCE YOU GO BLACK, YOU NEVER GO BACK SEXUAL REFERENCE",Vehicle Related,3,Sexual References,4,3,5
JADEAD,JAH DEAD,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
$TAPPED,Love TAPPED,Sexual References,5,Sexual References,4,5,5
TRD FURY,"TURD FURY, ani shows 2 Toyota cars",Vehicle Related,8,Vehicle Related,0,3,3
FYF,URBAN SAYS FUCK YOUR FEELINGS BUT NOT MANY THUMBS UP 43 UP 13 DOWN,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
HBLHSTL,HUMBLE HUSTLE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
CHKNNTZ,Chicken Nuts,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BJ69GTO,"BJ AND 69, SEXUAL REFERENCE (CANT SEE 1969)",Vehicle Related,8,Sexual References,4,3,5
NGOC666,666 MARK OF THE BEAST,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
SUR FIRE,SUREFIRE,Explicit and Vulgar Language,2,Weapons,3,1,4
FURFAN,LOVE ALL ANIMALS (FURRY),Cats and Pets,7,Cats and Pets,6,7,7
KTY MOBL,PUSSY WAGON?,Vehicle Related,8,Vehicle Related,0,3,3
H982 FKD,"first, looks like fucked. Second, is a take on the controversial plate aired on Top Gear (H982 FKL) that was thought to be making fun of the Faukland War of 1982. H982 FKL is marked unacceptable",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
2FKNSLO,TOO FUCKIN SLOW,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
PHILDZZ,LOOKS LIKE FEEL DEEZ LIKE DEEZ NUTS CUSTOMERS NAME IS PHIL,Explicit and Vulgar Language,2,Sexual References,4,1,5
BBRELAX,MY INITIALS AND I LIKE TO RELAX BECAUSE IM  RETIRED,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
LTLBLU,NAME OF MY CAR IS LITTLE BLUE,Vehicle Related,3,Vehicle Related,0,3,3
YOU SLOW,YOU SLOW,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
AG GT5OH,GET THE FUCK OUTTA HERE,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
SKYBOXD,SKY BOXED BOXD HIGH,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
1CUSHJD,URBAN DICTIONARY SAYS IT IS HYDROPHONIZ MARIJUANA AND KUSH IS A MAGAZINE ON MARIJUANA,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
GDFELAS,GOOD FELLAS IN A MOB GANG MOVIE,Gang and Drug References,0,Gang and Drug References,2,0,0
SB BOB1,CITY/NAME,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
MONKYMO,MONKEY MO IS MY NICKNAME,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
SHAKE 4M,SHAKE FOR THEM - Cant see ANI for Dodge Challenger,Vehicle Related,8,Vehicle Related,0,3,3
N LV TNT,TNT BOMB E,Weapons,4,Weapons,3,4,4
IMNUDY,MY FRIENDS CALL ME NUDY INSTEAD OF MY NAME NUTI. ITS ALWAYS MISPRONOUNCED BUT COMES OUT AS NUDY ALL THROUGH HIGH SCHOOL. SO MY NICKNAME IS MATTHEW NUDY IM NUDE-Y. CUSTOMERS LAST NAME IS NUTI,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
NFGIVN,NO FUCKS GIVEN,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
22A3VOM,MOVE ASS,Explicit and Vulgar Language,2,Sexual References,4,1,5
BISH BUS,"BISH(OP) IS OUR LAST NAME, AND BUS IS A NICKNAME FOR OUR FAMILIES FIRST SUV BITCH BUS.. CUSTOMER LAST NAME IS BISHOP",Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
KLL*JOY/,"KILL AND JOY, KILL CAN BE OFFENSIVE",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
LAZYCAT,JUST LAZY. MY CAT IS LAZY.,Cats and Pets,7,Cats and Pets,6,7,7
DAM ESE,DAMN ESE,Explicit and Vulgar Language,2,Sexual References,4,1,5
SYCOPTH,PSYCHOPATH,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
DOZER NO,DOZER=SLANG FOR MARIJUANA,Gang and Drug References,0,Gang and Drug References,2,0,0
SIC FISH,SICK FISH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
URFANCY,THAT YOUR FANCY,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
LAROOKA,OLDER LADY in chilean slang,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BOSTN BS,BS LOOKS LIKE BULL SHIT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
TOITACO,TOYOTA TACOMA,Vehicle Related,8,Vehicle Related,0,3,3
MYDIX4U,MY DICK IS FOR YOU,Explicit and Vulgar Language,2,Sexual References,4,1,5
BLEUSTL,BLUE STEEL.,Vehicle Related,3,Vehicle Related,0,3,3
PLZDNH8,PLEASE DONT HATE,Explicit and Vulgar Language,1,Personal Names and Sentimental Values,5,1,6
CATS GE,COMPANY NAME CATS,Cats and Pets,7,Cats and Pets,6,7,7
SAMS TT,TT SEXUAL REFERENCE,Sexual References,5,Sexual References,4,5,5
SUPTNRA,NRA-NATIONAL RIFLE ASSOCIATION,Weapons,4,Weapons,3,4,4
MOMLSHT,MOMLL SHIT MOM WILL SHIT,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
LRG RED,IT IS A BIG STATION WAGON THAT IS PAINTED RED,Vehicle Related,8,Vehicle Related,0,3,3
NOKJEFE,JEFE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
NEGRO49,BLACK 1949 PULLED FOR NEGRO,Vehicle Related,3,Vehicle Related,0,3,3
D MALO,THE (D) STANDS FOR MY NAME DANIEL.  THE PART MALO IS THE OPPOSITE OF MY LAST NAME IN SPANISH(BUENO).,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
B MOIST,SEXUAL,Sexual References,5,Sexual References,4,5,5
PPABRN,POPPA BROWN PP,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
DURDEE,COULD HAVE SEXUAL CONNOTATION,Sexual References,5,Sexual References,4,5,5
H8DES,FAVORITE GREEK MYTH,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
G VANYA,VANYA - GIFT OF GOD; G STANDS FOR GOSWAMI WHICH IS MY LAST NAME,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
6 CHORNI,google translate  says it means horney,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
SED8N RN,SEDATING RN,Personal Names and Sentimental Values,6,Sexual References,4,6,5
GOFUKIT,GO FUCK IT,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
CMXXV,"925 IN ROMAN NUMERALS, AREA CODE",Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
H8MENOW,Hate me now,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
$JAP G,JAP IS RACIALLY OFFENSIVE,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
ADVTACO,ADVENTURE TACOMA,Vehicle Related,8,Vehicle Related,0,3,3
THOTIE,THOT IS ANOTHER WORD FOR HOE/SLUT,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
818GIRL,VALLEY GIRL 818 = AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
SWTWAGN,SWEET WAGON,Vehicle Related,8,Vehicle Related,0,3,3
LUV WORM,COULD HAVE SEXUAL CONNOTATION,Sexual References,5,Sexual References,4,5,5
LOL AF,LOL = LAUGH OUT LOUD AF = MY STANDUP COMEDY NAME ALEX FUNNY,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
GSOLMAN,FIRST INITIAL AND LAST NAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
DOPEG37,"DOPE, DRUG REFERENCE",Gang and Drug References,0,Gang and Drug References,2,0,0
FN FUN,FUCKING FUN,Explicit and Vulgar Language,1,Sexual References,4,1,5
REDCROC,RED CROC,Vehicle Related,3,Vehicle Related,0,3,3
RED LDR,SCI-FI MOVIE REFERENCE. RED LEADER.,Vehicle Related,3,Explicit and Vulgar Language,1,3,1
ITZ DOPE,ITS COOL,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
HELL BAE,HELL,Explicit and Vulgar Language,2,Sexual References,4,1,5
CICARIO,SICARIO MEANS HITMAN OR HIRED KILLER IN SPANISH,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
BLZMBL,"BLAZE MOBILE, DRUG REFERENCE",Gang and Drug References,0,Vehicle Related,0,0,3
NEG POS,ELECTRIC VEHICLE,Vehicle Related,8,Vehicle Related,0,3,3
WAN KAH,WANKER A SLANG WORD FOR SOMEONE WHO UPSETS YOU,Gang and Drug References,0,Weapons,3,0,4
SOLO MOB,MOB,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
FAQ BISH,FUCK BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
1T1I1T1,SAYS TIT WITH NUMBERS IN BETWEEN THE LETTERS,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
559JATT,559 IS MY AREA CODE AND JATT MEANING IS HARD WORKINGMAN 559 FRESNO AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
1 BD BECH,1 BAD BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
53OCALI,"WANTING TO REPRESENT CALIFORNIA 530 IS CUSTOMERS AREA CODE IN ORLAND, CA",Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
HTNFOOL,HATIN FOOL,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
FUN FD,FUN FOOD,Explicit and Vulgar Language,2,Cats and Pets,6,1,7
1NSTY V,ONE NASTY V,Sexual References,5,Vehicle Related,0,5,3
WEEEEED,WEED,Gang and Drug References,0,Weapons,3,0,4
TYJUICY,THANK YOU TO MY DECEASED HUSBAND PULLED FOR JUICY,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
DUB JUKE,my nickname is dub. I own a nissan juke car. dub can have a drug connotation,Gang and Drug References,0,Vehicle Related,0,0,3
DR DABS,"NICKNAME DABS=BUTANE HASH OIL, DRUG CONNOTATION",Gang and Drug References,0,Gang and Drug References,2,0,0
U CUTEAF,YOU CUTE AS FUCK,Explicit and Vulgar Language,1,Sexual References,4,1,5
31O HB,AREA CODE HERMOSA BEACH 310 = AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
DMNBLUE,DAMN BLUE,Vehicle Related,3,Explicit and Vulgar Language,1,3,1
DOUGHHO,STUFFED BAKERY DOUGH MAKER HOE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
SEXXER,SEXER,Explicit and Vulgar Language,2,Sexual References,4,1,5
YOWMOMA,YO MOMMA,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
DRTYHRS,MUDDY 4X4 FORD BRONCO. BRONCO IS THE HORSE EMBLEM ON THE TRUCK COULD HAVE SEXUAL CONNOTATION,Vehicle Related,8,Vehicle Related,0,3,3
BADDA6O,LOOKS LIKE BAD ASS 60,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
BUD1956,"BUD CAN MEAN MARIJUANA, NOT HIS NAME",Gang and Drug References,0,Gang and Drug References,2,0,0
MYOPUS1,"MY CAR IS LIKE A FINE WINE. PUS CAN BE SHORT FOR PUSSY, SEXUAL",Vehicle Related,8,Vehicle Related,0,3,3
818 CODE,CA AREA CODE,Area Codes and Regional Pride,9,Area Codes and Regional Pride,7,2,2
FTW DYNA,FUCK THE WORLD,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
NEGRA 50,"IT A 2017 FORD MUSTANG 5.0 AND ITS ALL BLACK, SO NEGRA IS BLACK IN SPANISH AND 5O ITS FOR 5.0",Vehicle Related,3,Vehicle Related,0,3,3
NO PNDJO,NO PENDEJO SPANISH CURSE WORD,Gang and Drug References,0,Vehicle Related,0,0,3
18 KWH,BATTERY CAPACITY OF THE VOLT,Vehicle Related,8,Vehicle Related,0,3,3
B HALLS,STAND ALONE B=BITCH (ALSO SOUNDS LIKE BALLS) CUSTOMER IS BRYAN HALL,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
MOJO VAN,MY NICKNAME,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
H8N BMPS,HATEN?,Explicit and Vulgar Language,1,Weapons,3,1,4
DAF,DOWN AS FUCK,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
DARWIN14,NAME AND BIRTHDAY,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
SUBIE AF,THE CAR IS A SUBARU AND MY INTITIALS ARE AF AF CAN STAND FOR AS FUCK (CUSTOMERS INITIALS ARE AF),Vehicle Related,8,Vehicle Related,0,3,3
GRMAG,GRAMA LOVES HER GRANDKIDS,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
18BYH94,BRIAN YOSEF HINOJOSA 18/1994,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
DICKARD,DICK HARD,Sexual References,5,Explicit and Vulgar Language,1,5,1
ONW2 FYB,ON MY WAY 2 FUCK YOUR BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
WAASSUP,WHATS UP...HOW ARE YOU DOING ASS UP?,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
DRTYTYZ,"OFFROAD DIRT TOYS FOR MY TRAILER DIRTY TOYS, COULD BE CONSIDERED SEXUAL",Vehicle Related,8,Sexual References,4,3,5
FLAT6 9K,"FLAT 6 ENGINE IN PORSCHE GT3 THAT REVS TO 9,000RPM",Vehicle Related,8,Vehicle Related,0,3,3
K SERO,NICKNAME CAT,Cats and Pets,7,Cats and Pets,6,7,7
R8RDUKY,RUBBER DUCKY,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
LYV FISH,"THE OWNER IS A FISHERMAN AND SELLS LIVE FISH OFF HIS BOAT. ALSO HIS LAST NAME IS LYFORD, SO IT HAS A DOUBLE MEANING",Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
CRDKILR,"CROWD CONTROL (MUSTANG JOKE) KILLER, HOSTILE",Vehicle Related,8,Explicit and Vulgar Language,1,3,1
COPNOPE,I DRIVE A RETIRED CROWN VICTORIA POLICE INTERCEPTOR AND I WANT TO EMPHASIZE THAT IM NOT A COP,Weapons,4,Vehicle Related,0,4,3
IDO1214,WEDDING DATE,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
MS14FEB,MISS VELENTINE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
Y H8 ME,WHY HATE ME,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
TCBLAMF,"TAKIN CARE OF BUSINESS LIKE A MO FO. - ITS JUST COOL, NO AFFILIATION TO ANYTHING. :)",Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
6872 V14,"BIRTH YEARS FOR ME, WIFE, DAUGHTER 14 = GANG NUMBER",Personal Names and Sentimental Values,6,Gang and Drug References,2,6,0
6EBELLE,NICKNAME SEXY BELLE,Personal Names and Sentimental Values,6,Sexual References,4,6,5
BYE PIG,PIG COP,Explicit and Vulgar Language,2,Gang and Drug References,2,1,0
TAP D IN,TAPPED IN COULD HAVE SEXUAL CONNOTATION,Sexual References,5,Sexual References,4,5,5
BDASGRM,BAD ASS GRANDMA,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
1 MAD O,ONE MAD HOE(O),Explicit and Vulgar Language,2,Vehicle Related,0,1,3
OLDHAG,"OLD WOMAN HAG, SOME MAY TAKE OFFENSE",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
1 BAM F,BADASS MOTHER FUCKER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
13KH73B,MY FAVORITE NUMBER 13 AND MY BIRTH YEAR 73 AND INITIALS HB 13 = GANG NUMBER,Personal Names and Sentimental Values,6,Gang and Drug References,2,6,0
LUKYA55,LUCKY ASS,Explicit and Vulgar Language,2,Sexual References,4,1,5
LIT LAW,COMPANY NAME LIT=HIGH OR DRUNK. CUSTOMER FIRST NAME IS LITLIT,Gang and Drug References,0,Gang and Drug References,2,0,0
BIOSKLR,INTERNET NICKNAME KILLER,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
DEWSHBG,DOUCHE BAG,Gang and Drug References,0,Gang and Drug References,2,0,0
39891,A NUMBER ASSIGNED TO ME BY MY JOB THAT IM VERY PROUD OF,Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
SMOKEUN,"HUSBAND RETIRED FIREMAN. CAR IS GRAY THAT LOOKS LIKE SMOKE. SMOKIN, COULD BE DRUG REFERENCE",Gang and Drug References,0,Vehicle Related,0,0,3
SKYHY,SKY HIGH VERY HIGH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
OKAY CUH,OKAY FRIEND OR COUSIN,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
5OACRES,50 ACRES OF LAND,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
LOL PP,LOL pp=peepee=penis,Sexual References,5,Sexual References,4,5,5
889 88,88 HITLER REFERENCE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
2 CREAMY,FAMILY NICKNAME TOO ME IT SOUNDS SEXUAL,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
O311 MM,MY HUSBAND WAS IN THE MARINE CORPS AND HIS MOS WAS 0311 AND HIS INITIALS ARE MM,Weapons,4,Personal Names and Sentimental Values,5,4,6
69ZOMBI,CAR MAKE AND MODEL,Vehicle Related,8,Vehicle Related,0,3,3
PSTLROS,PISTOL,Weapons,4,Weapons,3,4,4
TELLE B,TELLE BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
HBGRL1 3,HUNTINGTON BEACH LOCAL GIRL 13 = GANG NUMBER,Personal Names and Sentimental Values,6,Sexual References,4,6,5
LEO13H4,LEO MY SON 13 HIS DAY OF BIRTH H FOR HERNANDEZ 04 HIS FROM APRIL 13=GANG,Personal Names and Sentimental Values,6,Personal Names and Sentimental Values,5,6,6
PHQDKHD,"PHQ COULD STAND FOR FUCK AND DK COULD BE DICK, VULGAR TERMS",Sexual References,5,Explicit and Vulgar Language,1,5,1
WUTANNG,ITS A GROUP OF TALENTED MUSIC ARTISTS BACK IN THE EARLY 90S. MY FAVORITE GROUP.,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
BIGMO69,NICKNAME PULLED FOR 69 Cant see ANI,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
DR STANK,WIFE HAS A DOCTORATE IN EDUCATION AND STANK IS A NICKNAME Urban Dictionary says it means whoreish trashy or stinky and can have sexual connotationsâ€¦?,Gang and Drug References,0,Sexual References,4,0,5
STIDFWU,STI IS MY CARS NAME FROM SUBARU. SUBARU STI AND DFWU MEANS I DONâ€™T WANT ANY TROUBLES I DONâ€™T FUCK WITH YOU,Vehicle Related,8,Vehicle Related,0,3,3
DVLMOBL,DEVIL MOBILE,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
AMF HTRS,ALL MY FAMILY HAS TWO RIGHT SHOES- WE ARE ALL BALLROOM DANCERS AND ITS AN INSIDE JOKE,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
FNH FAL,FN FAL IS A SEMI AUTOMATIC RIFLE,Weapons,4,Weapons,3,4,4
BEES HUM,"HONEY BEES HUM, AS IN SINGING HUM CAN HAVE SEXUAL CONNOTATIONS",Vehicle Related,8,Sexual References,4,3,5
CANABCH,cannabeach is a medical marijuana delivery service,Weapons,4,Vehicle Related,0,4,3
CAZZO,ITALIAN FOR FUCK,Gang and Drug References,0,Sexual References,4,0,5
69CUDIE,FOR MY 1969 BARRACUDA COULDNT VERIFY 1969. CUDIE..SEX,Vehicle Related,8,Sexual References,4,3,5
BUBZS,BOOBS,Explicit and Vulgar Language,2,Sexual References,4,1,5
FADYNP,COULD BE FATTY NIP (NIPPLE),Explicit and Vulgar Language,2,Sexual References,4,1,5
HY ROLER,HIGH ROLLER COULD BE DRUG REFERENCE,Gang and Drug References,0,Gang and Drug References,2,0,0
GSLILCR,GLORIA SASSES LITTLE CAR,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
RSQKTY,rescue kitty,Cats and Pets,7,Cats and Pets,6,7,7
WET WLYS,WET WILLYS,Sexual References,5,Weapons,3,5,4
SHIV OO1,"NAMED AFTER MY SON, WHOSE NAME IS SHIV. WE WOULD LIKE TO GIFT HIM THIS LICENSE PLATE AS A LIFETIME MEMORABILIA BY NAMING OUR FIRST LUXURY CAR AFTER HIS NAME. SHIV = HOMEMADE KNIFE, COMMONLY USED PRISON TERM (SHIV, SHIV1, SHIV2 are released.)",Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
JDUBS,"DUB, DRUG REFERENCE",Gang and Drug References,0,Gang and Drug References,2,0,0
MI HYNA,GANGSTER GIRL OR CHOLA,Gang and Drug References,0,Sexual References,4,0,5
LOCO8N1,CRAZY 8,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
KLR 65OE,"650 AREA CODE, KILLER",Area Codes and Regional Pride,9,Explicit and Vulgar Language,1,2,1
EL CHOPR,"NICK NAME THE CHOPPER, HOSTILE",Personal Names and Sentimental Values,6,Vehicle Related,0,6,3
2TITG1B,TIT-LIKE BREAST?,Explicit and Vulgar Language,2,Sexual References,4,1,5
BKICKER,"KICKER OR LOOKS LIKE B, KICK HER",Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
IFUWKIT,I FUCK WITH IT,Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
GUEROSI,FAMILY NAME,Personal Names and Sentimental Values,6,Cats and Pets,6,6,7
GASSSUC,GAS SUCKS,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
HLYWDHI,"LOOKS LIKE HOLLYWOOD HI, DRUG FEREFENCE",Gang and Drug References,0,Gang and Drug References,2,0,0
PDEWAGN,PADY WAGON,Vehicle Related,8,Vehicle Related,0,3,3
TRILL OG,TRILOGY OG = ORIGINAL GANGSTER,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
6939OC6,69/ YEAR OF TRUCK 1969 390/ ENGINE SIZE. C6/ TRANSMISSION TYPE,Vehicle Related,8,Vehicle Related,0,3,3
1776US1,AMERICAN INDEPENDANCE,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
N54GANG,"GANG, GANG REFERENCE",Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
MLUVSTX,"LOVE STICKS, SEXUAL REFERENCE TO A PENIS",Sexual References,5,Sexual References,4,5,5
DEEPRED,"RED, GANG REFERENCE (OR POLITICAL?)",Vehicle Related,3,Explicit and Vulgar Language,1,3,1
KATHELL,HELL CAT IS NAME OF OUR MODEL CAR,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
LOVE BJ,LOVE BJ BLOW JOB,Sexual References,5,Sexual References,4,5,5
BETHE B,BE THE BITCH,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
ICEUP,ICE UP MEANS STEP YOUR GAME UP ICE IS ANOTHER WORD FOR DRUGS,Gang and Drug References,0,Gang and Drug References,2,0,0
PWNED13,VARIATION OF THE WORD OWNED. IMPLIES DOMINATION AND MY DATE OF BIRTH IS THE 13TH 13 = GANG NUMBER,Personal Names and Sentimental Values,6,Gang and Drug References,2,6,0
MUFAXUH,MOTHER FUCKER,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
ARCE,"SIMILAR TO ARSE, ANOTHER WORD FOR ASS",Explicit and Vulgar Language,2,Sexual References,4,1,5
8O8POKE,HAWAIIN STYLE POKE,Explicit and Vulgar Language,2,Area Codes and Regional Pride,7,1,2
75TH JP,75TH ANNIVERSARY JEEP,Vehicle Related,8,Vehicle Related,0,3,3
HITMAN,"IN MEETING MY PERSONAL GOAL OF OWNING A LINCOLN MARK V, HITTING THE MARK! KILLER",Explicit and Vulgar Language,2,Vehicle Related,0,1,3
88BURNZ,NUMBER AND NAME OF FAVORITE SAN JOSE SHARKS PLAYER,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
WSUPESE,WHATS UP ESE GANG SLANG?,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
RED TOP,"REFERENCE TO COMPANY, RED TOP SPORT CENTER IN STOCKTON CA.",Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
CRYRMOB,CRYER FAMILY MOB=CRIME FAMILY OR MEMBER OF BLOODS Cryer is family name,Personal Names and Sentimental Values,6,Explicit and Vulgar Language,1,6,1
DINAN AF,THIS PLATE WILL BE GOING ON TO A RARE BMW THAT WAS BUILT BY DINAN AUTOMOTIVE FIRSTS AF = AS FUCK,Gang and Drug References,0,Vehicle Related,0,0,3
BLK PC,BLACK PORSCHE CARRERA,Vehicle Related,8,Vehicle Related,0,3,3
MUTANT G,"THE PLATE REPRESENTS A CUSTOMIZED VEHICLE BASED ON A TV ANIMATED SERIES, TEENAGE MUTANT NINJA TURTLES G=GANGSTER",Vehicle Related,8,Vehicle Related,0,3,3
FIGHTS,FIGHTS=VIOLENCE,Explicit and Vulgar Language,2,Weapons,3,1,4
BRYTBLU,BRIGHT BLUE BLUE- GANG COLOR,Vehicle Related,3,Sexual References,4,3,5
CHEEEX,CHEEKS=ASS,Explicit and Vulgar Language,2,Sexual References,4,1,5
BCH4YOU,IM A REAL ESTATE AGENT WHO SELLS BEACH PROPERT BEACH FOR YOU OR BITCH FOR YOU,Explicit and Vulgar Language,2,Explicit and Vulgar Language,1,1,1
HAT3,"HATE (not a lookalike or sub, customer last name is Hatfield)",Explicit and Vulgar Language,1,Explicit and Vulgar Language,1,1,1
BLK SVGE,SAVAGE=A CRUDE OR UNCIVILIZED PERSON; A FIERCE OR VICIOUS PERSON,Explicit and Vulgar Language,2,Vehicle Related,0,1,3
HIF4LFE,HI FOR LIFE,Explicit and Vulgar Language,2,Personal Names and Sentimental Values,5,1,6
UTRA GNZ,UTRA GNZ(GUNS),Weapons,4,Weapons,3,4,4
RUSSO13,RUSSO=RUSSIAN 13-GANG,Gang and Drug References,0,Explicit and Vulgar Language,1,0,1
