plate,meaning,classification_agglo,cluster_meaning
GOFUKIT,GO FUCK IT,3,Explicit and Vulgar Language
CMXXV,"925 IN ROMAN NUMERALS, AREA CODE",4,Regional Pride and Area Codes
H8MENOW,Hate me now,3,Explicit and Vulgar Language
$JAP G,JAP IS RACIALLY OFFENSIVE,2,"Gang, Drugs, and Street Culture"
ADVTACO,ADVENTURE TACOMA,1,Edgy Humor and Random Slang
THOTIE,THOT IS ANOTHER WORD FOR HOE/SLUT,0,Vehicle Descriptions and Colors
818GIRL,VALLEY GIRL 818 = AREA CODE,4,Regional Pride and Area Codes
SWTWAGN,SWEET WAGON,1,Edgy Humor and Random Slang
LUV WORM,COULD HAVE SEXUAL CONNOTATION,5,Sexual References
LOL AF,LOL = LAUGH OUT LOUD AF = MY STANDUP COMEDY NAME ALEX FUNNY,0,Vehicle Descriptions and Colors
GSOLMAN,FIRST INITIAL AND LAST NAME,6,Personal Names and Sentiments
DOPEG37,"DOPE, DRUG REFERENCE",2,"Gang, Drugs, and Street Culture"
FN FUN,FUCKING FUN,3,Explicit and Vulgar Language
REDCROC,RED CROC,1,Edgy Humor and Random Slang
RED LDR,SCI-FI MOVIE REFERENCE. RED LEADER.,1,Edgy Humor and Random Slang
ITZ DOPE,ITS COOL,0,Vehicle Descriptions and Colors
HELL BAE,HELL,0,Vehicle Descriptions and Colors
CICARIO,SICARIO MEANS HITMAN OR HIRED KILLER IN SPANISH,2,"Gang, Drugs, and Street Culture"
BLZMBL,"BLAZE MOBILE, DRUG REFERENCE",2,"Gang, Drugs, and Street Culture"
NEG POS,ELECTRIC VEHICLE,1,Edgy Humor and Random Slang
WAN KAH,WANKER A SLANG WORD FOR SOMEONE WHO UPSETS YOU,2,"Gang, Drugs, and Street Culture"
SOLO MOB,MOB,0,Vehicle Descriptions and Colors
FAQ BISH,FUCK BITCH,0,Vehicle Descriptions and Colors
1T1I1T1,SAYS TIT WITH NUMBERS IN BETWEEN THE LETTERS,6,Personal Names and Sentiments
559JATT,559 IS MY AREA CODE AND JATT MEANING IS HARD WORKINGMAN 559 FRESNO AREA CODE,4,Regional Pride and Area Codes
1 BD BECH,1 BAD BITCH,0,Vehicle Descriptions and Colors
53OCALI,"WANTING TO REPRESENT CALIFORNIA 530 IS CUSTOMERS AREA CODE IN ORLAND, CA",4,Regional Pride and Area Codes
HTNFOOL,HATIN FOOL,0,Vehicle Descriptions and Colors
FUN FD,FUN FOOD,0,Vehicle Descriptions and Colors
1NSTY V,ONE NASTY V,5,Sexual References
WEEEEED,WEED,2,"Gang, Drugs, and Street Culture"
TYJUICY,THANK YOU TO MY DECEASED HUSBAND PULLED FOR JUICY,0,Vehicle Descriptions and Colors
DUB JUKE,my nickname is dub. I own a nissan juke car. dub can have a drug connotation,2,"Gang, Drugs, and Street Culture"
DR DABS,"NICKNAME DABS=BUTANE HASH OIL, DRUG CONNOTATION",2,"Gang, Drugs, and Street Culture"
U CUTEAF,YOU CUTE AS FUCK,3,Explicit and Vulgar Language
31O HB,AREA CODE HERMOSA BEACH 310 = AREA CODE,4,Regional Pride and Area Codes
DMNBLUE,DAMN BLUE,1,Edgy Humor and Random Slang
DOUGHHO,STUFFED BAKERY DOUGH MAKER HOE,0,Vehicle Descriptions and Colors
SEXXER,SEXER,0,Vehicle Descriptions and Colors
YOWMOMA,YO MOMMA,0,Vehicle Descriptions and Colors
DRTYHRS,MUDDY 4X4 FORD BRONCO. BRONCO IS THE HORSE EMBLEM ON THE TRUCK COULD HAVE SEXUAL CONNOTATION,1,Edgy Humor and Random Slang
BADDA6O,LOOKS LIKE BAD ASS 60,0,Vehicle Descriptions and Colors
BUD1956,"BUD CAN MEAN MARIJUANA, NOT HIS NAME",2,"Gang, Drugs, and Street Culture"
MYOPUS1,"MY CAR IS LIKE A FINE WINE. PUS CAN BE SHORT FOR PUSSY, SEXUAL",1,Edgy Humor and Random Slang
818 CODE,CA AREA CODE,4,Regional Pride and Area Codes
FTW DYNA,FUCK THE WORLD,3,Explicit and Vulgar Language
NEGRA 50,"IT A 2017 FORD MUSTANG 5.0 AND ITS ALL BLACK, SO NEGRA IS BLACK IN SPANISH AND 5O ITS FOR 5.0",1,Edgy Humor and Random Slang
NO PNDJO,NO PENDEJO SPANISH CURSE WORD,2,"Gang, Drugs, and Street Culture"
18 KWH,BATTERY CAPACITY OF THE VOLT,1,Edgy Humor and Random Slang
B HALLS,STAND ALONE B=BITCH (ALSO SOUNDS LIKE BALLS) CUSTOMER IS BRYAN HALL,0,Vehicle Descriptions and Colors
MOJO VAN,MY NICKNAME,6,Personal Names and Sentiments
H8N BMPS,HATEN?,3,Explicit and Vulgar Language
DAF,DOWN AS FUCK,3,Explicit and Vulgar Language
DARWIN14,NAME AND BIRTHDAY,6,Personal Names and Sentiments
SUBIE AF,THE CAR IS A SUBARU AND MY INTITIALS ARE AF AF CAN STAND FOR AS FUCK (CUSTOMERS INITIALS ARE AF),1,Edgy Humor and Random Slang
GRMAG,GRAMA LOVES HER GRANDKIDS,0,Vehicle Descriptions and Colors
18BYH94,BRIAN YOSEF HINOJOSA 18/1994,0,Vehicle Descriptions and Colors
DICKARD,DICK HARD,5,Sexual References
ONW2 FYB,ON MY WAY 2 FUCK YOUR BITCH,0,Vehicle Descriptions and Colors
WAASSUP,WHATS UP...HOW ARE YOU DOING ASS UP?,0,Vehicle Descriptions and Colors
DRTYTYZ,"OFFROAD DIRT TOYS FOR MY TRAILER DIRTY TOYS, COULD BE CONSIDERED SEXUAL",1,Edgy Humor and Random Slang
FLAT6 9K,"FLAT 6 ENGINE IN PORSCHE GT3 THAT REVS TO 9,000RPM",1,Edgy Humor and Random Slang
K SERO,NICKNAME CAT,0,Vehicle Descriptions and Colors
R8RDUKY,RUBBER DUCKY,0,Vehicle Descriptions and Colors
LYV FISH,"THE OWNER IS A FISHERMAN AND SELLS LIVE FISH OFF HIS BOAT. ALSO HIS LAST NAME IS LYFORD, SO IT HAS A DOUBLE MEANING",6,Personal Names and Sentiments
CRDKILR,"CROWD CONTROL (MUSTANG JOKE) KILLER, HOSTILE",1,Edgy Humor and Random Slang
COPNOPE,I DRIVE A RETIRED CROWN VICTORIA POLICE INTERCEPTOR AND I WANT TO EMPHASIZE THAT IM NOT A COP,0,Vehicle Descriptions and Colors
IDO1214,WEDDING DATE,6,Personal Names and Sentiments
MS14FEB,MISS VELENTINE,0,Vehicle Descriptions and Colors
Y H8 ME,WHY HATE ME,3,Explicit and Vulgar Language
TCBLAMF,"TAKIN CARE OF BUSINESS LIKE A MO FO. - ITS JUST COOL, NO AFFILIATION TO ANYTHING. :)",6,Personal Names and Sentiments
6872 V14,"BIRTH YEARS FOR ME, WIFE, DAUGHTER 14 = GANG NUMBER",6,Personal Names and Sentiments
6EBELLE,NICKNAME SEXY BELLE,6,Personal Names and Sentiments
BYE PIG,PIG COP,0,Vehicle Descriptions and Colors
TAP D IN,TAPPED IN COULD HAVE SEXUAL CONNOTATION,5,Sexual References
BDASGRM,BAD ASS GRANDMA,0,Vehicle Descriptions and Colors
1 MAD O,ONE MAD HOE(O),0,Vehicle Descriptions and Colors
OLDHAG,"OLD WOMAN HAG, SOME MAY TAKE OFFENSE",0,Vehicle Descriptions and Colors
1 BAM F,BADASS MOTHER FUCKER,0,Vehicle Descriptions and Colors
13KH73B,MY FAVORITE NUMBER 13 AND MY BIRTH YEAR 73 AND INITIALS HB 13 = GANG NUMBER,6,Personal Names and Sentiments
LUKYA55,LUCKY ASS,0,Vehicle Descriptions and Colors
LIT LAW,COMPANY NAME LIT=HIGH OR DRUNK. CUSTOMER FIRST NAME IS LITLIT,2,"Gang, Drugs, and Street Culture"
BIOSKLR,INTERNET NICKNAME KILLER,6,Personal Names and Sentiments
DEWSHBG,DOUCHE BAG,2,"Gang, Drugs, and Street Culture"
39891,A NUMBER ASSIGNED TO ME BY MY JOB THAT IM VERY PROUD OF,6,Personal Names and Sentiments
SMOKEUN,"HUSBAND RETIRED FIREMAN. CAR IS GRAY THAT LOOKS LIKE SMOKE. SMOKIN, COULD BE DRUG REFERENCE",2,"Gang, Drugs, and Street Culture"
SKYHY,SKY HIGH VERY HIGH,0,Vehicle Descriptions and Colors
OKAY CUH,OKAY FRIEND OR COUSIN,0,Vehicle Descriptions and Colors
5OACRES,50 ACRES OF LAND,0,Vehicle Descriptions and Colors
LOL PP,LOL pp=peepee=penis,5,Sexual References
889 88,88 HITLER REFERENCE,0,Vehicle Descriptions and Colors
2 CREAMY,FAMILY NICKNAME TOO ME IT SOUNDS SEXUAL,6,Personal Names and Sentiments
O311 MM,MY HUSBAND WAS IN THE MARINE CORPS AND HIS MOS WAS 0311 AND HIS INITIALS ARE MM,0,Vehicle Descriptions and Colors
69ZOMBI,CAR MAKE AND MODEL,1,Edgy Humor and Random Slang
PSTLROS,PISTOL,0,Vehicle Descriptions and Colors
TELLE B,TELLE BITCH,0,Vehicle Descriptions and Colors
HBGRL1 3,HUNTINGTON BEACH LOCAL GIRL 13 = GANG NUMBER,6,Personal Names and Sentiments
LEO13H4,LEO MY SON 13 HIS DAY OF BIRTH H FOR HERNANDEZ 04 HIS FROM APRIL 13=GANG,6,Personal Names and Sentiments
PHQDKHD,"PHQ COULD STAND FOR FUCK AND DK COULD BE DICK, VULGAR TERMS",5,Sexual References
WUTANNG,ITS A GROUP OF TALENTED MUSIC ARTISTS BACK IN THE EARLY 90S. MY FAVORITE GROUP.,0,Vehicle Descriptions and Colors
BIGMO69,NICKNAME PULLED FOR 69 Cant see ANI,6,Personal Names and Sentiments
DR STANK,WIFE HAS A DOCTORATE IN EDUCATION AND STANK IS A NICKNAME Urban Dictionary says it means whoreish trashy or stinky and can have sexual connotationsâ€¦?,2,"Gang, Drugs, and Street Culture"
STIDFWU,STI IS MY CARS NAME FROM SUBARU. SUBARU STI AND DFWU MEANS I DONâ€™T WANT ANY TROUBLES I DONâ€™T FUCK WITH YOU,1,Edgy Humor and Random Slang
DVLMOBL,DEVIL MOBILE,0,Vehicle Descriptions and Colors
AMF HTRS,ALL MY FAMILY HAS TWO RIGHT SHOES- WE ARE ALL BALLROOM DANCERS AND ITS AN INSIDE JOKE,0,Vehicle Descriptions and Colors
FNH FAL,FN FAL IS A SEMI AUTOMATIC RIFLE,0,Vehicle Descriptions and Colors
BEES HUM,"HONEY BEES HUM, AS IN SINGING HUM CAN HAVE SEXUAL CONNOTATIONS",1,Edgy Humor and Random Slang
CANABCH,cannabeach is a medical marijuana delivery service,0,Vehicle Descriptions and Colors
CAZZO,ITALIAN FOR FUCK,2,"Gang, Drugs, and Street Culture"
69CUDIE,FOR MY 1969 BARRACUDA COULDNT VERIFY 1969. CUDIE..SEX,1,Edgy Humor and Random Slang
BUBZS,BOOBS,0,Vehicle Descriptions and Colors
FADYNP,COULD BE FATTY NIP (NIPPLE),0,Vehicle Descriptions and Colors
HY ROLER,HIGH ROLLER COULD BE DRUG REFERENCE,2,"Gang, Drugs, and Street Culture"
GSLILCR,GLORIA SASSES LITTLE CAR,0,Vehicle Descriptions and Colors
RSQKTY,rescue kitty,0,Vehicle Descriptions and Colors
WET WLYS,WET WILLYS,5,Sexual References
SHIV OO1,"NAMED AFTER MY SON, WHOSE NAME IS SHIV. WE WOULD LIKE TO GIFT HIM THIS LICENSE PLATE AS A LIFETIME MEMORABILIA BY NAMING OUR FIRST LUXURY CAR AFTER HIS NAME. SHIV = HOMEMADE KNIFE, COMMONLY USED PRISON TERM (SHIV, SHIV1, SHIV2 are released.)",6,Personal Names and Sentiments
JDUBS,"DUB, DRUG REFERENCE",2,"Gang, Drugs, and Street Culture"
MI HYNA,GANGSTER GIRL OR CHOLA,2,"Gang, Drugs, and Street Culture"
LOCO8N1,CRAZY 8,0,Vehicle Descriptions and Colors
KLR 65OE,"650 AREA CODE, KILLER",4,Regional Pride and Area Codes
EL CHOPR,"NICK NAME THE CHOPPER, HOSTILE",6,Personal Names and Sentiments
2TITG1B,TIT-LIKE BREAST?,0,Vehicle Descriptions and Colors
BKICKER,"KICKER OR LOOKS LIKE B, KICK HER",0,Vehicle Descriptions and Colors
IFUWKIT,I FUCK WITH IT,3,Explicit and Vulgar Language
GUEROSI,FAMILY NAME,6,Personal Names and Sentiments
GASSSUC,GAS SUCKS,0,Vehicle Descriptions and Colors
HLYWDHI,"LOOKS LIKE HOLLYWOOD HI, DRUG FEREFENCE",2,"Gang, Drugs, and Street Culture"
PDEWAGN,PADY WAGON,1,Edgy Humor and Random Slang
TRILL OG,TRILOGY OG = ORIGINAL GANGSTER,2,"Gang, Drugs, and Street Culture"
6939OC6,69/ YEAR OF TRUCK 1969 390/ ENGINE SIZE. C6/ TRANSMISSION TYPE,1,Edgy Humor and Random Slang
1776US1,AMERICAN INDEPENDANCE,0,Vehicle Descriptions and Colors
N54GANG,"GANG, GANG REFERENCE",2,"Gang, Drugs, and Street Culture"
MLUVSTX,"LOVE STICKS, SEXUAL REFERENCE TO A PENIS",5,Sexual References
DEEPRED,"RED, GANG REFERENCE (OR POLITICAL?)",1,Edgy Humor and Random Slang
KATHELL,HELL CAT IS NAME OF OUR MODEL CAR,0,Vehicle Descriptions and Colors
LOVE BJ,LOVE BJ BLOW JOB,5,Sexual References
BETHE B,BE THE BITCH,0,Vehicle Descriptions and Colors
ICEUP,ICE UP MEANS STEP YOUR GAME UP ICE IS ANOTHER WORD FOR DRUGS,2,"Gang, Drugs, and Street Culture"
PWNED13,VARIATION OF THE WORD OWNED. IMPLIES DOMINATION AND MY DATE OF BIRTH IS THE 13TH 13 = GANG NUMBER,6,Personal Names and Sentiments
MUFAXUH,MOTHER FUCKER,0,Vehicle Descriptions and Colors
ARCE,"SIMILAR TO ARSE, ANOTHER WORD FOR ASS",0,Vehicle Descriptions and Colors
8O8POKE,HAWAIIN STYLE POKE,0,Vehicle Descriptions and Colors
75TH JP,75TH ANNIVERSARY JEEP,1,Edgy Humor and Random Slang
HITMAN,"IN MEETING MY PERSONAL GOAL OF OWNING A LINCOLN MARK V, HITTING THE MARK! KILLER",0,Vehicle Descriptions and Colors
88BURNZ,NUMBER AND NAME OF FAVORITE SAN JOSE SHARKS PLAYER,0,Vehicle Descriptions and Colors
WSUPESE,WHATS UP ESE GANG SLANG?,2,"Gang, Drugs, and Street Culture"
RED TOP,"REFERENCE TO COMPANY, RED TOP SPORT CENTER IN STOCKTON CA.",6,Personal Names and Sentiments
CRYRMOB,CRYER FAMILY MOB=CRIME FAMILY OR MEMBER OF BLOODS Cryer is family name,6,Personal Names and Sentiments
DINAN AF,THIS PLATE WILL BE GOING ON TO A RARE BMW THAT WAS BUILT BY DINAN AUTOMOTIVE FIRSTS AF = AS FUCK,2,"Gang, Drugs, and Street Culture"
BLK PC,BLACK PORSCHE CARRERA,1,Edgy Humor and Random Slang
MUTANT G,"THE PLATE REPRESENTS A CUSTOMIZED VEHICLE BASED ON A TV ANIMATED SERIES, TEENAGE MUTANT NINJA TURTLES G=GANGSTER",1,Edgy Humor and Random Slang
FIGHTS,FIGHTS=VIOLENCE,0,Vehicle Descriptions and Colors
BRYTBLU,BRIGHT BLUE BLUE- GANG COLOR,1,Edgy Humor and Random Slang
CHEEEX,CHEEKS=ASS,0,Vehicle Descriptions and Colors
BCH4YOU,IM A REAL ESTATE AGENT WHO SELLS BEACH PROPERT BEACH FOR YOU OR BITCH FOR YOU,0,Vehicle Descriptions and Colors
HAT3,"HATE (not a lookalike or sub, customer last name is Hatfield)",3,Explicit and Vulgar Language
BLK SVGE,SAVAGE=A CRUDE OR UNCIVILIZED PERSON; A FIERCE OR VICIOUS PERSON,0,Vehicle Descriptions and Colors
HIF4LFE,HI FOR LIFE,0,Vehicle Descriptions and Colors
UTRA GNZ,UTRA GNZ(GUNS),0,Vehicle Descriptions and Colors
RUSSO13,RUSSO=RUSSIAN 13-GANG,2,"Gang, Drugs, and Street Culture"
BLK911S,THE MAKE OF MY CAR IS A PORSCHE.  THE COLOR IS BLACK.  THE MODEL IS A  911S.,1,Edgy Humor and Random Slang
YRU1 2H8,WHY ARE YOU ONE TO HATE,3,Explicit and Vulgar Language
AGENCYG,"AGENCY G, GANG REFERENCE",2,"Gang, Drugs, and Street Culture"
ST4R W4R,STAR WARS,0,Vehicle Descriptions and Colors
4QIDGAF,IDGAF-I DONT GIVE A FUCK,3,Explicit and Vulgar Language
YUGO G,YOU GO G AS IN GANGSTER,2,"Gang, Drugs, and Street Culture"
NNJA HLR,NINJA HAULER,0,Vehicle Descriptions and Colors
COMEONB,COME ON B = BITCH,0,Vehicle Descriptions and Colors
C ME 4MJ,SEE ME FOR MARY JANE,0,Vehicle Descriptions and Colors
UR MVN,YOU ARE MOVING. I AM A REALTOR,0,Vehicle Descriptions and Colors
SCHIZAH,SHIT IN GERMAN,2,"Gang, Drugs, and Street Culture"
DFIESTA,"THE D COULD STAND FOR DICK, DICK PARTY",5,Sexual References
PIMPJCE,PIMP JUICE. A NELLY SONG. A DRINK. MOJO,0,Vehicle Descriptions and Colors
DNAZZTY,D(DICK?) NASTY,5,Sexual References
CUDA 7T,1970 CUDA,1,Edgy Humor and Random Slang
FUCKK IT,FUCK IT,3,Explicit and Vulgar Language
MALIBU G,MALIBU G-GANGSTER,2,"Gang, Drugs, and Street Culture"
5PTHOE,5 POINT/PATH HOE-WHORE.,0,Vehicle Descriptions and Colors
MNT CHP,MINT CHIP ICE CREAM,0,Vehicle Descriptions and Colors
SMOKY,SMOKY,2,"Gang, Drugs, and Street Culture"
JONKY,JUNKY?,0,Vehicle Descriptions and Colors
CRP INS,CRIP,0,Vehicle Descriptions and Colors
DEAD1CO,DEAD AND CO IS THE NAME OF A BAND I LOVE,0,Vehicle Descriptions and Colors
FLIPN RE,FLIPPING REAL ESTATE,0,Vehicle Descriptions and Colors
8183,BIRTH YEAR OF HUSBAND AND MYSELF,6,Personal Names and Sentiments
BONGSKE,BONG-WEED,2,"Gang, Drugs, and Street Culture"
13PSALM,RELIGIOUS,0,Vehicle Descriptions and Colors
OPD6M52,"OPD=OAKLAND POLICE DEPT, THE REST COULD BE A BADGE NUMBER (?)",0,Vehicle Descriptions and Colors
1PXIDST,PIXIE DUST COULD MEAN TINKERBELL COULD MEAN DRUGS,2,"Gang, Drugs, and Street Culture"
OG LARAM,ORIGINAL LOS ANGELES RAMS FAN OG=ORIGINAL GANGSTER,0,Vehicle Descriptions and Colors
JWLUV13,J W LOVE  13 FAVORITE NUMBER 13 = GANG NUMBER,6,Personal Names and Sentiments
PUMPGUY,I AM AN ENGINEER WHO DESIGNS AND SELLS MUNICIPAL PUMPS- ALSO CONSULTS ON PUMP OPERATIONS- I AM THE PUMP GUY PUMP GUY SEXUALL REFERENCE,5,Sexual References
FORDFX,MODEL OF MY CAR FX COULD STAND FOR FUCKS,1,Edgy Humor and Random Slang
#C4 28K,C4 EXPLOSIVE,0,Vehicle Descriptions and Colors
GTFO1O1,GTFO=GET THE FUCK OUT 101,2,"Gang, Drugs, and Street Culture"
6VISIX,666,0,Vehicle Descriptions and Colors
4A12K88,NAME AND BIRTHDATE,6,Personal Names and Sentiments
DOCVAJJ,"DOCTOR VAGINA, SEXUAL REFERENCE",5,Sexual References
1JMV69,"MY INITIALS AND BORN YEAR 69, SEXUAL REFERENCE",6,Personal Names and Sentiments
SUGAR88,SUGAR IS MY DADS NICKNAME FOR ME. THE NUMBER 88 WAS MY YOUNGER BROTHERS FOOTBALL JERSEY NUMBER. HE PASSED AWAY SEVERAL YEARS AGO AND HIS NUMBER IS SPECIAL TO ME.,6,Personal Names and Sentiments
MPG AF,MPG(MILES  PER GALLON?) AS FUCK!,1,Edgy Humor and Random Slang
ILS LOC,AVIATION APPROACHES LETTERS   ILSLOC IS INSTRUMENT LANDING SYSTEM LOCALIZER FOR PILOTS,0,Vehicle Descriptions and Colors
DOPE MK6,MK6 IS THE TYPE OF CAR I HAVE. DOPE=DRUG OR DOPE=COOL,2,"Gang, Drugs, and Street Culture"
ZRO5ONE,051 YM (YOUNG MONEY) SEEMS GANG RELATED THROUGH GOOGLE SEARCH,2,"Gang, Drugs, and Street Culture"
BON3SAW,"THIS IS MY NICKNAME AND COMES FROM SPIDERMAN MOVIE BONESAW, SOME MAY FIND IT OFFENSIVE (BONESAW LISTED AS UNACCEPTABLE)",6,Personal Names and Sentiments
WOODIE4,MY LAST NAME AND THE NUMBER OF PEOPLE IN MY FAMILY!,6,Personal Names and Sentiments
5IVEOHH,THE ENGINE TO MY CAR IM GETTING THESE FOR IS A 5.0 FIVE-0=COP REFERENCE,0,Vehicle Descriptions and Colors
2 SICK5O,FIVE-0=COP REFERENCE,0,Vehicle Descriptions and Colors
BKBUUTY,BLACK BEAUTY (TRUCK),1,Edgy Humor and Random Slang
MUDKITI,DIRTY KITTY?,0,Vehicle Descriptions and Colors
1 BOLBOL,Tagalog word means testicles,2,"Gang, Drugs, and Street Culture"
YUHAYTN,WHY YOU HATING,3,Explicit and Vulgar Language
JAPJIT,"PULLED FOR JAP, RACIALLY DEGRADING TERM (JAP SHIT?)",2,"Gang, Drugs, and Street Culture"
BACINGA,CAN MEAN FOOLED YOU WHEN JOKING AROUND AND PLAYING PRANKS ON PEOPLE BUT IT CAN ALSO MEAN COCK SUCKER IN GERMAN,2,"Gang, Drugs, and Street Culture"
BLUESTN,MY BUSINESS NAME BLUE STONE,6,Personal Names and Sentiments
NWA IE,NWA,0,Vehicle Descriptions and Colors
PUBER,LIKE UBER BUT PUBER. MY NAME IS PETER AND I DRIVE EVERYONE AROUND LIKE UBER. PUBE,1,Edgy Humor and Random Slang
KNKLS UP,KNUCKLES UP  THE NAME OF MY OFF ROAD GROUP..  YOUR KNUCKLES ARE UP WHEN RIDING  DIRT BIKES PREPARE TO FIGHT,0,Vehicle Descriptions and Colors
THREEPR,3 PERCENTER,0,Vehicle Descriptions and Colors
G BEAST,GUSTAVOS BEAST G AS IN GANGSTER,2,"Gang, Drugs, and Street Culture"
YE4PLAY,YEA PLAY OR YEA FOREPLAY,5,Sexual References
LIT,BASICALLY MEANS AWESOME OR COOL LIKE THAT IS COOL.. THAT IS LIT LIT CAN MEAN HIGH OR DRUNK,2,"Gang, Drugs, and Street Culture"
AJNDRVR,"I AM A FATHER OF THREE ADAM, JESSIE AND NIKKI WHOM I AM ALWAYS CARTING TO SCHOOL PRACTICE MOVIES AND DINNER. LOOKS LIKE ASIAN DRIVER",0,Vehicle Descriptions and Colors
FDGNEMO,NEW CAR ORANGE (FINDING) NEMO FAN,1,Edgy Humor and Random Slang
AMERI AF,PATRIOTICâ€¦.. AMERICAN AS FUCK,0,Vehicle Descriptions and Colors
CTM 72,EITHER CONCHA DE TU MADRE ( YOUR MOTHERS PUSSY) OR URBAN DICTIONARY SAYS: CONCHE TU MADRE=MOTHER FUCKER (its not his initials),2,"Gang, Drugs, and Street Culture"
69BSTNG,69 SEXUAL. (BEASTNG?),5,Sexual References
FLIPNLA,HOUSE FLIPPING,0,Vehicle Descriptions and Colors
JS4LUCY,JUST FOR LUCY,0,Vehicle Descriptions and Colors
RCO4FBI,"RICO(LAW) 4 FBI, LAW ENFORCEMENT REFERENCE",2,"Gang, Drugs, and Street Culture"
TS 13,13-GANG,6,Personal Names and Sentiments
BLZ EYE,BULLS EYE,0,Vehicle Descriptions and Colors
ZEUS666,ZUES 666(DENOTES EVIL),0,Vehicle Descriptions and Colors
FMLY CAT,FAMILY CAT,6,Personal Names and Sentiments
FSTRIDE,FAST RIDE,0,Vehicle Descriptions and Colors
BLUCRZY,STANDS FOR BLUE CRAZY. MOTORCYCLE IS BEAUTIFUL BLUE.,1,Edgy Humor and Random Slang
98 BEAVR,"I OWN A 1998 BEAVER MARQUIS DIAMONTE, ONLY 30 MADE",1,Edgy Humor and Random Slang
69 PRIMO,69=SEXUAL PRIMO=PRIME?,5,Sexual References
TOR HMR,MIDDLE NAME AND NORDIC GOD HMR HUMMER,6,Personal Names and Sentiments
FXXK IT,FUCK IT,3,Explicit and Vulgar Language
UEMEFER,YOU MOTHER FUCKER,0,Vehicle Descriptions and Colors
RDNKBMW,RED NECK BMW,1,Edgy Humor and Random Slang
KATS T,WIFE NAME AND T FOR TESLA,6,Personal Names and Sentiments
FUCCGRL,FUCK GIRL,3,Explicit and Vulgar Language
USQUIRT,POKEMON CHARACTER SQUIRT CAN BE SEXUAL,0,Vehicle Descriptions and Colors
LIT ASF,LIT AS FUCK,2,"Gang, Drugs, and Street Culture"
SAWCY,SAUCEY,0,Vehicle Descriptions and Colors
4FNSIZE,NICKNAME FN-FUN SIZE,6,Personal Names and Sentiments
BORN N14,BORN IN 2014,6,Personal Names and Sentiments
IVAN G,MY NAME GAS IN GANGSTER,2,"Gang, Drugs, and Street Culture"
S3MWFYB,MY WAY FUCK YOUR BITCH,0,Vehicle Descriptions and Colors
FEAR13,MILITARY NICKNAME AND LUCKY NUMBER 13-GANG,6,Personal Names and Sentiments
MMEOW,MEOW,0,Vehicle Descriptions and Colors
TVTOY14,TEMECULA VALKLEY TOYOTA 14,1,Edgy Humor and Random Slang
PHUQYUU,FUCK YOU,3,Explicit and Vulgar Language
BIG WJ69,BIG [INITALS] 69,5,Sexual References
TRLR KAT,TRAILER CAT,0,Vehicle Descriptions and Colors
BANGUM,BANG=SEX/FUCK UM=THEM,5,Sexual References
CHIHOE,THIS IS MY LEGAL FIRST NAME,6,Personal Names and Sentiments
9246O,JUMBLE OF 69 AND 420,0,Vehicle Descriptions and Colors
FUCF,FIGHT UNTIL CURE FOUND. FU STANDS FOR FUCK YOU,0,Vehicle Descriptions and Colors
LA PICA,pica means cunt in Czech,2,"Gang, Drugs, and Street Culture"
DMNWTHN,THE MAN WITHIN DEMON WITHIN,0,Vehicle Descriptions and Colors
BEACHO,BICHO means penis in puerto rican slang,2,"Gang, Drugs, and Street Culture"
REDSPD,MY CAR IS A RED MAZDASPEED 3,1,Edgy Humor and Random Slang
WTFBRAH,WHAT THE FUCK BRO,3,Explicit and Vulgar Language
MUFTA,MUFTA MEANS NO POINT,0,Vehicle Descriptions and Colors
HUNEEZ B,HONEYS B B=BITCH,0,Vehicle Descriptions and Colors
CHAMP14,KEVIN HARVICK NASCAR CHAMP 2014,0,Vehicle Descriptions and Colors
WFTDAD,WIRE FOX TERRIER DAD WFT LOOKS TOO SIMILAR TO WTF WHICH STANDS FOR WHAT THE FUCK,0,Vehicle Descriptions and Colors
KOCHINA,"COCHINA-DIRTY, LOUSY, SOW",0,Vehicle Descriptions and Colors
DBOMBSS,DBOMB=THE BOMB = GOOD LOOKING 96 IMPALA SS,1,Edgy Humor and Random Slang
KRAZEK9,CRAZY DOG,0,Vehicle Descriptions and Colors
XCOP TOY,EX-COP TOY,1,Edgy Humor and Random Slang
LVT DRTY,WE LOVE USING OUR SUV FOR OFFROADING/CAMPING. ITS OFTEN DIRTY FROM THE DIRT ROADS.,1,Edgy Humor and Random Slang
FJ$TACO,TOYOTA FJ CRUISER AND TOYOTA TACOMA,1,Edgy Humor and Random Slang
YOULIVE,YOU LIVE,0,Vehicle Descriptions and Colors
SCLBUZZ,BLACK YELLOW FAMILY JEEP(BUMBLE BEE) BUZZ HIGH,1,Edgy Humor and Random Slang
IDGAF XO,I DON'T GIVE A FUCK KISSES HUGS,3,Explicit and Vulgar Language
NOBDYMV,NO BODY MOVE,0,Vehicle Descriptions and Colors
5STAR HH,5 STAR HOME HEALTH,0,Vehicle Descriptions and Colors
FN KWIK,FUCKIN QUICK,3,Explicit and Vulgar Language
MOS DOPE,MOST DOPE=GOOD,2,"Gang, Drugs, and Street Culture"
APPLPIE,APPLE PIE,0,Vehicle Descriptions and Colors
DAM DXTR,DAMN DEXTER,0,Vehicle Descriptions and Colors
LVE HYB,love for hyrbrid cars,1,Edgy Humor and Random Slang
