plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
BKFAIRS,BOOK FAIRS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CWBYRDS,COWBOY RIDES,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
THNK BLU,THINK BLUE,Colors and Descriptive Traits,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions
RUBI RED,RUBICON RED,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
BBYGTBK,BABY GOT BACK,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
BB WOLF2,I AM PART OF A CAR CLUB. THIS IS MY CARS NICKNAME.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUECLR,BLUE COLLAR WORKING CLASS,Business and University Identities,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
DADABLU,THIS IS WHAT MY SONS CALLS MY BLUE HONDA CIVIC,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
FINL 911,PORSCHE CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GOBIGRD,I ATTENDED THE UNIVERSITY OF NEBRASKA. THIS IS WHAT YHEY YELL DURING THEIR FIGHT SONG,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
911 SPEC,PORSCHE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
911 T S,PORSCHE 911 MODEL TURBO S,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
2 BLU QS,TWO BLUE 'QUEENSLAND HEELERS' (DOGS),Diverse Personal Expressions,Pet and Animal Themes,Gang Color and Controversial Affiliations,Pet and Animal Themes,Pet and Animal Themes
DR 7O7,I AM A DR AND THE CAR HAS 707 HORSEPOWER,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
EAT KHW,ELECTRIC CAR USES KILOWATT HOURS OF ELECTRICITY TO POWER IT,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
AVSTNRN,HOME CARE RN,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
RD KING1,"ROAD KING, OR RED KING. MOTORCYCLE",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLUE 444,BLUE COLOR AND NUMBER,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
L$J788,88-HITLER RELATED. BUT IT HAS A 7 WITH IT?,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
8$8 SUN,88-HITLER RELATED,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers,Area code and Numbers,Area code and Numbers
SREDNIT,RED-GANG NUMBER,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
FC360,MY COMPANY NAME,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
I$3 N88,NASCAR FAN I LOVE 3 AND 88,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
IANS 88,IAN'S 1988 TOYOTA,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BAL SAAB,surname,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Personal and Family names
BLACK S,black is for the cars color and s is for s class mercedes.,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
BLULNFM,BLUE line family. It is a pro law enforecement meaning a family of police officers,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Personal and Family names,Colors and Descriptive Traits
BRTHJKY,BIRTH JUNKY MEANS I LOVE BIRTH,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
CAFEONE,my nickname at work,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
FIN CITY,FINCITY IS ABOUT THE SAN JOSE SHARKS. IT MEANS SAN JOSE,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
NIV1RED,MY WIFE AND I PARTIAL NAME WHICH CAME FROM NIVLHA AND MILDRED,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
SAY1O,SAY THE NUMBER 10,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
SSSR51O,"THE 510 IS FOR MY CAR'S MODEL, A DATSUN 510. THE SSS STANDS FOR SUPER SPORTS SEDAN. THE R REFERS TO MY ENGINE WHICH IS AN SR20",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ULA ULA,HAWAIIAN WORD FOR THE COLOR RED,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
ZRO5ONE,NAME OF MY TACTICAL TRAINING/GUN DEALER BUSINESS-ZERO5ONE TACTICAL LLC,Business and University Identities,Area code and Numbers,Area code and Numbers,Gang Color and Controversial Affiliations,Area code and Numbers
49JPSTR,1949 WILLYS JEEPSTER,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CA4BLUE,CALIFORNIAN FOR KEEPING TAHOE BLUE,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
MNSTRO,LOOKS LIKE MENSTRUAL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MFH8988,88 HITLER REFERENCE,Area code and Numbers,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers
TVTOY13,"13 GANG REFERENCE, CUSTOMER ALSO ORDERED OTHER PLATES WITHIN THE SEQUENCE TEMECULA VALKLEY TOYOTA 14,15,16",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
TVTOY14,"13 GANG REFERENCE, CUSTOMER ALSO ORDERED OTHER PLATES WITHIN THE SEQUENCE TEMECULA VALKLEY TOYOTA 13,15,16",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
BLTGRL5,BOLT GIRL ( SD CHARGERS) MY #5,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
BLU 351C,BLUE,Colors and Descriptive Traits,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
DBLUE,"DEEP BLUE, COLOR OF THE CAR",Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
J GATZ,CHARACTER NAME FROM A BOOK,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MALIBLU,CAR IS A BLUE CHEVROLET MALIBU,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
I2ICO78,LOOKS LIKE RICO 12=R,Colors and Descriptive Traits,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
BB MD GAS,PLUMBING COMPANY - MEDICAL GAS DIVISION,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
UDUBW72,UNIVERSITY OF WASHINGTON '72,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities
YESS888,YES! WEALTH WEALTH WEALTH,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
M9NTURS,MINE NOT YOURS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RATHOLE,MOTOR NAME,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RED ENG,REDWOOD ENGINEERING,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
AC AD,FAMILY INITIALS,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
BULITT,67 BULLETT MUSTANG IN THE MOVIE BULLITT,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
E2DMANE,"E)DGAR (2)TOO (D)OWN (MANE) - MANE AS IN SOUTHERN SLANG FOR MAN, DUDE, BRO, ETC...SO SAYING (EDGAR 2 DOWN MANE-SHORT FOR E2D MANE.",Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
KZ714X4,2007 CHEV SILVERADO Z714X4,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
OL 1 GUT,LOW HORSE POWER VEHICLE THE PLATE IS GOING ON A CLASSIC 1950'S LOS ANGELES STYLE TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
90S S13,93 NISSAN 240SX,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
911 AT30,PORSCHE 911 AR AGE 30,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
AZUL 29,AZUL IS BLUE IN SPANISH AND 29 PERSONAL SPORT NUMBER,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RED4LUV,"THE COLOR OF THE CAR IS RED AND IT??S THE MEANING OF WHY I PURCHASED IT, IN THAT COLOR, FOR LOVE.",Colors and Descriptive Traits,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
88 SF VAN,88.. (CUSTOMER DOES HAVE AN 88 FORD),Area code and Numbers,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers
BLUGNGL,BLUE-GANG. ON A WHALE TALE PLATE,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
RED KEN,RED-GANG COLOR. NAME IS NOT KEN,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
CWAFNST,FN-FUCKEN,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
PLA HARD,HOW TO HAVE FUN,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RED CELL,WHAT I DID IN THE US NAVY AND I WAS THE BEST IT.,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
7O7 HPHC,DODGE CHALLENGER HELLCAT 707 HORSEPOWER,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
BLUBHR,BLUE-GANG,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
BIGGBLU,VAN IS THE COLOR BLUE,Colors and Descriptive Traits,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Colors and Descriptive Traits
BLU KLUZ,MY CAR IS BLUE AND MY NAME IS KLUZAK AND I ALWAYS WATCHED BLUES CLUES WHEN I WAS YOUNGER,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Personal and Family names,Personal and Family names,Personal and Family names
BLOWN 68,"SUPERCHARGED 1968 MUSTANG. BLOWN MEANS THAT THE CAR IS SUPERCHARGED AKA A BLOWER. A SUPERCHARGER BLOWS AIR, HINTS THE NAME ""BLOWN 68""",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BLWN 54,I HAVE A NEW MOTOR WITH BLOWER ON IT,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
DMCALI,DAMN CALI,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
DNTH8ME,DON??T HATE ME,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HELLCO,EL CAMINO,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
ISIS 4 7,DAUGHTERS NAME IS ISIS. 47 IS NUMERICALLY 'I' AND 'S',Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
LUNABLU,"BLUE, GANG COLOR",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
PROLIF 1,OK? FYI PROLIFE OUT SINCE 1990 AND CURRENT,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
PROLIF 2,SAME CUSTOMER AS ABOVE,Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
CARPETS,PRODUCT SOLD BY BUSINESS,Business and University Identities,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CRZILEE,CRAZY LEE,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HLA BLSD,HELLA BLESSED,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MYAUSSE,MY AUSTRALIA,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
NYP52,IT WAS MY FATHER'S PLATE. JOURNALIST PLATE FROM NYC. NEW YORK PRESS 52,Vehicle and Car Descriptions and Attributes,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
OH2TT,"THE CAR IS A 2002 AUDI TT, OR OH2TT",Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
PUGFINK,PUG FINK,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
1BDHCAT,THE CAR IS A CHALLENGER HELLCAT. THIS MEANS ONE BAD HELLCAT,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
2KIKGAS,DRIVING A ELECTRIC CAR IS HOW YOU KICK GASOLINE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GLHF666,GOOD LUCK HAVE FUN. TRIPLE 6 (NO MEANING),Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HAILCZR,GOOD LUCK HAVE FUN. TRIPLE 6 (NO MEANING),Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
R8213WL,R IS THE FIRST INITIAL. WL IS THE MIDDLE AND LAST INITIAL.,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
SXY4TAY,MY CAR IS A KIA FORTE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
1SXYMKX,ONE SEXY MKX (TYPE OF CAR - LINCOLN),Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
2OCUP14,REFERENCE TO 2014 STANLEY CUP,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HA666MC,FAMILIES INITIAL AND DATES,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
RD2 HEL,HAVING A HARD TIME ON THE ROAD WHEN STUCK IN TRAFFIC,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
BLUEFIN,"THE CAR IS BLUE AND HAS A BLUE WING. I THOUGHT A NAME LIKE A BLUEFIN TUNA WOULD BE A GOOD FIT, ESPECIALLY WITH THE WHALE TAIL PLATE.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
WOOHAHA,HOOHA-VAGINA,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLUE392,BLUE DODGE CHARGER WITH 392 V8 ENGINE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
SUE BLUE,SUBARU BLUE,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
8BLUEO2,BLUE-GANG,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
LUX 13,LUX IS LATIN FOR LIGHT. 13 IS FOR VEHICLE YAER OF 2013,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
BGBLU69,IT IS GOING ON A 1969 BLUE CHEVY 4X4 TRUCK.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CRAZZEE,I'M CRAZY FUN!,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
WRK HSE,WORK HORSE.,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
6OGASSR,CLASSIC,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
7O7FAST,707 HORSE POWER FAST,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
BBW4G$D,BIG BEAUTIFUL WOMAN FOR GOD,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MOM 515O,5150 CRAZY,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
TVTOY18,18 HOWEVER TOYOTA HAS OTHER VEHICLESIN THEIR FLEET THAT HAVE SIMILAR PLATES,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HELL NOE,Duplicate plate order,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
OLBLUUU,GANG COLOR,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
PEEROW,PEE?,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
OHBLEEP,"OH BLEEP;THAT'S USUALLY THE RESPONSE WHEN PEOPLE SEE THE CAR. I HAVE  BUILT MANY SHOW CARS WITH SOME VERY DETAILED MODIFICATIONS. OH ""BLEEP""  IS A COMMON RESPONSE.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ARMA SIT,MY COMAPNY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
BGTTI,BUGATTI,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
BIG ENUF,LICENSE PLATE FOR A MINI COOPER,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
B8BODOQ,NONE,Business and University Identities,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
FOWL LVN,WATER FOWL LIVING. DUCK AND GOOSE HUNTING,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
GO BLAU,TRIBUTE TO THE UNIVERSITY OF MICHIGAN,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities
GON 2 HEL,OWN STOCK IN THE HEL RECORD MUSIC COMPANY,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GS GILL,LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HKS 1973,HECK'S 1973,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
K SERO,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
KSS MY 66,KISS MY 66 CAR,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
LIL BLEU,ITS A LITTLE BLUE DATSUN 240Z CAR I RESTORED,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
MEATSFJ,DESCRIBES A 1979 FJ40,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
PLM LOCO,PLUM CRAZY IS THE COLOR OF THE CAR. LOCO IS CRAZY,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
RAK 71,INITIALS OF OWNER AND YEAR OF VEHICLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
TOMCAT6,AFTER THE F-14 TOMCAT JET FROM THE MOVIE TOPGUN,Business and University Identities,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
TSKN R8R,STAR WARS CHARACTER,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1DRLUST,WANDERLUST- LIKE TO TRAVEL,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
1951 BOM,1951 CHEVROLET BOMB,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
DMBUMS,LOVE THEM BUMS (REFERRING TO THE DODGERS BASEBALL TEAM),Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
RED$JOY,THE CAR IS RED AND OWNER IS NAMED JOY,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
