plate,customer_meaning,cluster_label,cluster_meaning
996 X5OX,pulled for 5-oh=police.  Has a Ford (6XVP389) but the body type is SV? Doesn’t sound like a Mustang…,2,Vehicle and Car Descriptions and Attributes
QING 666,MY WIFE NAME,3,Diverse Personal Expressions
6SPDKAT,6 SPEED KAT,3,Diverse Personal Expressions
HIKE619,HIKE SAN DIEGO,1,Business and University Identities
H8DUKE,UNC FANS. DUKE IS OUR ARCHRIVAL TEAM!,1,Business and University Identities
LIVNBCH,LIVE ON BEACH,1,Business and University Identities
BLCKAT9,BLACK CAT,6,Pet and Animal Themes
L PECHY,MY NAME,0,Personal and Family names
ABRNZTL,A BRONZ TAIL,3,Diverse Personal Expressions
ANGRYBE,MY CAR IS A SUPER BEE DODGE CHARGER SO I  NAMED IT ANGRY BE,2,Vehicle and Car Descriptions and Attributes
BLP,BRIAN LEONARD PERRY,3,Diverse Personal Expressions
BLUAYE,BLUE HAWAII,7,Colors and Descriptive Traits
BLUDOG2,"BLUE, GANG REFERENCE",5,Gang Color and Controversial Affiliations
BLUEE66,MY DAUGHTER CALLS MY 1966 CHEVELLE BLUEE  SINCE SHE WAS 3. SO THAT IS THE NAME OF THE CAR.,7,Colors and Descriptive Traits
CECYG,CECILIA GONZALEZ,3,Diverse Personal Expressions
CHEVY13,MAKE AND YEAR OF MY CAR,2,Vehicle and Car Descriptions and Attributes
FAIRYSZ,BECAUSE I DRIVE A SMALL CAR...AND LOVE  TINKERBELL & PIXIE DUST IS NOT AVAILABLE.,2,Vehicle and Car Descriptions and Attributes
HOTBLUE,BIG BLUE TRUCK WITH A BIG V8 ENGINE,2,Vehicle and Car Descriptions and Attributes
ILVBLU2,COLOR FAVORITE,7,Colors and Descriptive Traits
JMBIRDY,JERRY MARQUEZ THUNDERBIRD,3,Diverse Personal Expressions
JUN1472,"14, GANG REFERENCE",5,Gang Color and Controversial Affiliations
KNT2DAY,NOT TO DAY,3,Diverse Personal Expressions
LT1SS1,SS1 REFERS TO A TYPE OF GUN,1,Business and University Identities
NYBLUE,"BLUE, GANG REFERENCE",5,Gang Color and Controversial Affiliations
SLSBABY,SLS IS AN ACRONYM FOR A SWINGER/SEX WEBSITE. SWINGLIFESTYLE.COM,3,Diverse Personal Expressions
BLUDZL,BLUE DAZZLE,7,Colors and Descriptive Traits
REDSPDR,RED SPIDER,7,Colors and Descriptive Traits
8T8MPH,"88 MILES PER HOUR-FROM ""BACK TO THE FUTURE"". THE PLATE IS FOR A DELOREAN.",2,Vehicle and Car Descriptions and Attributes
RDBOTTM,RED BOTTOM SHOES CHRISTIAN LOUIBATON,3,Diverse Personal Expressions
REDLYND,"RED, GANG REFERENCE",5,Gang Color and Controversial Affiliations
BEEZ NES,BUSINESS (YELLOW CAR FOR BUSINESS),1,Business and University Identities
CSIDER,IN REFERENCE TO SEASIDE REEF CARDIFF STATE PARK,1,Business and University Identities
HANI G,MY FIRST NAME AND FIST LETTER OF MY LAST NAME,0,Personal and Family names
KIT CATT,NICK NAME MY FATHER USE TO CALL ME,0,Personal and Family names
RED1TOY,THE NAME OF MY COMPANY IS RED-TOY. SINCE THAT ISN'T AVAILABLE I LOOKED FOR A VARIATION THAT IS AVAILABLE,7,Colors and Descriptive Traits
SFG HCAT,SAN FRANCISCO GIANTS FAN,1,Business and University Identities
SINFUL6,"ITS A SIN FOR A CAR TO LOOK SO GOOD, 2006 CORVETTE SHOW CAR..",2,Vehicle and Car Descriptions and Attributes
TT BMW,"PLATE IS GOING ON A 2015 BMW M4. THE ""TT"" STANDS FOR TWIN TURBO AND IS A  POPULAR ACRONYM IN THE AUTOMOTIVE WORLD.",2,Vehicle and Car Descriptions and Attributes
XU666,"XU IS MY LAST NAME, AND 666 IS A LUCKY NUMBER",4,Area code and Numbers
4O8HEMI,THE TYPE OF ENGINE IN MY VEHICLE.,2,Vehicle and Car Descriptions and Attributes
LOWREDA,LOW FRAME(CORVETTE) RED INTERIOR,2,Vehicle and Car Descriptions and Attributes
6S6I6X,SIX SIX SIX,1,Business and University Identities
BLU PLN8,BLUE PLANET,7,Colors and Descriptive Traits
CAT CADI,CAT,6,Pet and Animal Themes
GOBLU16,FAVORITE TEAM AND FAVORITE NUMBER,4,Area code and Numbers
HAPPY13,"MY NICKNAME IS HAPPY, THE CAR IS A 2013",2,Vehicle and Car Descriptions and Attributes
HLLCAT 2,HELLCAT TOO. THIS PLATE IS GOING ON A DODGE HELLCAT. HELLCAT WAS ALREADY TAKEN SO I ADDED A 2.,2,Vehicle and Car Descriptions and Attributes
014X4XJ,LAST YEAR THE JEEP CHEROKEE XJ WAS MADE WAS 2001 AND IT IS A FOUR WHEEL DRIVE JEEP SO THE PLATE ID'S THE JEEP CORRECT FOR WHAT IT IS,2,Vehicle and Car Descriptions and Attributes
PILT LYF,PILOT LIFE,1,Business and University Identities
REDEURO,RED,7,Colors and Descriptive Traits
STRACAT,CAT,6,Pet and Animal Themes
51OSR2O,510 IS CAR SR20 IS ENGINE,2,Vehicle and Car Descriptions and Attributes
BLU R2D2,"THE COLOR ""BLUE"" AND THE STAR WARS CHARACTER ""R2-D2""",3,Diverse Personal Expressions
CSTC14,COMPANY NAME/VEHICLE NUMBER,1,Business and University Identities
VAPEQUN,I OWN A VAPOR BUSINESS.,1,Business and University Identities
YAH BLUE,UNIVERSITY IF MICHIGAN ALUMNI,1,Business and University Identities
EM1 BLU,"BLUE EM1 HONDA, EM1 IS THE MODEL OR TYPE OF CAR",2,Vehicle and Car Descriptions and Attributes
ALLEKT,ALLISON IS MY NAME NICKNAME IS ALLY CAT AND THIS IS CLOSEST AVAILABLE,0,Personal and Family names
A32ROD,OLD 32 CAR,2,Vehicle and Car Descriptions and Attributes
BIGREDE,NICKNAME,0,Personal and Family names
BLUSHFT,"BLUE SHIFT, A PHYSICS TERM AND CAR IS BLUE  AND MANUAL TRANSMISSION",1,Business and University Identities
CASFJ14,CAS CASTILLO FJ TOYOTA CRUISER 14 THE YEAR,2,Vehicle and Car Descriptions and Attributes
DABLUE,THE GIRL FROM THE BLUE SIERRA,3,Diverse Personal Expressions
DEZERTG,MY LOVE FOR THE DESERT AND MY MIDDLE INITIAL,3,Diverse Personal Expressions
DLRA113,"DLR DISNEYLAND RESORT ACRONYM, FAVORITE  PLACE TO VISIT. A113- PIXAR HIDDEN EASTER EGGS THAT APPEAR IN ALL MOVIES.",3,Diverse Personal Expressions
DONKEY1,A NICKNAME THAT SUGGESTS THE VEHICLE IS A  WORK HORSE AND CARRIES HEAVY LOADS,3,Diverse Personal Expressions
FOGIVEN,FORGIVEN BY GOD,3,Diverse Personal Expressions
FYSHSTX,I LIKE THE BANDS PHISH AND STYX. ITS A PLAY  ON WORDS.,3,Diverse Personal Expressions
GARYS14,MY NAME AND YEAR,2,Vehicle and Car Descriptions and Attributes
GJEEP15,GAYLE'S 2015 JEEP,2,Vehicle and Car Descriptions and Attributes
GPEACH,GEORGIA PEACH,3,Diverse Personal Expressions
HECROD,INITAIL OF FIRST AND LAST NAME,0,Personal and Family names
JOYFLJ,IT STANDS FOR JOYFUL JULIANNA (MY  DAUGHTER'S NAME),3,Diverse Personal Expressions
KDUB35,KEVIN DURANT #35 WARRIORS BASKETBALL,3,Diverse Personal Expressions
KWIKKAT,QUICK CAT ( JAGUAR!),2,Vehicle and Car Descriptions and Attributes
LCKY713,FAVORITE NUMBERS,4,Area code and Numbers
MLOYEL,COLOR,7,Colors and Descriptive Traits
MMMBACN,BACON IS GOOD,3,Diverse Personal Expressions
RFTC,"RFTC IS THE INITIALS OF MY FAVORITE LOCAL  BAND, ""ROCKET FROM THE CRYPT"".",3,Diverse Personal Expressions
RVOODOO,TYPE OF CAR MOTOR,2,Vehicle and Car Descriptions and Attributes
SLUG69,BEETLE BUG AND YEAR,3,Diverse Personal Expressions
SRIWAY,"""SRIWAY"" IS A COMBINATION OF ""SRI"" FOR MY  FIRST NAME AND ""WAY"" FOR THE WAY I TRAVEL.",3,Diverse Personal Expressions
TACHULO,SALVADOREAN WORD (BEAUTIFUL),3,Diverse Personal Expressions
TEAMM4,REPRESENTS COMPANY SUCCESS,1,Business and University Identities
TRPR887,STAR WARS,3,Diverse Personal Expressions
WCKEDRS,WICKED RS,3,Diverse Personal Expressions
WLDKAT,WILD CAT AS IN JAGUAR,2,Vehicle and Car Descriptions and Attributes
1GOOFBL,I AM A GOOFBALL,3,Diverse Personal Expressions
4CYLDSL,SMALL DIESEL ENGINE,2,Vehicle and Car Descriptions and Attributes
69GRACE,IT'S A 1969 CAMARA THAT WE HAVE NAMED GRACE,2,Vehicle and Car Descriptions and Attributes
76BLAZ,"YEAR OF TRUCK, MODEL BLAZER",2,Vehicle and Car Descriptions and Attributes
IGAYPS,IT'S THE #ILOVEGAYPALMSPRINGS FOR TOURISM  IN THE DESERT ASSOCIATED WITH OUR WEBSITE GAYDESERTGUIDE.COM,1,Business and University Identities
FAIRYTL,FAIRY TALE,3,Diverse Personal Expressions
SAWCY,SAUCEY,3,Diverse Personal Expressions
GDTAHOE,INITIAL'S FOR GLORIES DIAZ AND LOCATION OF HOME,3,Diverse Personal Expressions
ANNICKA,MY NAME,0,Personal and Family names
BLAUM2,BLAU IS GERMAN FOR BLUE. THE CAR IS A BLUE  BMW.,7,Colors and Descriptive Traits
BLUER2,"""BLUE"" REFERS TO THE COLOR BLUE. ""R2"" REFERS TO THE STAR WARS CHARACTER ""R2-D2"" (A SMALL DROID)",3,Diverse Personal Expressions
GMO,WHAT GRANDCHILDREN CALL THEIR GRANDMOTHER,0,Personal and Family names
NETSM4,JANETTES M4,1,Business and University Identities
NVUSGS,"THE ""NVUS"" IS MY CAR CLUB AND ""GS"" IS THE  MAKE OF MY CAR",2,Vehicle and Car Descriptions and Attributes
KONAKAT,KONA HAWAII IS MY FAVORITE PLACE AND KAT IS MY NICKNAME,3,Diverse Personal Expressions
MELSBLU,MELA'S BLUEBERRY (BLUE CAR BELONGING TO MELA),7,Colors and Descriptive Traits
BLSBAMS,BLESS BAMS BALLS??,1,Business and University Identities
I M 666,666 MARK OF THE BEAST,4,Area code and Numbers
RL HICKS,HICK DEROGATORY TERM,3,Diverse Personal Expressions
BLUEII,SECOND BLUE SUBARU,2,Vehicle and Car Descriptions and Attributes
BLUGENI,NAME OF VEHICLE,2,Vehicle and Car Descriptions and Attributes
DMND/BLU,BLUE IS A GANG RELATED COLOR,5,Gang Color and Controversial Affiliations
HRTSOGD,NAME OF SONG. MANY THINGS WORTHWILE TAKE SOME PAIN BUT ARE WORTH IT.,3,Diverse Personal Expressions
LOLPU2,LAUGH OUT LOUD P.U. (STINK) 2,3,Diverse Personal Expressions
RAT/GASR,RAT IS A NAME FOR A SNITCH OR INFORMANT,3,Diverse Personal Expressions
RAT/TIGR,"CAR IS A SUNBEAM TIGER, NOT IN CONCOURSE (SHOW) CONDITION.",2,Vehicle and Car Descriptions and Attributes
REDWGEN,RED VW SPORTSWAGEN,7,Colors and Descriptive Traits
SFBLUES,SAN FRANCISCO BLUES. BLUE IS A GANG RELATED COLOR,7,Colors and Descriptive Traits
WET/FLY,TYPE OF FLY FISHING W/ WET LURE NOT DRY,3,Diverse Personal Expressions
65**RED,RED IS A GANG RELATED COLOR,5,Gang Color and Controversial Affiliations
IRENE13,FIRST NAME & VEHICLE YEAR,2,Vehicle and Car Descriptions and Attributes
ONEAKA,ONEAKA CAN SOUND LIKE OH NIGGA OR OH NICCA,3,Diverse Personal Expressions
JCM S13,MY INITIALS PLUS THE CAR'S CHASSIS CODE,2,Vehicle and Car Descriptions and Attributes
JUN KAT,NICKNAMES OF OWNERS,1,Business and University Identities
KIKN BK,BK = BLOOD KILLER,3,Diverse Personal Expressions
LILNUTZ,A LITTLE CRAZY,3,Diverse Personal Expressions
LTILRED,WE CALL OUR CAR LITTLE RED.,7,Colors and Descriptive Traits
LUVMY M4,M4 IS AN ASSAULT RIFLE,1,Business and University Identities
NUT JOB,"WE ARE THE OWNERS OF STACY FARMS, ALMOND PRODUCERS, MAKING OUR JOB  A NUT JOB, HENCE THIS LICENSE PLATE IS A REFERENCE TO OUR ACTUAL JOB OF PRODUCING NUTS.",1,Business and University Identities
PPA RED,RED = GANG COLOR,5,Gang Color and Controversial Affiliations
ROKIN88,PLATE IS FOR A 1957 OLDSMOBILE 88 ROCKING 88,2,Vehicle and Car Descriptions and Attributes
RS 231,"PULLED FOR ""RS"" WHICH CAN MEAN ""REAL SHIT""",3,Diverse Personal Expressions
WSKI64,USS WISCONSIN BB64,1,Business and University Identities
BCHCOMR,HOBBY,3,Diverse Personal Expressions
BLU BLIT,BLUE BULLET,7,Colors and Descriptive Traits
CALARMS,FIREARM CO CALIFORNIA FIREARMS,1,Business and University Identities
GAYTAN4,LAST NAME,0,Personal and Family names
LADBLUE,DODGER FAN,1,Business and University Identities
PINKEEE,PINKY MY HUSBANDS NICK NAME FOR ME,0,Personal and Family names
ROVER13,2013 RANGER ROVER CAR,2,Vehicle and Car Descriptions and Attributes
INAM69,I WAS IN VIET NAM IN 1969,1,Business and University Identities
YO GSTER,MY YOGA RIDE,3,Diverse Personal Expressions
LEESHOG,ORIGINAL GANGSTER,5,Gang Color and Controversial Affiliations
BAD FSH3,BAD FISH IS A SONG TITLE,3,Diverse Personal Expressions
FNDFLUF,"I LOVE TO SKI AND SNOWBOARD, AND WE JOKE THAT REAL (NOT MAN MADE SNOW) IS CALLED FLUFF.",3,Diverse Personal Expressions
LILRED2,OUR LITTLE RED WAGON,7,Colors and Descriptive Traits
PUMPGUY,I AM AN ENGINEER WHO DESIGNS AND SELLS MUNICIPAL PUMPS- ALSO CONSULTS ON PUMP OPERATIONS- I AM THE PUMP GUY,1,Business and University Identities
PURITOS,CIGAR,3,Diverse Personal Expressions
STAR12G,MY DATE OF BIRTH AND FIESTA NAME,4,Area code and Numbers
SUPFOOS,WHATS UP FRIENDS OF OUTER SPACE,3,Diverse Personal Expressions
XL MAGNM,I OWN A DODGE MAGNUM SRT8 AND IT'S A WAGON SO IT'S A BIGGER VESSEL XL MEANS LARGE MAGNUM IT'S THEIR BIG PACKAGE WITH THE BIG ENGINE THE BIGGEST ONE THEY MAKE FOR THE MAGNUM,2,Vehicle and Car Descriptions and Attributes
YANKS 2,FAVORITE BASEBALL TEAM,1,Business and University Identities
CKSWEET,IN THE NEAR FUTURE I WOULD LIKE TO SELL CUPCAKES AND WOULD LIKE FOR MY VAN TO SHOW THIS ON ITS LICENSE PLATE. THE CK STANDS FOR CAKE AND THE SWEET IS A NICE TOUCH.,2,Vehicle and Car Descriptions and Attributes
LARJRYD,LARGE RIDE,2,Vehicle and Car Descriptions and Attributes
BEATRZZ,MY NAME,0,Personal and Family names
BERYNIZ,BERENICE OR VERY NICE,3,Diverse Personal Expressions
BLEUSTL,BLUE STEEL.,7,Colors and Descriptive Traits
BLUENRG,"MY CAR IS A HYBRID..... HYUNDAI CALLS IT ""BLUE DRIVE""",7,Colors and Descriptive Traits
BLUMBNZ,I HAVE A BLUE MERCEDES.,2,Vehicle and Car Descriptions and Attributes
CATGLEZ,MY NAME,0,Personal and Family names
CEJA5O,LAST NAME AND TYPE OF ENGINE IN THE VEHICLE,2,Vehicle and Car Descriptions and Attributes
DEZNRED,DEZ = DESIREE N = IN RED = COLOR OF CAR,7,Colors and Descriptive Traits
FRBLUCR,FRAU BLUECAR,7,Colors and Descriptive Traits
FUN14ME,FUN ONE FOR ME (IT WILL BE MY LAST SPORTS CAR BEFORE BECOMING A  GRANDMA),2,Vehicle and Car Descriptions and Attributes
GNOMER1,"I PLAY WORLD OF WARCRAFT, MY RACE IN GAME IS GNOME. GNOMER 1",3,Diverse Personal Expressions
GSWAGG,IT ALLUDES TO THE NAME OF THE CAR.  (G WAGON),2,Vehicle and Car Descriptions and Attributes
GVBREW,GRASS VALLEY BREWING COMPANY  OWNER,1,Business and University Identities
HATRPRF,HATER PROOF,3,Diverse Personal Expressions
HIMNTNZ,HIGH MAINTAINENCE,3,Diverse Personal Expressions
HYETIDE,ARMENIAN/HIGH/TIDE,3,Diverse Personal Expressions
KATMARO,CAMARO AND CAT LOVER,6,Pet and Animal Themes
LUIGIGD,IT IS A SUPER MARIO CHARACTER (LUIGI) AND THE CHASSIS CODE OF SUBARU  IMPREZA WRX STI (GD),2,Vehicle and Car Descriptions and Attributes
NAYNAY1,NICK NAME OF FIRST NAME (RENEE),3,Diverse Personal Expressions
OGR2D2,ORIGINAL R2D2,3,Diverse Personal Expressions
RDSHAKR,RED SHAKER,7,Colors and Descriptive Traits
REDSTRP,A WONDERFUL JAMAICAN BEER,1,Business and University Identities
USAGA,USA GREAT AGAIN,1,Business and University Identities
2O13SI,THE YR OF THE CAR.. AND NAME,2,Vehicle and Car Descriptions and Attributes
61DUBB,ITS A 1961 VW BUG,2,Vehicle and Car Descriptions and Attributes
68BEEPR,1968 ROADRUNNER,2,Vehicle and Car Descriptions and Attributes
95476CA,SONOMA ZIP CODE,1,Business and University Identities
IHORSI,I LOVE HORSES,3,Diverse Personal Expressions
MYACE,LOVE FOR MY FAMILY,0,Personal and Family names
QICAT,ENERGY CAT(JAGUAR),2,Vehicle and Car Descriptions and Attributes
BLUEO2,SECOND BLUE TRUCK,2,Vehicle and Car Descriptions and Attributes
COTNTL,COTTON TAIL,3,Diverse Personal Expressions
KITYCAR,KITTY CAR,2,Vehicle and Car Descriptions and Attributes
WITCHE1,I LOVE WITCHS HALOWEEN,1,Business and University Identities
ROOOSTN,WHAT MOTORCYCLE TIRES DO ROOST UP DIRT....AKA.... ROOSTER TAIL,2,Vehicle and Car Descriptions and Attributes
BLUWAYL,BLUE WHALE,7,Colors and Descriptive Traits
LVDRVG,LOVE DRIVING,2,Vehicle and Car Descriptions and Attributes
AA HUEVO,AA EGGS,3,Diverse Personal Expressions
ARCE GT,LAST NAME AND CAR MODEL,2,Vehicle and Car Descriptions and Attributes
FAT BOI 8,FAT BOY,3,Diverse Personal Expressions
FISHOGG,FISH HOGG IN FISHING,3,Diverse Personal Expressions
HALE 89,HALE IS MY LAST NAME AND I WAS BORN IN 1989,3,Diverse Personal Expressions
VW MK7 G,VOLKSWAGEN MARK 7 GTY,2,Vehicle and Car Descriptions and Attributes
IT$RN 14,IT IS MY HUSBANDS PROFESSION IS IN IT AND I AM AN RN WE GOT MARRIED IN 2014,1,Business and University Identities
PR1 ODRS,THE BAND PRETENDERS,3,Diverse Personal Expressions
RU NUTS,I WORK FOR BLUE DIAMOND GROWERS MEANING ALMONDS,1,Business and University Identities
XPLR GRW,EXPLORE AND GROW,3,Diverse Personal Expressions
DRT MGRT,SHORT FOR DIRT MCGIRT. JUST A PLAY ON WORDS,3,Diverse Personal Expressions
BIG5RED,RED = GANG COLOR,5,Gang Color and Controversial Affiliations
BIKINI G,BIKINI GOD - WE OWN A BIKINI STORE,1,Business and University Identities
BLUBERX,THIS IS MY FIRST CAR AND IT IS BLUE I THINK IT LOOKS LIKE A BLUEBERRY,7,Colors and Descriptive Traits
BLUE ONE,LIKE THE COLOUR BLUE,7,Colors and Descriptive Traits
BLULIVS,"BLUE LIVES MATTER, IT MEANS THAT POLICE LIVES MATTER TO ME.",7,Colors and Descriptive Traits
G MARCOS,G = GANGSTER,5,Gang Color and Controversial Affiliations
MERS M4,MERCEDES BAUMBACH'S BMW M4,2,Vehicle and Car Descriptions and Attributes
OLBLU92,OLD BLUE 1992,7,Colors and Descriptive Traits
BLU HOON,CAR'S NICKNAME,2,Vehicle and Car Descriptions and Attributes
BIGFAFI,BROTHER'S NAME WHO JUST PASSED AWAY,0,Personal and Family names
BAB RED,RED- GANG COLOR,5,Gang Color and Controversial Affiliations
BGRED CJ,RED- GANG COLOR,5,Gang Color and Controversial Affiliations
DOMSDAY,"DOOMSDAY IS A COMIC BOOK CHARACTER, IN THE SUPERMAN VS BATMAN MOVIE",3,Diverse Personal Expressions
EBOX 3,ELECTRIC CAR,2,Vehicle and Car Descriptions and Attributes
G BLKPRL,GONZALES BLACKPEARL,3,Diverse Personal Expressions
G ENRIQZ,"g=gangster, customer name is Guadalupe Enriquez",5,Gang Color and Controversial Affiliations
GIBBSLP,NCIS REFERENCE,3,Diverse Personal Expressions
JMF 67,NO MEANING ON REG 17,4,Area code and Numbers
RED MTRS,REDLINE MOTORS IS THE MEANING OF THE PLATE ITS A SHOP'S NAME,7,Colors and Descriptive Traits
RED VIN,RED WINE,1,Business and University Identities
RUNGIRL,NO MEANING ON REG 17,4,Area code and Numbers
SHA2KAT,FIRST 3 LETTERS OF BOTH OF MY CHILDREN. THE # 2 SIGNIFIES BOTH OF MY CHILDREN,0,Personal and Family names
UCM CATZ,COLLEGE AND MASCOT,1,Business and University Identities
1HOT RED,RED IS MY HAIR COLOR,7,Colors and Descriptive Traits
64LOWCO,"1964 CHEVY IMPALA, CRAZY CAR.",2,Vehicle and Car Descriptions and Attributes
IM KAT,AM KATHY (KAT),3,Diverse Personal Expressions
O2 BLUE,IT'S THE COLOR OF MY CAR,7,Colors and Descriptive Traits
BE4H CAT,CAT VAGINA REFERENCE,3,Diverse Personal Expressions
BLEUE,"FRENCH WORD FOR BLUE, THE COLOR AND NAME OF VEHICLE",7,Colors and Descriptive Traits
B4HL CAT,CAT VAGINA REFERENCE,3,Diverse Personal Expressions
DON KATZ,NAME DON KATZ,3,Diverse Personal Expressions
FIRE FIX,FIRE FIX MARIJUANA FIX,3,Diverse Personal Expressions
HABANO1,HAVANA CIGARS,3,Diverse Personal Expressions
LOWNLNG,LOW AND LONG SEXUAL REFERENCE,3,Diverse Personal Expressions
MS14FEB,MISS VELENTINE,3,Diverse Personal Expressions
T84J838,LOOKS LIKE TIN NUMBER,3,Diverse Personal Expressions
UA19NT6,INITIALS AND DATE OF BIRTH,4,Area code and Numbers
OFOGY,OG ORIGINAL GANGSTER,5,Gang Color and Controversial Affiliations
KAKEPOP,"WE HAVE A SMALL BUSINESS, CALLED DENSONIOS CAKE POPS. THIS WOULD GO ON OUR CURRENT CAR FOR THE BUSINESS.",1,Business and University Identities
I M BLU,BLUE,7,Colors and Descriptive Traits
AFVETCA,CALIFORNIA AIR FORCE VETERAN,1,Business and University Identities
AMGLG,AMG VEHICLE FOR LUPE AND GABRIEL,2,Vehicle and Car Descriptions and Attributes
AUJLAG,MY LAST NANE,3,Diverse Personal Expressions
BALDNCR,BALBOA DANCER,3,Diverse Personal Expressions
BATCAT,"CAT, SEXUAL REFERENCE",3,Diverse Personal Expressions
BEYANNY,"YANNY IS MY FIRST NAME AND I LIKE TO BE ME,  THEREFORE I CHOSE BE YANNY",3,Diverse Personal Expressions
BLUMENY,BLUE MEANY FROM MOVIE YELLOW SUBMARINE,7,Colors and Descriptive Traits
BOOSTY,PUN ON MY LAST NAME AND CAR IS A TURBO .  PLEASE CENTER IT.,2,Vehicle and Car Descriptions and Attributes
CHELYA,MY NICKNAME,0,Personal and Family names
CITYKAT,"INSTEAD OF KITTY CAT, CITY KAT. THE CAR IS A  JAGUAR",2,Vehicle and Car Descriptions and Attributes
DEEPRED,"CAR IS DARK RED, OFTEN CALLED DEEP RED.",7,Colors and Descriptive Traits
DJRBLOO,LOS ANGELES DODGER BLUE,7,Colors and Descriptive Traits
DKHORSZ,DARK HORSE,3,Diverse Personal Expressions
DUKHNTN,DUCK HUNTING HAD THIS ON MY PLATE WHEN I  LIVED IN NEVADA,2,Vehicle and Car Descriptions and Attributes
DZNEY13,I GOT MARRIED AT DISNEYLAND ON THE 13TH.,4,Area code and Numbers
EXLOSER,NO LONGER A LOSER,3,Diverse Personal Expressions
FAT49ER,I'M A OVERWEIGHT 49ER FAN.,1,Business and University Identities
GAES356,MY WIFES PORSCHE SPEEDSTER,3,Diverse Personal Expressions
GAK1932,INITIALS & BIRHT DATE,4,Area code and Numbers
GORDO33,MY NICKNAME FROM HIGH SCHOOL AND  FAVORITE NUMBER,4,Area code and Numbers
HAULNO,NO HAULING ALLOWED,1,Business and University Identities
HHSPD,HOT HEAD SPEED,3,Diverse Personal Expressions
HIRVNG,CAR TURNS A LOT OF RPM'S,2,Vehicle and Car Descriptions and Attributes
HLNBNZ,(HAULING BUNS)  I OWN A BREAD ROUTE THAT DELIVERS BREAD AND BUNS,1,Business and University Identities
HOODOO9,A HOODOO IS A TALL THIN ROCK SPIRE.  HOODOOS ARE FOUND IN THE DESERT DRY HOT AREAS,1,Business and University Identities
HZGORDA,NICKNAME FOR MY WIFE,3,Diverse Personal Expressions
INODUMB,I NO DUMB,3,Diverse Personal Expressions
JPDGW,INITIALS OF OWNERS,1,Business and University Identities
JUDYSRS,JUDYS RS,3,Diverse Personal Expressions
KATCLSM,"""CATACLISM""",6,Pet and Animal Themes
KTNMTNS,KITTEN MITTENS,6,Pet and Animal Themes
MRFEB14,MR VALENTINE,3,Diverse Personal Expressions
NBASHOT,NBA BASKETBALL - SHOT IN GAME.,3,Diverse Personal Expressions
NEDAM,"""WON'T GIVE"" IN RUSSIAN",3,Diverse Personal Expressions
NERFDIS,"""NERF THIS"" A VOICELINE OF A CHARACTER IN A GAME. MEANING TO DECREASE THE POWER OR A SPECIAL ABILITY.",3,Diverse Personal Expressions
NINERD,SAN FRANCISCO 49ERS AND MY FIRST NAME  WITH MY FIRST INITIAL,1,Business and University Identities
NOVAX,NO VAX,3,Diverse Personal Expressions
NRFTHS,VIDEO GAME REFERENCE,3,Diverse Personal Expressions
OLBLU68,"ITS A 1968 BLUE CHEVY CONVERTIBLE SO AN OLDER BLUE CLASSIC CAR OR ""OL BLUE""",2,Vehicle and Car Descriptions and Attributes
PAINMKR,"PAIN MAKER. THIS PLATE IS GOING ON A 1966 CAMARO WITH A BIG MOTOR IN IT. PLEASE MAKE SURE THAT THERE IS A HALF SPACE BETWEEN ""N"" AND ""M""",2,Vehicle and Car Descriptions and Attributes
PELON64,MY SONS NAME,0,Personal and Family names
PLGIT,"PLUG IT, IT'S A PLATE FOR AN ELECTRIC CAR",2,Vehicle and Car Descriptions and Attributes
RAULG,MY NAME,0,Personal and Family names
REDMEGN,"RED IS THE COLOR OF THE CAR, MEGHAN IS THE  OWNER'S FIRST NAME",7,Colors and Descriptive Traits
REDS16,NAME,0,Personal and Family names
REDWGFM,RED WING FAMILY WE ARE A FAMILY OF DETROIT RED WINGS FANS,0,Personal and Family names
RIDEHD,RIDE HARLEY DAVIDSON MOTORCYCLES,2,Vehicle and Car Descriptions and Attributes
SASYCAT,MY NAME,0,Personal and Family names
SCM1964,SCM IS A ABBREVIATION FOR A PITTSBURGH  STEELERS FOOTBALL FAN CLUB NAMED STEEL CITY MAFIA.,1,Business and University Identities
SCVBBXG,"SCUM BAG, A BMX BIKE QUOTE",2,Vehicle and Car Descriptions and Attributes
SCVMBXG,"SCUM BAG, BMX BIKE QUOTE",2,Vehicle and Car Descriptions and Attributes
SSADLUP,SADDLE UP,3,Diverse Personal Expressions
SUBIBTY,SUBIBOOTY  IT'S AN ENDEARING TERM IN THE SUBARU COMMUNITY.,2,Vehicle and Car Descriptions and Attributes
TOMCATS,MY NICK NAME IS TOMCAT,0,Personal and Family names
TRANS,TRANSGENDER,3,Diverse Personal Expressions
VAPOR1,TO VAPORIZE MEANS TO LEAVE A LOCATION  VERY QUICKLY,3,Diverse Personal Expressions
VFXSHOT,VISUAL EFFECTS SHOT. IT IS RELATED TO THE FILM INDUSTRY. THE FILM SHOT WHICH HAS COMPUTER GENERATED EFFECTS.,3,Diverse Personal Expressions
VWGN,SHORT FOR CTS-V WAGON,2,Vehicle and Car Descriptions and Attributes
WKIDSS,WICKED SS,3,Diverse Personal Expressions
XTRMSS,XTREME SUPER SPORT,3,Diverse Personal Expressions
ZH666,"INITIAL OF MY NAME,EVERYTHING WILL BE GOOD",0,Personal and Family names
