plate,customer_meaning,original_class,facebook_class,valhalla_class,xlm_class,majority_vote
RED LVI,I HAVE A RED 1956 CHE,Colors and Descriptive Traits,Area code and Numbers,Area code and Numbers,Colors and Descriptive Traits,Colors and Descriptive Traits
TOO4N,IT STANDS FOR TOON AND MY FAVORITE NUMBER IS 4,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers
13DRTMX,YEAR AND TYPE OF TRUCK,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
302 13,THE PLATE STANDS FOR THE MODEL AND YEAR OF MY CAR WHICH IS A 2013 BOSS 302 MUSTANG. THE 302 IS FOR BOSS 302 AND THE 13 IS FOR THE MODEL YEAR 2013.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CHGOBLU,"BLUE, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
FOSURE,FOR SURE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GODUBZZ,WARRIORS,Business and University Identities,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
HWYTOHL,HIGHWAY TO HOLE,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LOOCH,DRUG AND SEXUAL REFERENCE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
MMMTAKO,AS IN LOVE TACOMA(TOYOTA),Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
MUFTA,MUFTA MEANS NO POINT,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
OGSTILE,ORIGINAL STYLE VEHICLE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RALYRED,CAR LINE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RED5STB,RED 5 STANDING BY ITS A STAR WARS MOVIE  REFERENCE,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
TMLI69,TAMMY MARIE LOPEZ 69 CAMARO,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
YUMTAKO,YUMMY TACOMA - PLAY ON WORDS,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
113TP,BIRTH DATE AND NAME INITIAL,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
13OWL94,"13, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
2VETSAF,MY WIFE AND I ARE BOTH AIR FORCE VETERANS,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
57LILRD,ITS A 1957 RED CORVETTE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
69LTRN,1969 GREEN PICK UP. NICK NAME GREEN LANTERN,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
4KATZ,HAVE FOUR CATS,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
SP&RTOG,"""OG"" GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
BL3UBYU,BLUE BAYOU,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
OGSNOW,"""OG"" GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
TACOKEV,KEVINS TACOMA,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Diverse Personal Expressions,Personal and Family names,Vehicle and Car Descriptions and Attributes
HVNALAF,HAVING A LAUGH,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
H2OVAPR,"WATER VAPOR, THE EXHAUST FROM MY TOYOTA MIRAI HYDROGEN FUEL CELL VEHICLE.",Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
DERTBAG,I'AM A HUGE FAN AND AN ALUMNI OF CSULB  BASEBALL TEAM. THIS IS THE NICNAME GIVEN TO THE COLLEGE BASEBALL TEAM.,Personal and Family names,Diverse Personal Expressions,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions
EXPOSED,CONVERTABLE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
GOBLU 83,MICHIGAN PHRASE... GO BLUE AND THE YEAR 1983,Business and University Identities,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
GOPS911,INITIALS AND MODEL OF CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ILUVBLU,BLU IS MY DAUGHTERS'S NAME. :),Colors and Descriptive Traits,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
RD KAT,KAT,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
6 6 SIX,DOB,Business and University Identities,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Business and University Identities
BLUJOLT,THE CAR IS AN ELECTRIC BLUE COLOR NISSAN LEAF,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
PEANUT9,DAUGHTER NICKNAME,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names
C63 GENG,MY CAR AND MY NAME,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
DIEGO5M,MY SON NAME AND BIRTHDAY MONTH,Area code and Numbers,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
DUCKS 14,UNIVERSITY MASCOT AND GRADUATION YEAR,Business and University Identities,Diverse Personal Expressions,Business and University Identities,Pet and Animal Themes,Business and University Identities
GRL CAT,GOING ON 1999 BLACK JAGUAR XJR OWNED BUY A WOMAN,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
GT BLLIT,MUSTANG GT BULLIT,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
HOAXWGN,VOLKSWAGEN PUN,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes
LCAT 707,MODEL OF VEHICLE AND HORSEPOWER,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
NGOC666,THIS IS MY NAME 666 LUCKY NUMBER,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
OL BLOO,THE VEHICLE'S NICKNAME IS OLD BLUE,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
REDREX1,SUBARU,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
RED ROXY,MY CAR IS RED AND HER NAME IS ROXY,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
SKNDLUS,MY NEW CAR IS BLACK AND A CONVERTABLE AND IS SCANDULUS!!!,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Vehicle and Car Descriptions and Attributes,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations
1771K3Y,MIKEY!!,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
W88&4IT,W88&4IT,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
HIDROOO,HYDRO,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
MONO 1,MONO AS IN MONONUCLEOSIS??,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
NANA 8A,NANA ATE A…,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
Z124SJ,LOOK A LIKE,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
532 VAPE,VAPE,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
GO NINJA,GO NINJA NCOULD ALSO BE USED IN LIEU OF GO NIGGA,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions
BB CAKE,MY DAUGHTER IS CALLED BABY CAKES,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLDSWTR,BLOOD SWEAT AND TEARS,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
DOCTA 13,"DOCTOR WHO TV SHOW REFERENCE. THERE ARE 12 DOCTORS, MY LICENSE PLATE IMPLIES THAT I AM THE 13TH DOCTOR.",Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
LARSCAT,LARRY'S KAT. OUR TWO NAMES TOGETHER.,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
NOTCH U,NOT YOU,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
URSLATE,ROCK,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
1DOHCSI,REPRESENTS CAR ENGINE AND MODEL,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
996 X5OX,pulled for 5-oh=police.  Has a Ford (6XVP389) but the body type is SV? Doesn’t sound like a Mustang…,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
QING 666,MY WIFE NAME,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
6SPDKAT,6 SPEED KAT,Diverse Personal Expressions,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes
HIKE619,HIKE SAN DIEGO,Business and University Identities,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
H8DUKE,UNC FANS. DUKE IS OUR ARCHRIVAL TEAM!,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Pet and Animal Themes,Business and University Identities
LIVNBCH,LIVE ON BEACH,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLCKAT9,BLACK CAT,Pet and Animal Themes,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
L PECHY,MY NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
ABRNZTL,A BRONZ TAIL,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes
ANGRYBE,MY CAR IS A SUPER BEE DODGE CHARGER SO I  NAMED IT ANGRY BE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
BLP,BRIAN LEONARD PERRY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
BLUAYE,BLUE HAWAII,Colors and Descriptive Traits,Area code and Numbers,Area code and Numbers,Pet and Animal Themes,Area code and Numbers
BLUDOG2,"BLUE, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
BLUEE66,MY DAUGHTER CALLS MY 1966 CHEVELLE BLUEE  SINCE SHE WAS 3. SO THAT IS THE NAME OF THE CAR.,Colors and Descriptive Traits,Personal and Family names,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CECYG,CECILIA GONZALEZ,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
CHEVY13,MAKE AND YEAR OF MY CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
FAIRYSZ,BECAUSE I DRIVE A SMALL CAR...AND LOVE  TINKERBELL & PIXIE DUST IS NOT AVAILABLE.,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions
HOTBLUE,BIG BLUE TRUCK WITH A BIG V8 ENGINE,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ILVBLU2,COLOR FAVORITE,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits
JMBIRDY,JERRY MARQUEZ THUNDERBIRD,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
JUN1472,"14, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Area code and Numbers,Gang Color and Controversial Affiliations
KNT2DAY,NOT TO DAY,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
LT1SS1,SS1 REFERS TO A TYPE OF GUN,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
NYBLUE,"BLUE, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
SLSBABY,SLS IS AN ACRONYM FOR A SWINGER/SEX WEBSITE. SWINGLIFESTYLE.COM,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Diverse Personal Expressions
BLUDZL,BLUE DAZZLE,Colors and Descriptive Traits,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
REDSPDR,RED SPIDER,Colors and Descriptive Traits,Pet and Animal Themes,Gang Color and Controversial Affiliations,Pet and Animal Themes,Pet and Animal Themes
8T8MPH,"88 MILES PER HOUR-FROM ""BACK TO THE FUTURE"". THE PLATE IS FOR A DELOREAN.",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
RDBOTTM,RED BOTTOM SHOES CHRISTIAN LOUIBATON,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
REDLYND,"RED, GANG REFERENCE",Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Gang Color and Controversial Affiliations
BEEZ NES,BUSINESS (YELLOW CAR FOR BUSINESS),Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CSIDER,IN REFERENCE TO SEASIDE REEF CARDIFF STATE PARK,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Colors and Descriptive Traits
HANI G,MY FIRST NAME AND FIST LETTER OF MY LAST NAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Personal and Family names
KIT CATT,NICK NAME MY FATHER USE TO CALL ME,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
RED1TOY,THE NAME OF MY COMPANY IS RED-TOY. SINCE THAT ISN'T AVAILABLE I LOOKED FOR A VARIATION THAT IS AVAILABLE,Colors and Descriptive Traits,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
SFG HCAT,SAN FRANCISCO GIANTS FAN,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
SINFUL6,"ITS A SIN FOR A CAR TO LOOK SO GOOD, 2006 CORVETTE SHOW CAR..",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
TT BMW,"PLATE IS GOING ON A 2015 BMW M4. THE ""TT"" STANDS FOR TWIN TURBO AND IS A  POPULAR ACRONYM IN THE AUTOMOTIVE WORLD.",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
XU666,"XU IS MY LAST NAME, AND 666 IS A LUCKY NUMBER",Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
4O8HEMI,THE TYPE OF ENGINE IN MY VEHICLE.,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
LOWREDA,LOW FRAME(CORVETTE) RED INTERIOR,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes,Colors and Descriptive Traits,Vehicle and Car Descriptions and Attributes
6S6I6X,SIX SIX SIX,Business and University Identities,Area code and Numbers,Area code and Numbers,Area code and Numbers,Area code and Numbers
BLU PLN8,BLUE PLANET,Colors and Descriptive Traits,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
CAT CADI,CAT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
GOBLU16,FAVORITE TEAM AND FAVORITE NUMBER,Area code and Numbers,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
HAPPY13,"MY NICKNAME IS HAPPY, THE CAR IS A 2013",Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
HLLCAT 2,HELLCAT TOO. THIS PLATE IS GOING ON A DODGE HELLCAT. HELLCAT WAS ALREADY TAKEN SO I ADDED A 2.,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Vehicle and Car Descriptions and Attributes
014X4XJ,LAST YEAR THE JEEP CHEROKEE XJ WAS MADE WAS 2001 AND IT IS A FOUR WHEEL DRIVE JEEP SO THE PLATE ID'S THE JEEP CORRECT FOR WHAT IT IS,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
PILT LYF,PILOT LIFE,Business and University Identities,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
REDEURO,RED,Colors and Descriptive Traits,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Colors and Descriptive Traits,Colors and Descriptive Traits
STRACAT,CAT,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
51OSR2O,510 IS CAR SR20 IS ENGINE,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes,Area code and Numbers,Vehicle and Car Descriptions and Attributes
BLU R2D2,"THE COLOR ""BLUE"" AND THE STAR WARS CHARACTER ""R2-D2""",Diverse Personal Expressions,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits,Colors and Descriptive Traits
CSTC14,COMPANY NAME/VEHICLE NUMBER,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
VAPEQUN,I OWN A VAPOR BUSINESS.,Business and University Identities,Business and University Identities,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Business and University Identities
YAH BLUE,UNIVERSITY IF MICHIGAN ALUMNI,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities,Business and University Identities
EM1 BLU,"BLUE EM1 HONDA, EM1 IS THE MODEL OR TYPE OF CAR",Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
ALLEKT,ALLISON IS MY NAME NICKNAME IS ALLY CAT AND THIS IS CLOSEST AVAILABLE,Personal and Family names,Pet and Animal Themes,Diverse Personal Expressions,Pet and Animal Themes,Pet and Animal Themes
A32ROD,OLD 32 CAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
BIGREDE,NICKNAME,Personal and Family names,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
BLUSHFT,"BLUE SHIFT, A PHYSICS TERM AND CAR IS BLUE  AND MANUAL TRANSMISSION",Business and University Identities,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
CASFJ14,CAS CASTILLO FJ TOYOTA CRUISER 14 THE YEAR,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Personal and Family names,Vehicle and Car Descriptions and Attributes
DABLUE,THE GIRL FROM THE BLUE SIERRA,Diverse Personal Expressions,Gang Color and Controversial Affiliations,Gang Color and Controversial Affiliations,Pet and Animal Themes,Gang Color and Controversial Affiliations
DEZERTG,MY LOVE FOR THE DESERT AND MY MIDDLE INITIAL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
DLRA113,"DLR DISNEYLAND RESORT ACRONYM, FAVORITE  PLACE TO VISIT. A113- PIXAR HIDDEN EASTER EGGS THAT APPEAR IN ALL MOVIES.",Diverse Personal Expressions,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Diverse Personal Expressions
DONKEY1,A NICKNAME THAT SUGGESTS THE VEHICLE IS A  WORK HORSE AND CARRIES HEAVY LOADS,Diverse Personal Expressions,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
FOGIVEN,FORGIVEN BY GOD,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Pet and Animal Themes,Diverse Personal Expressions
FYSHSTX,I LIKE THE BANDS PHISH AND STYX. ITS A PLAY  ON WORDS.,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions
GARYS14,MY NAME AND YEAR,Vehicle and Car Descriptions and Attributes,Diverse Personal Expressions,Diverse Personal Expressions,Personal and Family names,Diverse Personal Expressions
GJEEP15,GAYLE'S 2015 JEEP,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes,Vehicle and Car Descriptions and Attributes
GPEACH,GEORGIA PEACH,Diverse Personal Expressions,Area code and Numbers,Area code and Numbers,Colors and Descriptive Traits,Area code and Numbers
HECROD,INITAIL OF FIRST AND LAST NAME,Personal and Family names,Personal and Family names,Diverse Personal Expressions,Personal and Family names,Personal and Family names
JOYFLJ,IT STANDS FOR JOYFUL JULIANNA (MY  DAUGHTER'S NAME),Diverse Personal Expressions,Personal and Family names,Personal and Family names,Personal and Family names,Personal and Family names
KDUB35,KEVIN DURANT #35 WARRIORS BASKETBALL,Diverse Personal Expressions,Diverse Personal Expressions,Diverse Personal Expressions,Area code and Numbers,Diverse Personal Expressions
KWIKKAT,QUICK CAT ( JAGUAR!),Vehicle and Car Descriptions and Attributes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes,Pet and Animal Themes
LCKY713,FAVORITE NUMBERS,Area code and Numbers,Area code and Numbers,Area code and Numbers,Diverse Personal Expressions,Area code and Numbers
MLOYEL,COLOR,Colors and Descriptive Traits,Diverse Personal Expressions,Diverse Personal Expressions,Colors and Descriptive Traits,Diverse Personal Expressions
