index,plate,meaning,classification,string_classification
273,SYCOPTH,PSYCHOPATH,7,"Sports, Teams, Regional"
274,DOZER NO,DOZER=SLANG FOR MARIJUANA,2,"Sexual, Offensive, Controversial"
275,SIC FISH,SICK FISH,8,"Sexual, Provocative"
276,URFANCY,THAT YOUR FANCY,1,"Humor, Personal, Playful"
277,LAROOKA,OLDER LADY in chilean slang,8,"Sexual, Provocative"
278,BOSTN BS,BS LOOKS LIKE BULL SHIT,1,"Humor, Personal, Playful"
279,TOITACO,TOYOTA TACOMA,7,"Sports, Teams, Regional"
280,MYDIX4U,MY DICK IS FOR YOU,5,"Defiant, Rebellious, Aggressive"
281,BLEUSTL,BLUE STEEL.,8,"Sexual, Provocative"
282,PLZDNH8,PLEASE DONT HATE,8,"Sexual, Provocative"
283,CATS GE,COMPANY NAME CATS,1,"Humor, Personal, Playful"
284,SAMS TT,TT SEXUAL REFERENCE,4,"Profanity, Drugs, Gang References"
285,SUPTNRA,NRA-NATIONAL RIFLE ASSOCIATION,0,"Weapons, Cars, Masculine Themes"
286,MOMLSHT,MOMLL SHIT MOM WILL SHIT,5,"Defiant, Rebellious, Aggressive"
287,LRG RED,IT IS A BIG STATION WAGON THAT IS PAINTED RED,6,"Humorous, Quirky, Personal"
288,NOKJEFE,JEFE,1,"Humor, Personal, Playful"
289,NEGRO49,BLACK 1949 PULLED FOR NEGRO,7,"Sports, Teams, Regional"
290,D MALO,THE (D) STANDS FOR MY NAME DANIEL.  THE PART MALO IS THE OPPOSITE OF MY LAST NAME IN SPANISH(BUENO).,6,"Humorous, Quirky, Personal"
291,B MOIST,SEXUAL,1,"Humor, Personal, Playful"
292,PPABRN,POPPA BROWN PP,7,"Sports, Teams, Regional"
293,DURDEE,COULD HAVE SEXUAL CONNOTATION,8,"Sexual, Provocative"
294,H8DES,FAVORITE GREEK MYTH,1,"Humor, Personal, Playful"
295,G VANYA,VANYA - GIFT OF GOD; G STANDS FOR GOSWAMI WHICH IS MY LAST NAME,6,"Humorous, Quirky, Personal"
296,6 CHORNI,google translate  says it means horney,4,"Profanity, Drugs, Gang References"
297,SED8N RN,SEDATING RN,7,"Sports, Teams, Regional"
298,GOFUKIT,GO FUCK IT,5,"Defiant, Rebellious, Aggressive"
299,CMXXV,"925 IN ROMAN NUMERALS, AREA CODE",4,"Profanity, Drugs, Gang References"
300,H8MENOW,Hate me now,8,"Sexual, Provocative"
301,$JAP G,JAP IS RACIALLY OFFENSIVE,4,"Profanity, Drugs, Gang References"
302,ADVTACO,ADVENTURE TACOMA,1,"Humor, Personal, Playful"
303,THOTIE,THOT IS ANOTHER WORD FOR HOE/SLUT,2,"Sexual, Offensive, Controversial"
304,818GIRL,VALLEY GIRL 818 = AREA CODE,4,"Profanity, Drugs, Gang References"
305,SWTWAGN,SWEET WAGON,1,"Humor, Personal, Playful"
306,LUV WORM,COULD HAVE SEXUAL CONNOTATION,8,"Sexual, Provocative"
307,LOL AF,LOL = LAUGH OUT LOUD AF = MY STANDUP COMEDY NAME ALEX FUNNY,4,"Profanity, Drugs, Gang References"
308,GSOLMAN,FIRST INITIAL AND LAST NAME,3,"Personal, Family, Sentimental"
309,DOPEG37,"DOPE, DRUG REFERENCE",4,"Profanity, Drugs, Gang References"
310,FN FUN,FUCKING FUN,5,"Defiant, Rebellious, Aggressive"
311,REDCROC,RED CROC,1,"Humor, Personal, Playful"
312,RED LDR,SCI-FI MOVIE REFERENCE. RED LEADER.,4,"Profanity, Drugs, Gang References"
313,ITZ DOPE,ITS COOL,1,"Humor, Personal, Playful"
314,HELL BAE,HELL,5,"Defiant, Rebellious, Aggressive"
315,CICARIO,SICARIO MEANS HITMAN OR HIRED KILLER IN SPANISH,2,"Sexual, Offensive, Controversial"
316,BLZMBL,"BLAZE MOBILE, DRUG REFERENCE",4,"Profanity, Drugs, Gang References"
317,NEG POS,ELECTRIC VEHICLE,7,"Sports, Teams, Regional"
318,WAN KAH,WANKER A SLANG WORD FOR SOMEONE WHO UPSETS YOU,2,"Sexual, Offensive, Controversial"
319,SOLO MOB,MOB,1,"Humor, Personal, Playful"
320,FAQ BISH,FUCK BITCH,5,"Defiant, Rebellious, Aggressive"
321,1T1I1T1,SAYS TIT WITH NUMBERS IN BETWEEN THE LETTERS,4,"Profanity, Drugs, Gang References"
322,559JATT,559 IS MY AREA CODE AND JATT MEANING IS HARD WORKINGMAN 559 FRESNO AREA CODE,4,"Profanity, Drugs, Gang References"
323,1 BD BECH,1 BAD BITCH,5,"Defiant, Rebellious, Aggressive"
324,53OCALI,"WANTING TO REPRESENT CALIFORNIA 530 IS CUSTOMERS AREA CODE IN ORLAND, CA",4,"Profanity, Drugs, Gang References"
325,HTNFOOL,HATIN FOOL,5,"Defiant, Rebellious, Aggressive"
326,FUN FD,FUN FOOD,1,"Humor, Personal, Playful"
327,1NSTY V,ONE NASTY V,8,"Sexual, Provocative"
328,WEEEEED,WEED,1,"Humor, Personal, Playful"
329,TYJUICY,THANK YOU TO MY DECEASED HUSBAND PULLED FOR JUICY,1,"Humor, Personal, Playful"
330,DUB JUKE,my nickname is dub. I own a nissan juke car. dub can have a drug connotation,6,"Humorous, Quirky, Personal"
331,DR DABS,"NICKNAME DABS=BUTANE HASH OIL, DRUG CONNOTATION",2,"Sexual, Offensive, Controversial"
332,U CUTEAF,YOU CUTE AS FUCK,5,"Defiant, Rebellious, Aggressive"
333,31O HB,AREA CODE HERMOSA BEACH 310 = AREA CODE,4,"Profanity, Drugs, Gang References"
334,DMNBLUE,DAMN BLUE,5,"Defiant, Rebellious, Aggressive"
335,DOUGHHO,STUFFED BAKERY DOUGH MAKER HOE,7,"Sports, Teams, Regional"
336,SEXXER,SEXER,1,"Humor, Personal, Playful"
337,YOWMOMA,YO MOMMA,5,"Defiant, Rebellious, Aggressive"
338,DRTYHRS,MUDDY 4X4 FORD BRONCO. BRONCO IS THE HORSE EMBLEM ON THE TRUCK COULD HAVE SEXUAL CONNOTATION,0,"Weapons, Cars, Masculine Themes"
339,BADDA6O,LOOKS LIKE BAD ASS 60,1,"Humor, Personal, Playful"
340,BUD1956,"BUD CAN MEAN MARIJUANA, NOT HIS NAME",4,"Profanity, Drugs, Gang References"
341,MYOPUS1,"MY CAR IS LIKE A FINE WINE. PUS CAN BE SHORT FOR PUSSY, SEXUAL",6,"Humorous, Quirky, Personal"
342,818 CODE,CA AREA CODE,4,"Profanity, Drugs, Gang References"
343,FTW DYNA,FUCK THE WORLD,5,"Defiant, Rebellious, Aggressive"
344,NEGRA 50,"IT A 2017 FORD MUSTANG 5.0 AND ITS ALL BLACK, SO NEGRA IS BLACK IN SPANISH AND 5O ITS FOR 5.0",6,"Humorous, Quirky, Personal"
345,NO PNDJO,NO PENDEJO SPANISH CURSE WORD,4,"Profanity, Drugs, Gang References"
346,18 KWH,BATTERY CAPACITY OF THE VOLT,4,"Profanity, Drugs, Gang References"
347,B HALLS,STAND ALONE B=BITCH (ALSO SOUNDS LIKE BALLS) CUSTOMER IS BRYAN HALL,4,"Profanity, Drugs, Gang References"
348,MOJO VAN,MY NICKNAME,1,"Humor, Personal, Playful"
349,H8N BMPS,HATEN?,8,"Sexual, Provocative"
350,DAF,DOWN AS FUCK,5,"Defiant, Rebellious, Aggressive"
351,DARWIN14,NAME AND BIRTHDAY,3,"Personal, Family, Sentimental"
352,SUBIE AF,THE CAR IS A SUBARU AND MY INTITIALS ARE AF AF CAN STAND FOR AS FUCK (CUSTOMERS INITIALS ARE AF),4,"Profanity, Drugs, Gang References"
353,GRMAG,GRAMA LOVES HER GRANDKIDS,5,"Defiant, Rebellious, Aggressive"
354,18BYH94,BRIAN YOSEF HINOJOSA 18/1994,4,"Profanity, Drugs, Gang References"
355,DICKARD,DICK HARD,8,"Sexual, Provocative"
356,ONW2 FYB,ON MY WAY 2 FUCK YOUR BITCH,5,"Defiant, Rebellious, Aggressive"
357,WAASSUP,WHATS UP...HOW ARE YOU DOING ASS UP?,6,"Humorous, Quirky, Personal"
358,DRTYTYZ,"OFFROAD DIRT TOYS FOR MY TRAILER DIRTY TOYS, COULD BE CONSIDERED SEXUAL",4,"Profanity, Drugs, Gang References"
359,FLAT6 9K,"FLAT 6 ENGINE IN PORSCHE GT3 THAT REVS TO 9,000RPM",0,"Weapons, Cars, Masculine Themes"
360,K SERO,NICKNAME CAT,1,"Humor, Personal, Playful"
361,R8RDUKY,RUBBER DUCKY,7,"Sports, Teams, Regional"
362,LYV FISH,"THE OWNER IS A FISHERMAN AND SELLS LIVE FISH OFF HIS BOAT. ALSO HIS LAST NAME IS LYFORD, SO IT HAS A DOUBLE MEANING",6,"Humorous, Quirky, Personal"
363,CRDKILR,"CROWD CONTROL (MUSTANG JOKE) KILLER, HOSTILE",4,"Profanity, Drugs, Gang References"
364,COPNOPE,I DRIVE A RETIRED CROWN VICTORIA POLICE INTERCEPTOR AND I WANT TO EMPHASIZE THAT IM NOT A COP,6,"Humorous, Quirky, Personal"
365,IDO1214,WEDDING DATE,1,"Humor, Personal, Playful"
366,MS14FEB,MISS VELENTINE,1,"Humor, Personal, Playful"
367,Y H8 ME,WHY HATE ME,5,"Defiant, Rebellious, Aggressive"
368,TCBLAMF,"TAKIN CARE OF BUSINESS LIKE A MO FO. - ITS JUST COOL, NO AFFILIATION TO ANYTHING. :)",4,"Profanity, Drugs, Gang References"
369,6872 V14,"BIRTH YEARS FOR ME, WIFE, DAUGHTER 14 = GANG NUMBER",3,"Personal, Family, Sentimental"
370,6EBELLE,NICKNAME SEXY BELLE,1,"Humor, Personal, Playful"
371,BYE PIG,PIG COP,7,"Sports, Teams, Regional"
372,TAP D IN,TAPPED IN COULD HAVE SEXUAL CONNOTATION,1,"Humor, Personal, Playful"
373,BDASGRM,BAD ASS GRANDMA,5,"Defiant, Rebellious, Aggressive"
374,1 MAD O,ONE MAD HOE(O),8,"Sexual, Provocative"
375,OLDHAG,"OLD WOMAN HAG, SOME MAY TAKE OFFENSE",8,"Sexual, Provocative"
376,1 BAM F,BADASS MOTHER FUCKER,8,"Sexual, Provocative"
377,13KH73B,MY FAVORITE NUMBER 13 AND MY BIRTH YEAR 73 AND INITIALS HB 13 = GANG NUMBER,3,"Personal, Family, Sentimental"
378,LUKYA55,LUCKY ASS,5,"Defiant, Rebellious, Aggressive"
379,LIT LAW,COMPANY NAME LIT=HIGH OR DRUNK. CUSTOMER FIRST NAME IS LITLIT,2,"Sexual, Offensive, Controversial"
380,BIOSKLR,INTERNET NICKNAME KILLER,0,"Weapons, Cars, Masculine Themes"
381,DEWSHBG,DOUCHE BAG,8,"Sexual, Provocative"
382,39891,A NUMBER ASSIGNED TO ME BY MY JOB THAT IM VERY PROUD OF,6,"Humorous, Quirky, Personal"
383,SMOKEUN,"HUSBAND RETIRED FIREMAN. CAR IS GRAY THAT LOOKS LIKE SMOKE. SMOKIN, COULD BE DRUG REFERENCE",0,"Weapons, Cars, Masculine Themes"
384,SKYHY,SKY HIGH VERY HIGH,8,"Sexual, Provocative"
385,OKAY CUH,OKAY FRIEND OR COUSIN,1,"Humor, Personal, Playful"
386,5OACRES,50 ACRES OF LAND,7,"Sports, Teams, Regional"
387,LOL PP,LOL pp=peepee=penis,2,"Sexual, Offensive, Controversial"
388,889 88,88 HITLER REFERENCE,4,"Profanity, Drugs, Gang References"
389,2 CREAMY,FAMILY NICKNAME TOO ME IT SOUNDS SEXUAL,4,"Profanity, Drugs, Gang References"
390,O311 MM,MY HUSBAND WAS IN THE MARINE CORPS AND HIS MOS WAS 0311 AND HIS INITIALS ARE MM,6,"Humorous, Quirky, Personal"
391,69ZOMBI,CAR MAKE AND MODEL,0,"Weapons, Cars, Masculine Themes"
392,PSTLROS,PISTOL,7,"Sports, Teams, Regional"
393,TELLE B,TELLE BITCH,8,"Sexual, Provocative"
394,HBGRL1 3,HUNTINGTON BEACH LOCAL GIRL 13 = GANG NUMBER,4,"Profanity, Drugs, Gang References"
395,LEO13H4,LEO MY SON 13 HIS DAY OF BIRTH H FOR HERNANDEZ 04 HIS FROM APRIL 13=GANG,6,"Humorous, Quirky, Personal"
396,PHQDKHD,"PHQ COULD STAND FOR FUCK AND DK COULD BE DICK, VULGAR TERMS",2,"Sexual, Offensive, Controversial"
397,WUTANNG,ITS A GROUP OF TALENTED MUSIC ARTISTS BACK IN THE EARLY 90S. MY FAVORITE GROUP.,6,"Humorous, Quirky, Personal"
398,BIGMO69,NICKNAME PULLED FOR 69 Cant see ANI,4,"Profanity, Drugs, Gang References"
399,DR STANK,WIFE HAS A DOCTORATE IN EDUCATION AND STANK IS A NICKNAME Urban Dictionary says it means whoreish trashy or stinky and can have sexual connotationsâ€¦?,6,"Humorous, Quirky, Personal"
400,STIDFWU,STI IS MY CARS NAME FROM SUBARU. SUBARU STI AND DFWU MEANS I DONâ€™T WANT ANY TROUBLES I DONâ€™T FUCK WITH YOU,6,"Humorous, Quirky, Personal"
401,DVLMOBL,DEVIL MOBILE,1,"Humor, Personal, Playful"
402,AMF HTRS,ALL MY FAMILY HAS TWO RIGHT SHOES- WE ARE ALL BALLROOM DANCERS AND ITS AN INSIDE JOKE,6,"Humorous, Quirky, Personal"
403,FNH FAL,FN FAL IS A SEMI AUTOMATIC RIFLE,4,"Profanity, Drugs, Gang References"
404,BEES HUM,"HONEY BEES HUM, AS IN SINGING HUM CAN HAVE SEXUAL CONNOTATIONS",2,"Sexual, Offensive, Controversial"
405,CANABCH,cannabeach is a medical marijuana delivery service,4,"Profanity, Drugs, Gang References"
406,CAZZO,ITALIAN FOR FUCK,5,"Defiant, Rebellious, Aggressive"
407,69CUDIE,FOR MY 1969 BARRACUDA COULDNT VERIFY 1969. CUDIE..SEX,6,"Humorous, Quirky, Personal"
408,BUBZS,BOOBS,8,"Sexual, Provocative"
409,FADYNP,COULD BE FATTY NIP (NIPPLE),2,"Sexual, Offensive, Controversial"
410,HY ROLER,HIGH ROLLER COULD BE DRUG REFERENCE,1,"Humor, Personal, Playful"
411,GSLILCR,GLORIA SASSES LITTLE CAR,0,"Weapons, Cars, Masculine Themes"
412,RSQKTY,rescue kitty,8,"Sexual, Provocative"
413,WET WLYS,WET WILLYS,7,"Sports, Teams, Regional"
414,SHIV OO1,"NAMED AFTER MY SON, WHOSE NAME IS SHIV. WE WOULD LIKE TO GIFT HIM THIS LICENSE PLATE AS A LIFETIME MEMORABILIA BY NAMING OUR FIRST LUXURY CAR AFTER HIS NAME. SHIV = HOMEMADE KNIFE, COMMONLY USED PRISON TERM (SHIV, SHIV1, SHIV2 are released.)",6,"Humorous, Quirky, Personal"
415,JDUBS,"DUB, DRUG REFERENCE",4,"Profanity, Drugs, Gang References"
416,MI HYNA,GANGSTER GIRL OR CHOLA,2,"Sexual, Offensive, Controversial"
417,LOCO8N1,CRAZY 8,1,"Humor, Personal, Playful"
418,KLR 65OE,"650 AREA CODE, KILLER",4,"Profanity, Drugs, Gang References"
419,EL CHOPR,"NICK NAME THE CHOPPER, HOSTILE",4,"Profanity, Drugs, Gang References"
420,2TITG1B,TIT-LIKE BREAST?,8,"Sexual, Provocative"
421,BKICKER,"KICKER OR LOOKS LIKE B, KICK HER",8,"Sexual, Provocative"
422,IFUWKIT,I FUCK WITH IT,8,"Sexual, Provocative"
423,GUEROSI,FAMILY NAME,1,"Humor, Personal, Playful"
424,GASSSUC,GAS SUCKS,1,"Humor, Personal, Playful"
425,HLYWDHI,"LOOKS LIKE HOLLYWOOD HI, DRUG FEREFENCE",4,"Profanity, Drugs, Gang References"
426,PDEWAGN,PADY WAGON,8,"Sexual, Provocative"
427,TRILL OG,TRILOGY OG = ORIGINAL GANGSTER,4,"Profanity, Drugs, Gang References"
428,6939OC6,69/ YEAR OF TRUCK 1969 390/ ENGINE SIZE. C6/ TRANSMISSION TYPE,0,"Weapons, Cars, Masculine Themes"
429,1776US1,AMERICAN INDEPENDANCE,1,"Humor, Personal, Playful"
430,N54GANG,"GANG, GANG REFERENCE",2,"Sexual, Offensive, Controversial"
431,MLUVSTX,"LOVE STICKS, SEXUAL REFERENCE TO A PENIS",2,"Sexual, Offensive, Controversial"
432,DEEPRED,"RED, GANG REFERENCE (OR POLITICAL?)",2,"Sexual, Offensive, Controversial"
433,KATHELL,HELL CAT IS NAME OF OUR MODEL CAR,4,"Profanity, Drugs, Gang References"
434,LOVE BJ,LOVE BJ BLOW JOB,5,"Defiant, Rebellious, Aggressive"
435,BETHE B,BE THE BITCH,5,"Defiant, Rebellious, Aggressive"
436,ICEUP,ICE UP MEANS STEP YOUR GAME UP ICE IS ANOTHER WORD FOR DRUGS,4,"Profanity, Drugs, Gang References"
437,PWNED13,VARIATION OF THE WORD OWNED. IMPLIES DOMINATION AND MY DATE OF BIRTH IS THE 13TH 13 = GANG NUMBER,6,"Humorous, Quirky, Personal"
438,MUFAXUH,MOTHER FUCKER,5,"Defiant, Rebellious, Aggressive"
439,ARCE,"SIMILAR TO ARSE, ANOTHER WORD FOR ASS",2,"Sexual, Offensive, Controversial"
440,8O8POKE,HAWAIIN STYLE POKE,8,"Sexual, Provocative"
441,75TH JP,75TH ANNIVERSARY JEEP,1,"Humor, Personal, Playful"
442,HITMAN,"IN MEETING MY PERSONAL GOAL OF OWNING A LINCOLN MARK V, HITTING THE MARK! KILLER",4,"Profanity, Drugs, Gang References"
443,88BURNZ,NUMBER AND NAME OF FAVORITE SAN JOSE SHARKS PLAYER,3,"Personal, Family, Sentimental"
444,WSUPESE,WHATS UP ESE GANG SLANG?,4,"Profanity, Drugs, Gang References"
445,RED TOP,"REFERENCE TO COMPANY, RED TOP SPORT CENTER IN STOCKTON CA.",4,"Profanity, Drugs, Gang References"
446,CRYRMOB,CRYER FAMILY MOB=CRIME FAMILY OR MEMBER OF BLOODS Cryer is family name,2,"Sexual, Offensive, Controversial"
447,DINAN AF,THIS PLATE WILL BE GOING ON TO A RARE BMW THAT WAS BUILT BY DINAN AUTOMOTIVE FIRSTS AF = AS FUCK,4,"Profanity, Drugs, Gang References"
448,BLK PC,BLACK PORSCHE CARRERA,7,"Sports, Teams, Regional"
449,MUTANT G,"THE PLATE REPRESENTS A CUSTOMIZED VEHICLE BASED ON A TV ANIMATED SERIES, TEENAGE MUTANT NINJA TURTLES G=GANGSTER",4,"Profanity, Drugs, Gang References"
450,FIGHTS,FIGHTS=VIOLENCE,4,"Profanity, Drugs, Gang References"
451,BRYTBLU,BRIGHT BLUE BLUE- GANG COLOR,2,"Sexual, Offensive, Controversial"
452,CHEEEX,CHEEKS=ASS,4,"Profanity, Drugs, Gang References"
453,BCH4YOU,IM A REAL ESTATE AGENT WHO SELLS BEACH PROPERT BEACH FOR YOU OR BITCH FOR YOU,6,"Humorous, Quirky, Personal"
454,HAT3,"HATE (not a lookalike or sub, customer last name is Hatfield)",4,"Profanity, Drugs, Gang References"
455,BLK SVGE,SAVAGE=A CRUDE OR UNCIVILIZED PERSON; A FIERCE OR VICIOUS PERSON,2,"Sexual, Offensive, Controversial"
456,HIF4LFE,HI FOR LIFE,1,"Humor, Personal, Playful"
457,UTRA GNZ,UTRA GNZ(GUNS),4,"Profanity, Drugs, Gang References"
458,RUSSO13,RUSSO=RUSSIAN 13-GANG,2,"Sexual, Offensive, Controversial"
459,BLK911S,THE MAKE OF MY CAR IS A PORSCHE.  THE COLOR IS BLACK.  THE MODEL IS A  911S.,6,"Humorous, Quirky, Personal"
460,YRU1 2H8,WHY ARE YOU ONE TO HATE,5,"Defiant, Rebellious, Aggressive"
461,AGENCYG,"AGENCY G, GANG REFERENCE",4,"Profanity, Drugs, Gang References"
462,ST4R W4R,STAR WARS,7,"Sports, Teams, Regional"
463,4QIDGAF,IDGAF-I DONT GIVE A FUCK,4,"Profanity, Drugs, Gang References"
464,YUGO G,YOU GO G AS IN GANGSTER,4,"Profanity, Drugs, Gang References"
465,NNJA HLR,NINJA HAULER,7,"Sports, Teams, Regional"
466,COMEONB,COME ON B = BITCH,4,"Profanity, Drugs, Gang References"
467,C ME 4MJ,SEE ME FOR MARY JANE,1,"Humor, Personal, Playful"
468,UR MVN,YOU ARE MOVING. I AM A REALTOR,6,"Humorous, Quirky, Personal"
469,SCHIZAH,SHIT IN GERMAN,1,"Humor, Personal, Playful"
470,DFIESTA,"THE D COULD STAND FOR DICK, DICK PARTY",4,"Profanity, Drugs, Gang References"
471,PIMPJCE,PIMP JUICE. A NELLY SONG. A DRINK. MOJO,6,"Humorous, Quirky, Personal"
472,DNAZZTY,D(DICK?) NASTY,8,"Sexual, Provocative"
473,CUDA 7T,1970 CUDA,4,"Profanity, Drugs, Gang References"
474,FUCKK IT,FUCK IT,5,"Defiant, Rebellious, Aggressive"
475,MALIBU G,MALIBU G-GANGSTER,7,"Sports, Teams, Regional"
476,5PTHOE,5 POINT/PATH HOE-WHORE.,4,"Profanity, Drugs, Gang References"
477,MNT CHP,MINT CHIP ICE CREAM,7,"Sports, Teams, Regional"
478,SMOKY,SMOKY,1,"Humor, Personal, Playful"
479,JONKY,JUNKY?,8,"Sexual, Provocative"
480,CRP INS,CRIP,8,"Sexual, Provocative"
481,DEAD1CO,DEAD AND CO IS THE NAME OF A BAND I LOVE,1,"Humor, Personal, Playful"
482,FLIPN RE,FLIPPING REAL ESTATE,8,"Sexual, Provocative"
483,8183,BIRTH YEAR OF HUSBAND AND MYSELF,3,"Personal, Family, Sentimental"
484,BONGSKE,BONG-WEED,8,"Sexual, Provocative"
485,13PSALM,RELIGIOUS,1,"Humor, Personal, Playful"
486,OPD6M52,"OPD=OAKLAND POLICE DEPT, THE REST COULD BE A BADGE NUMBER (?)",2,"Sexual, Offensive, Controversial"
487,1PXIDST,PIXIE DUST COULD MEAN TINKERBELL COULD MEAN DRUGS,1,"Humor, Personal, Playful"
488,OG LARAM,ORIGINAL LOS ANGELES RAMS FAN OG=ORIGINAL GANGSTER,4,"Profanity, Drugs, Gang References"
489,JWLUV13,J W LOVE  13 FAVORITE NUMBER 13 = GANG NUMBER,4,"Profanity, Drugs, Gang References"
490,PUMPGUY,I AM AN ENGINEER WHO DESIGNS AND SELLS MUNICIPAL PUMPS- ALSO CONSULTS ON PUMP OPERATIONS- I AM THE PUMP GUY PUMP GUY SEXUALL REFERENCE,6,"Humorous, Quirky, Personal"
491,FORDFX,MODEL OF MY CAR FX COULD STAND FOR FUCKS,4,"Profanity, Drugs, Gang References"
492,#C4 28K,C4 EXPLOSIVE,8,"Sexual, Provocative"
493,GTFO1O1,GTFO=GET THE FUCK OUT 101,4,"Profanity, Drugs, Gang References"
494,6VISIX,666,1,"Humor, Personal, Playful"
495,4A12K88,NAME AND BIRTHDATE,3,"Personal, Family, Sentimental"
496,DOCVAJJ,"DOCTOR VAGINA, SEXUAL REFERENCE",4,"Profanity, Drugs, Gang References"
497,1JMV69,"MY INITIALS AND BORN YEAR 69, SEXUAL REFERENCE",3,"Personal, Family, Sentimental"
498,SUGAR88,SUGAR IS MY DADS NICKNAME FOR ME. THE NUMBER 88 WAS MY YOUNGER BROTHERS FOOTBALL JERSEY NUMBER. HE PASSED AWAY SEVERAL YEARS AGO AND HIS NUMBER IS SPECIAL TO ME.,6,"Humorous, Quirky, Personal"
499,MPG AF,MPG(MILES  PER GALLON?) AS FUCK!,4,"Profanity, Drugs, Gang References"
500,ILS LOC,AVIATION APPROACHES LETTERS   ILSLOC IS INSTRUMENT LANDING SYSTEM LOCALIZER FOR PILOTS,4,"Profanity, Drugs, Gang References"
501,DOPE MK6,MK6 IS THE TYPE OF CAR I HAVE. DOPE=DRUG OR DOPE=COOL,2,"Sexual, Offensive, Controversial"
502,ZRO5ONE,051 YM (YOUNG MONEY) SEEMS GANG RELATED THROUGH GOOGLE SEARCH,0,"Weapons, Cars, Masculine Themes"
503,BON3SAW,"THIS IS MY NICKNAME AND COMES FROM SPIDERMAN MOVIE BONESAW, SOME MAY FIND IT OFFENSIVE (BONESAW LISTED AS UNACCEPTABLE)",6,"Humorous, Quirky, Personal"
504,WOODIE4,MY LAST NAME AND THE NUMBER OF PEOPLE IN MY FAMILY!,4,"Profanity, Drugs, Gang References"
505,5IVEOHH,THE ENGINE TO MY CAR IM GETTING THESE FOR IS A 5.0 FIVE-0=COP REFERENCE,6,"Humorous, Quirky, Personal"
506,2 SICK5O,FIVE-0=COP REFERENCE,4,"Profanity, Drugs, Gang References"
507,BKBUUTY,BLACK BEAUTY (TRUCK),7,"Sports, Teams, Regional"
508,MUDKITI,DIRTY KITTY?,8,"Sexual, Provocative"
509,1 BOLBOL,Tagalog word means testicles,2,"Sexual, Offensive, Controversial"
510,YUHAYTN,WHY YOU HATING,1,"Humor, Personal, Playful"
511,JAPJIT,"PULLED FOR JAP, RACIALLY DEGRADING TERM (JAP SHIT?)",4,"Profanity, Drugs, Gang References"
512,BACINGA,CAN MEAN FOOLED YOU WHEN JOKING AROUND AND PLAYING PRANKS ON PEOPLE BUT IT CAN ALSO MEAN COCK SUCKER IN GERMAN,2,"Sexual, Offensive, Controversial"
513,BLUESTN,MY BUSINESS NAME BLUE STONE,1,"Humor, Personal, Playful"
514,NWA IE,NWA,1,"Humor, Personal, Playful"
515,PUBER,LIKE UBER BUT PUBER. MY NAME IS PETER AND I DRIVE EVERYONE AROUND LIKE UBER. PUBE,6,"Humorous, Quirky, Personal"
516,KNKLS UP,KNUCKLES UP  THE NAME OF MY OFF ROAD GROUP..  YOUR KNUCKLES ARE UP WHEN RIDING  DIRT BIKES PREPARE TO FIGHT,4,"Profanity, Drugs, Gang References"
517,THREEPR,3 PERCENTER,8,"Sexual, Provocative"
518,G BEAST,GUSTAVOS BEAST G AS IN GANGSTER,0,"Weapons, Cars, Masculine Themes"
519,YE4PLAY,YEA PLAY OR YEA FOREPLAY,4,"Profanity, Drugs, Gang References"
520,LIT,BASICALLY MEANS AWESOME OR COOL LIKE THAT IS COOL.. THAT IS LIT LIT CAN MEAN HIGH OR DRUNK,6,"Humorous, Quirky, Personal"
521,AJNDRVR,"I AM A FATHER OF THREE ADAM, JESSIE AND NIKKI WHOM I AM ALWAYS CARTING TO SCHOOL PRACTICE MOVIES AND DINNER. LOOKS LIKE ASIAN DRIVER",6,"Humorous, Quirky, Personal"
522,FDGNEMO,NEW CAR ORANGE (FINDING) NEMO FAN,4,"Profanity, Drugs, Gang References"
523,AMERI AF,PATRIOTICâ€¦.. AMERICAN AS FUCK,4,"Profanity, Drugs, Gang References"
524,CTM 72,EITHER CONCHA DE TU MADRE ( YOUR MOTHERS PUSSY) OR URBAN DICTIONARY SAYS: CONCHE TU MADRE=MOTHER FUCKER (its not his initials),2,"Sexual, Offensive, Controversial"
525,69BSTNG,69 SEXUAL. (BEASTNG?),4,"Profanity, Drugs, Gang References"
526,FLIPNLA,HOUSE FLIPPING,1,"Humor, Personal, Playful"
527,JS4LUCY,JUST FOR LUCY,1,"Humor, Personal, Playful"
528,RCO4FBI,"RICO(LAW) 4 FBI, LAW ENFORCEMENT REFERENCE",4,"Profanity, Drugs, Gang References"
529,TS 13,13-GANG,7,"Sports, Teams, Regional"
530,BLZ EYE,BULLS EYE,7,"Sports, Teams, Regional"
531,ZEUS666,ZUES 666(DENOTES EVIL),2,"Sexual, Offensive, Controversial"
532,FMLY CAT,FAMILY CAT,1,"Humor, Personal, Playful"
533,FSTRIDE,FAST RIDE,8,"Sexual, Provocative"
534,BLUCRZY,STANDS FOR BLUE CRAZY. MOTORCYCLE IS BEAUTIFUL BLUE.,6,"Humorous, Quirky, Personal"
535,98 BEAVR,"I OWN A 1998 BEAVER MARQUIS DIAMONTE, ONLY 30 MADE",6,"Humorous, Quirky, Personal"
536,69 PRIMO,69=SEXUAL PRIMO=PRIME?,2,"Sexual, Offensive, Controversial"
537,TOR HMR,MIDDLE NAME AND NORDIC GOD HMR HUMMER,3,"Personal, Family, Sentimental"
