index,plate,review_reason_code,customer_meaning,reviewer_comments,status,review_reason_code,meaning
813,G TIMES,7,GOOD TIMES,G,N,1,GOOD TIMES
16906,BRAAP88,2,COMPANY NAME - BRAAP - ITS THE SOUND A MOTORCYCLE MAKES WHEN ITS ON THE THROTTLE. 1988 YEAR OF THE VEHICLE,88 = HATE NUMBER,N,1,COMPANY NAME - BRAAP - ITS THE SOUND A MOTORCYCLE MAKES WHEN ITS ON THE THROTTLE. 1988 YEAR OF THE VEHICLE
15074,GMR BAE,,GAMER BABE,GAMER SHIT OR GAMER BABE,N,1,GAMER BABE
15998,MSCL 5OH,5,CAR NAME/STYLE,PULLED FOR 5O,N,2,PULLED FOR 5O
10916,5O KLBR,7,50 CALIBER,50 CALIBAR-GUNS,N,2,50 CALIBAR-GUNS
16696,1KLR67,2,ONE KILLER MUSTANG 67,"KILLER, HOSTILE",N,1,ONE KILLER MUSTANG 67
22536,MY FJ14,2,MY FJ CRUISER 2014,"14 = GANG NUMBER (FJ 14 Toyota Land Cruiser, No toyota on ANI)",N,1,MY FJ CRUISER 2014
14226,BRAWL,2,BRAWLER,FIGHTING HOSTILE TERM,N,1,BRAWLER
13376,O8STAR8,2,DAUGTHER NAME IN MEMORY,"88, GANG REFERENCE",Y,1,DAUGTHER NAME IN MEMORY
14807,NOT4U2K,2,NOT FOR YOU TO KNOW,"U, HOSTILE",N,1,NOT FOR YOU TO KNOW
1334,TNT&RDH,2,DYNOMITE REGISTERED DENTAL HYGIENIST,TNT AS IN BOMB,N,1,DYNOMITE REGISTERED DENTAL HYGIENIST
13082,DJ GATO,1,DJ NAME,DJ CAT,Y,1,DJ NAME
16440,8BADGER,2,NICKNAME,ATE BADGER,N,2,ATE BADGER
5815,KYLSTRK,2,KYLES TRUCK,KILL STREAK,N,1,KYLES TRUCK
22476,PPSYKAT,1,PURPLE SILVER CAT,PUSSY CAT,N,3,PURPLE SILVER CAT PUSSY CAT
11402,GNS2REV,2,GENESIS TO REVELATION,WEAPON,Y,1,GENESIS TO REVELATION
21447,67 428HO,3,67= CAR YEAR 428= ENGINE SIZE HO= HIGH OUTPUT MOTOR,"HO, PROFANITY",N,1,67= CAR YEAR 428= ENGINE SIZE HO= HIGH OUTPUT MOTOR
20247,FUCTRMP,3,FA FAMILIES FIRST LETTER INITIALS,FUCK TRUMP,N,2,FUCK TRUMP
18760,FRODO 13,2,NO MICRO,13 = GANG NUMBER,N,0,
23132,FDAPOPO,3,FAMILY PETS NAME,"FUCK THE POLICE, LAW ENFORCEMENT REFERENCE",N,1,FAMILY PETS NAME
19939,JFZME,3,"MY FIRST INITIAL, MY WIFES FIRST INITIAL, AND THE FIRST INITIALS OF OUR CHILDREN.",J FS ME COULD MEAN J FUCKS ME,N,1,"MY FIRST INITIAL, MY WIFES FIRST INITIAL, AND THE FIRST INITIALS OF OUR CHILDREN."
12906,SECAMDT,2,SECOND AMENDMENT,"SECOND AMENDMENT, GUN REFERENCE",N,3,"SECOND AMENDMENT SECOND AMENDMENT, GUN REFERENCE"
19879,EL BUSH,1,NICKNAME,COULD HAVE SEXUAL CONNOTATION,N,0,
3231,ASDF42O,D,A SUPER DUPER FIGURE: 420,"420, DRUG CONNOTATIONS",N,0,
654,$2EAT P,1,LOVE TO EAT PIZZA AND OWN A PIZZA HUT  RESTURANT,LOVE TO EAT PUSSY,N,2,LOVE TO EAT PUSSY
14337,IHV2SHT,2,I HAVE TO SHOOT (BASKETBALL),I HAVE TO SHIT,N,1,I HAVE TO SHOOT (BASKETBALL)
13548,POLIZE1,5,MY BASKETBALL NAME.,POLIZE = GERMAN FOR POLICE,N,2,POLIZE = GERMAN FOR POLICE
18538,GANG PAO,,THIS IS MY NICKNAME IN CHINESE,GANG,N,1,THIS IS MY NICKNAME IN CHINESE
19288,DAMTGRM,2,A SAYING IN THE FARSI LANGUAGE SHOWING APPRECIATION,"DAMMIT, PROFANITY",N,2,"DAMMIT, PROFANITY"
20006,ZILL4,2,IT IS A NICKNAME FOR MY GREEN CAR,LOOKS SIMILAR TO ZILLA WHICH IS A GANG REFERENCE (Has 2015 Dodge Coup),Y,2,LOOKS SIMILAR TO ZILLA WHICH IS A GANG REFERENCE (Has 2015 Dodge Coup)
17991,NJYABWL,7D,MY DJ NAME,ENJOY A BOWL (MARIJUANA REFERENCE) OR ENJOYABLE,N,2,ENJOY A BOWL (MARIJUANA REFERENCE) OR ENJOYABLE
6894,HONDO13,7,NAME AND LUCKY NUMBER,13-GANG,N,1,NAME AND LUCKY NUMBER
16911,DE666VL,6,MY FAVORITE NUMBERS AND DEV IS MY WIFES NAME. L IS LAST INITIAL,CONFIGURATION (DP PLATE),Y,1,MY FAVORITE NUMBERS AND DEV IS MY WIFES NAME. L IS LAST INITIAL
10159,CHEVY G,7,NO MICRO,G-GANGSTER,N,0,
21717,T WILLI,2,NICKNAME,PULLED FOR WILLI Customers name is Tyler Williams,Y,3,Tyler Williams
22392,MTF BWM,3,LITERALLY MAY THE FORCE BE WITH ME.,"MTF MOTHER FUCKER male to female transexual 523 Up, 129 Down",Y,2,"MTF MOTHER FUCKER male to female transexual 523 Up, 129 Down"
8888,13E13 A,2,"13 (TERA) IN PUNJABI MEANS YOURS. COMPLETE MEANING OF PLATE IS THAT HE ALMIGHTY GOD, ALL IS YOURS",13=GANG NUMBER,N,1,"13 (TERA) IN PUNJABI MEANS YOURS. COMPLETE MEANING OF PLATE IS THAT HE ALMIGHTY GOD, ALL IS YOURS"
12094,BEEZYYY,3,MY NICKNAME,ANOTHER WORD FOR BITCH,N,2,ANOTHER WORD FOR BITCH
9410,NUTS 4RV,1,ALMOND FARMERS RV,NUTS FOR RV,N,1,ALMOND FARMERS RV
7589,INIM OG,2,GO MINI (BACKWARDS),OG ORIGINAL GANGSTER,N,1,GO MINI (BACKWARDS)
5903,USA GOV,5,name,could be misconstrued as a government car,N,3,USA Government
10747,HULK818,2,FAVORITE CARTOON,818 ARA CODE,N,1,FAVORITE CARTOON
15260,MY1KITT,1,KNIGHT RIDER SHOW,COULD HAVE SEXUAL CONNOTATION,Y,1,KNIGHT RIDER SHOW
16369,DANI 13,2,NICKNAME AND LUCKY NUMBER,13 GANG REFERENCE,N,1,NICKNAME AND LUCKY NUMBER
1825,S55O FTW,3,S55O FOR THE WIN,FTW,N,1,S55O FOR THE WIN
12417,KUHNS,,"MY LAST NAME, A GIFT FOR MY DAD",SIMILAR TO COONS WHICH CAN BE A RACIAL TERM,N,1,"MY LAST NAME, A GIFT FOR MY DAD"
16879,4 NEG RA,2,MY WIFES NICK NAME,"NEGRA=BLACK, SOME SIMILAR PLATES ARE OUT BUT A COUPLE ARE UNACCEPTABLE",N,2,"NEGRA=BLACK, SOME SIMILAR PLATES ARE OUT BUT A COUPLE ARE UNACCEPTABLE"
8810,BLUEVAS,2 or 1,my car is blue and my name is vas,"pulled for the color blue, also blue vein=penis (name is Vacil)",N,1,my car is blue and my name is vas
6080,1MOBMRS,2,AN AIR FORCE UNIT I WAWS IN AND THE MRS IS FOR MY WIFE,MOB MRS,N,1,AN AIR FORCE UNIT I WAWS IN AND THE MRS IS FOR MY WIFE
7417,LMU13BR,7,THE UNIVERSITY HE GRADUATED FROM LOYOLA MARYMOUNT,GANG NUMBER,N,1,THE UNIVERSITY HE GRADUATED FROM LOYOLA MARYMOUNT
23314,AK47 2A,2,SECOND AMENDMENT RIGHT,AK 47 GUN,N,2,AK 47 GUN
15097,STLR714,2,NOT ON QUICKWEB YET,714 GARDEN GROVE AREA CODE,N,1,NOT ON QUICKWEB YET
2724,8CHNGON,2,MY NICKNAME,BADASS,N,1,MY NICKNAME
6127,805 TACO,1,805 IS MY AREA CODE AND TACO IS THE VEHICLE THAT THE PLATE IS GOING ON ITS A TACOMA PICKUP TRUCK,805 IS PASO ROBLES AREA CODE. TACO IS SLANG FOR VAGINA,N,1,805 IS MY AREA CODE AND TACO IS THE VEHICLE THAT THE PLATE IS GOING ON ITS A TACOMA PICKUP TRUCK
22067,OGOVOLT,2,MY ELECTRIC CAR,"OG, GANG REFERENCE",N,1,MY ELECTRIC CAR
12395,GSWAGG,,IT ALLUDES TO THE NAME OF THE CAR.  (G WAGON),"G, GANG REFERENCE",Y,1,IT ALLUDES TO THE NAME OF THE CAR.  (G WAGON)
19258,86868,6,GOOD LUCK NUMBERS,ALL DIGITS,Y,1,GOOD LUCK NUMBERS
6367,SCAT2NV,2,FOR A 2015 DODGE CHALLENGER SCAT PACK TO ENVY,SHIT TO ENVY SCAT MEANS FECES,N,1,FOR A 2015 DODGE CHALLENGER SCAT PACK TO ENVY
11343,TRQ*STR/,2,TORQUE STEER,"TRACK STAR, GANG RELATED AND SLANG FOR PROMISICIOUS WOMAN",N,1,TORQUE STEER
1813,BYRNE88,2,LAST NAME AND YEAR I WAS BORN,88-HITLER,N,1,LAST NAME AND YEAR I WAS BORN
18274,SPC MKNY,1,SPACE MONKEY,PULLED FOR MONKEY,N,1,SPACE MONKEY
14910,O G G,2,ORLANDO GIL GONZO,"OG, G",N,0,
4852,SAMRA 13,2,MY LAST NAME,13,N,1,MY LAST NAME
6841,BUBA13,7,NO MICRO,13-GANG NUMBER,N,0,
7908,RUBRITA,1,JEEP NICKNAME,RUB RITA,N,2,RUB RITA
10903,EST6T9,1,YEAR I WAS BORN,NO 69 CAR,N,1,YEAR I WAS BORN
16698,1WARCAT,2,ONE WAR CAT,"WAR, WEAPON REFERENCE",N,1,ONE WAR CAT
19608,CRAAACK,D7,WHEREVER I GO PEOPLE TURN THEIR NECKS TO LOOK AT THE CAR,DRUGS,N,1,WHEREVER I GO PEOPLE TURN THEIR NECKS TO LOOK AT THE CAR
19178,RYDETHS,,I RIDE THIS MOTORCYCLE FOR FUN.,RIDE THIS,N,2,RIDE THIS
718,QUIK 51O,2,QUICK DATSUN 51O,510 CA AREA CODE,N,1,QUICK DATSUN 51O
4999,NGRTMSA,2,FAMOUS SPANISH SONG,NGR STANDS OUT… SPANISH SONG NEGRA TOMASA ABOUT A DARK/BLACK WOMAN. DIDN’T TRANSLATE THE SONG.,N,2,NGR STANDS OUT… SPANISH SONG NEGRA TOMASA ABOUT A DARK/BLACK WOMAN. DIDN’T TRANSLATE THE SONG.
17303,FOREXXX,1,FOREIGN CURRENCY EXCHANGE (FOREX WAS TAKEN),"XXX, SEXUAL REFERENCE",N,1,FOREIGN CURRENCY EXCHANGE (FOREX WAS TAKEN)
22809,9A21B13,2,WEDDING ANNIVERSARY,"13, GANG REFERENCE",N,0,
4128,FLINT G,2,MY NAME,G,N,1,MY NAME
4774,CHP NO,5,"MY CHILDHOOD PETS NAME WAS CHIP, AND I WOULD ALWAYS TELL HIM NO. HE WAS LATER RAN OVER AND NOW THIS IS A MEMORIAL FOIR HIM.","CALIFORNIA HIGHWAY PATROL, NO!",N,1,"MY CHILDHOOD PETS NAME WAS CHIP, AND I WOULD ALWAYS TELL HIM NO. HE WAS LATER RAN OVER AND NOW THIS IS A MEMORIAL FOIR HIM."
6586,ARSLYN,2,FIRST NAMES,LOOKS SIMILAR TO ARSEN,N,1,FIRST NAMES
7238,BLUBARU,2,THIS PLATE WILL BE ON A BLUE SUBARU. BLU-BARU,BLUE,Y,1,THIS PLATE WILL BE ON A BLUE SUBARU. BLU-BARU
17640,559RAZA,2,PEOPLE FROM MY AREA CODE,AREA CODE,N,1,PEOPLE FROM MY AREA CODE
21124,FKH8ERS,,SOCIAL CAR CLUB THAT EXPRESSES THERE STYLE THOUGH THE CARS THEY DRIVE.,FUCK HATERS,N,2,FUCK HATERS
10225,AUMVOVR,2,NO MICRO AVAILABLE,A YOU MOVE OVER,N,0,
3614,T3O8165,,MY FIRST INITIAL AND DAY OF BIRTH OF MY KIDS,LOOKS LIKE A TIN NUMBER,N,0,
11279,HB RIDIN,3,NOT ON QUICKWEB,HB CAN ALSO MEAN HOT BITCH,N,2,HB CAN ALSO MEAN HOT BITCH。 HOT BITCH RIDING
4996,ORALE G,2,IT MEANS WHATS UP GEORGE,G. CUSTOMERS NAME IS GEORGE. ORALE IS APPROVAL OR ENCOURAGEMENT,N,1,IT MEANS WHATS UP GEORGE
22326,SUUMB CH,3,"COUNTRY SONG , SOME BEACH, SOMEWHERE",SOME BITCH; SON OF A BITCH,N,2,SOME BITCH; SON OF A BITCH
11957,BIGPKG,1,NAME OF MY BUSINESS,BIG PACKAGE PACKAGE CAN BE ANOTHER WORD FOR PENIS AND BALLS,N,1,NAME OF MY BUSINESS
21643,ON K1LL,2,LICENSE PLATE REPRESENTS MY K1 KART RACING (GOKART),"PULLED FOR KILL,  ON KILL WAS DENIED IN 2012",N,2,"PULLED FOR KILL,  ON KILL WAS DENIED IN 2012"
23402,BKBETY 3,7D,BLACK BETTY VERSION 3 BLACK IS THE COLOR,BLACK BETTY CAN MEAN HEROIN,N,1,BLACK BETTY VERSION 3 BLACK IS THE COLOR
7838,KNFEGUY,7,I AM A KNIFE COLLECTOR SO I AM A KNIFE GUY,KNIFE-WEAPON,N,1,I AM A KNIFE COLLECTOR SO I AM A KNIFE GUY
4330,INGA TU,3,COMEDY PHRASE FROM A COMEDIAN,"INGA TU search brings up chinga tu madre, fuck your mother in Spanish",N,3,I UNDERSTAND
18382,TAMA14,2,SONS NAME,"14,GANG REFERENCE",N,1,SONS NAME
13677,1 BLK GUY,2,IT MEANS 1 BULKY (MUSCULAR) GUY,ONE BLACK GUY,Y,1,IT MEANS 1 BULKY (MUSCULAR) GUY
14220,ARY5OH,5,MY NAME WITH THE CAR I DRIVE,"5OH, POLICE REFERENCE",N,1,MY NAME WITH THE CAR I DRIVE
12653,PITOLCO,2,NICK NAME,PITO IS SPANISH SLANG FOR PENIS,N,2,PITO IS SPANISH SLANG FOR PENIS
9947,DON BH8N,2,THE PLATE SPELLS OUT DON’T BE HATING. IT’S A JOKE MY BETTER HALF AND I HAVE,DON’T BE HATING. OKAY?,N,1,THE PLATE SPELLS OUT DON’T BE HATING. IT’S A JOKE MY BETTER HALF AND I HAVE
13877,SMASHRS,,MY NAME IN A GAME I PLAY,SMASH A SEXUALREFERENCE,N,2,SMASH A SEXUALREFERENCE shash her
5673,OG AUTO,2,MY BUSINESS NAME,ORIGINAL GANGSTER,N,1,MY BUSINESS NAME
11736,LIVNBCH,3,LIVE ON BEACH,"BEACH OR BITCH, LIVES IN SAN SIMEON ON THE COAST",Y,1,LIVE ON BEACH
8639,AGUSTO G,2,COMFORTABLE,G AS IN GANGSTER,N,0,
8866,XPRS13X,2,NISSANS LATE JAPANESE MODEL NAME FOR THE 180SX,"NO NISSAN NO 2013 CAR, 13=GANG NUMBER",N,0,
4814,2THEBLU,2,TO THE OCEAN,BLUE=GANG COLOR,Y,1,TO THE OCEAN
16739,DUYOUGU,2,FEELING IN TURKISH LANGUAGE DUYGU,"YOU, HOSTILE",N,1,FEELING IN TURKISH LANGUAGE DUYGU
18161,$2 RAGE,,RAGE AGAINST THE MACHINE IS A BAND THAT I LOVE! ITS ONE OF MY FAVORITES,RAGE HOSTILE,N,1,RAGE AGAINST THE MACHINE IS A BAND THAT I LOVE! ITS ONE OF MY FAVORITES
18106,KODA B,,DOGS NAME,LOOKS LIKE KODA BITCH,N,2,LOOKS LIKE KODA BITCH
8060,AKNZR88,2,MY LAST NAME AND LUCKY NUMBERS,88 HITLER REFERENCE,N,1,MY LAST NAME AND LUCKY NUMBERS
971,GO8BLUE,2,UNIVERSITY OF MICHIGAN FAN!,BLUE-GANG COLOR,Y,1,UNIVERSITY OF MICHIGAN FAN!
19048,GTHOM88,,MISSISSIPPI STATE ALUMNI CHEER AND YEAR GRADUATED,88 HITLER REFERENCE,N,1,MISSISSIPPI STATE ALUMNI CHEER AND YEAR GRADUATED
1169,X M18 X,2,MARCH 18,M18 HITLER REFERENCE,N,0,
11792,SPTHLK,D,SPECIAL WITH A LISP AND K FOR OUR LAST NAME,SPECIAL K IS A SLANG WORD FOR A TYPE OF DRUG,N,2,SPECIAL K IS A SLANG WORD FOR A TYPE OF DRUG
19846,JABRONY,2,JABRONI - A PRO WRESTLER THAT LOSES ON PURPOSE TO MAKE THE OTHER WRESTLER LOOK GOOD,GIBRONI = DUMBASS/MORON IN ITALIAN,N,1,JABRONI - A PRO WRESTLER THAT LOSES ON PURPOSE TO MAKE THE OTHER WRESTLER LOOK GOOD
2702,NGKA PLZ,2,MY CHILDHOOD NICKNAME,NIGGA PLEASE,N,2,NIGGA PLEASE
14426,559MADE,2,BORN IN FRESNO 559 AREA CODE,559 = AREA CODE,N,1,BORN IN FRESNO 559 AREA CODE
21024,POGIBLZ,2,HANDSOME,"pogi=handsome in Tagalog, looks like pogi balls though…",Y,3,"pogi=handsome in Tagalog, looks like pogi balls though…"
8975,HRD WAYZ,1,NO MICRO,HARD CAN BE SEXUAL,N,0,
21600,SRF NAKD,2,SURFING AND KID,PULLED FOR NAKED,N,2,PULLED FOR NAKED
2169,KCKRZ23,,SHOES,CRAZY,Y,1,SHOES
312,SHIV OO7,2,"SHIV IS NAME OF OUR SON, AND 007 IS REFERED TO JAMES BOND.",shiv is a knife or something possibly homemade that you shank someone with,N,1,"SHIV IS NAME OF OUR SON, AND 007 IS REFERED TO JAMES BOND."
7516,18MYNX,2,NO MICRO AVAILABALE,18 HITLER REFERENCE,N,0,
5360,RETRO AF,3,"RETRO: CLASSIC, AF: AUDI FORESTER (CAR)",RETRO AS FUCK,N,2,RETRO AS FUCK
11710,IMPS 213,2,IM POSITIVE 2 1 THING,AREA CODE LOS ANGELES,N,1,IM POSITIVE 2 1 THING
2372,SVR ARRW,2,SILVER ARROW,SILVER ARROW,Y,3,SILVER ARROW
6326,DRNX PNK,1,I DRINK A DRINK CALLED SLIM AND ITS PINK,DRINK PINK- PINK CAN BE SLANG FOR VAGINA,N,1,I DRINK A DRINK CALLED SLIM AND ITS PINK
12406,IBURYU,,I WORK IN A BURIAL VAULT PLANT,SOME PEOPLE COULD TAKE THIS OFFENSIVELY,N,0,
16309,K16 K08,,MY SON AND DAUGHTERS INITIAL WITH THE YEAR THEY WERE BORN,POSSIBLE LOOK A LIKE,N,1,MY SON AND DAUGHTERS INITIAL WITH THE YEAR THEY WERE BORN
5022,FJU ALL,3,"MODEL OF THE VEHICLE, TO HAVE FUN WITH MY FAMILY","HAS A 1974 TOYOTA(FJ), BTM=VA… FUCK YOU ALL?",N,1,"MODEL OF THE VEHICLE, TO HAVE FUN WITH MY FAMILY"
7414,GAY,4,NO MICRO,?,Y,3,"Homosexual, gay"
20521,O71829P,6,"07,18 AND 29 ARE THE BIRTHDATES AND P WILL BE THE FIRST LETTER OF OUR LAST NAME",LOOK ALIKE,N,1,"07,18 AND 29 ARE THE BIRTHDATES AND P WILL BE THE FIRST LETTER OF OUR LAST NAME"
9466,BLUSCRZ,2,I LOVE LISTENING TO THE BLUES WHILE IM RIDING THE MOTORCYCLE.,BLUE,Y,1,I LOVE LISTENING TO THE BLUES WHILE IM RIDING THE MOTORCYCLE.
22153,BLESS69,1,BLESS BY THE LORD 69 TIMES,BLESS BY THE LORD 69 TIMES,N,2,BLESS BY THE LORD 69 TIMES
82,2BUCK U,3,I WENT TO SAN JOSE STATE. MY SON DID NOT WANT TO GO TO A STATE SCHOOL. HE WENT TO TCU. HE CALLED MY COLLEGE TWO BUCK U.,TO FUCK YOU? BUCK YOU-HIT YOU?,N,0,
2759,MI6 SPY,2,JAMES BOND,LOOKS LIKE M16,N,1,JAMES BOND
12160,ONEAKA,D,MICRO UNAVAILABLE,ONEAKA CAN SOUND LIKE OH NIGGA OR OH NICCA,Y,2,ONEAKA CAN SOUND LIKE OH NIGGA OR OH NICCA
5860,INDICA,D,CLASSICAL GREEK AND LATIN FOR OF INDIA,MARIJUANA STRAND,N,1,CLASSICAL GREEK AND LATIN FOR OF INDIA
7272,IWANTSX,1,I HAVE A 240SX. THE SX RESEMBLES THE TYPE OF CAR.,I WANT SEX,N,2,I WANT SEX
7494,AMP EATR,1,ELECTRIC VEHICLE EATS AMPS FOR POWER.,EATER,Y,1,ELECTRIC VEHICLE EATS AMPS FOR POWER.
8370,TT LTD,1,AUTO IS AN AUDI TT LIMITED EDITION,TT… COULDN’T VERIFY AUDI,N,1,AUTO IS AN AUDI TT LIMITED EDITION
1014,DAM WGN,3,MY INITIALS-,DAMN?,N,1,MY INITIALS-
10275,OGEN,2,NO MICRO AVAILABLE,OGin AS IN ORIGINAL GANGSTER,N,0,
17587,SHAYDUB,7d,"MY FIRST NAME SHORTENED, AND INITIAL OF MY LAST. SHAY W","DUB, DRUG REFERENCE",Y,1,"MY FIRST NAME SHORTENED, AND INITIAL OF MY LAST. SHAY W"
69,OPNWIDE,1,REFERS TO MY PROFESSIONAL LINE OF WORK AS A DENTIST,"SEXUAL? OPEN LEGS, OPEN MOUTH?",N,3,open wide
7114,KMETKLR,7,KMET WAS A ROCK AND ROLL STATION WHERE I WORKED. I WAS PART OF THE TEAM THAT CHANGED IT INTO THE WAVE,KILLER,N,0,
5008,BFD E 51,3,IT WAS THE DEPARTMENT I VOLUNTEERED FOR IN NH.,BFD=BIG FUCKING DEAL,N,1,IT WAS THE DEPARTMENT I VOLUNTEERED FOR IN NH.
706,AMG13,2,INITIALS + NUMBER,13-GANG,N,1,INITIALS + NUMBER
21672,ALCHAPO,2,FAV SHOW CHARACTER,EL CHAPO,N,2,EL CHAPO
16792,14U269,1,ONE FOR YOU TO 1969,"69, SEXUAL REFERENCE, 14, GANG REFERENCE",N,3,"ONE FOR YOU TO 1969 69, SEXUAL REFERENCE"
20355,GATUR6,2,A COMMON MILITARY TERM MEANING: I GOT  YOUR BACK,SHOOT YOUR ASS HOSTILE,Y,1,A COMMON MILITARY TERM MEANING: I GOT  YOUR BACK
23409,GONNER,2,GONNERS CAR CLUB MEMBER,"A GONER=SOMETHING OR SOMEONE THAT IS DEAD, DOOMED RUINED OR PAST RECOVERY",N,1,GONNERS CAR CLUB MEMBER
20388,JYAG18,2,FAMILY FIRST INITIAL AND LUCKY NUMBER,"18, GANG REFERENCE",N,1,FAMILY FIRST INITIAL AND LUCKY NUMBER
8960,STANG13,7,MUSTANG GT 2013,13-GANG. COULDN’T VERIFY 2013 MUSTANG,N,1,MUSTANG GT 2013
22203,AMG BS,7D,MODEL NAME OF VEHICLE,BS=BULLSHIT,N,1,MODEL NAME OF VEHICLE
4919,PNK 8NGL,1,PINK ANGEL,PINK ALNG FOR VAGINA,N,3,PINK ALNG FOR VAGINA
5824,NEGRA 14,2,"BLACK TRUCK, YEAR 2014",14 GANG REFERENCE,N,1,"BLACK TRUCK, YEAR 2014"
20959,BUDDY14,2,NICKNAME,"14=HATE SYMBOL, NO 2014 CAR ON ANI",N,1,NICKNAME
9890,KNGCUMN,1,MY TRUCK WILL BE USING KING SHOCKS AND WILL HAVE A CUMMINS ENGINE KING CUMMINS,CUMMIN IS A SEXUAL REFERENCE,N,0,
4791,NEGRA69,"1, 2",BLACK 69. ITS GOING ON AN ALL BLACK 1969 CHEVELLE.,no 1969 on ani also is negra acceptable?,N,1,BLACK 69. ITS GOING ON AN ALL BLACK 1969 CHEVELLE.
16195,CA1412O,2,NOTHING. JUST MADE UP NUMBERS,"14, GANG REFERENCE",N,0,
5228,FU GREEN,3,FU (CHINESE SURNAME) GREEN,FUCK YOU,N,1,FU (CHINESE SURNAME) GREEN
20216,$55 88,2,I LOVE NUMBER 5&8,88 = HATE NUMBER,N,0,
15679,DGR515O,2,MY INITIALS AND PERSONALITY,515O COULD BE TAKEN AS HOSTILE,Y,1,MY INITIALS AND PERSONALITY
8871,69CNCPT,1,1969 PONTIAC GTO CONCEPT CAR,NO 69 CAR,N,1,1969 PONTIAC GTO CONCEPT CAR
13609,SICK ASF,,DESCRIBES THE CONDITION OF THE CAR TO BE BEYOND GREAT,SUICK AS FUCK,N,2,SUICK AS FUCK
19446,KIKE V,2,MY NAME IS ENRIQUE AND MY GRAND MA USED TO CALL ME KIKE,"KIKE, RACIST TERM FOR A JEWISH PERSON",N,0,
4497,R8ED R,2,"THIS IS FOR A VOLKSWAGEN GOLF R, HUMOROUS PLAY ON MOVIE RATING - RATED R",RATED R,Y,3,"THIS IS FOR A VOLKSWAGEN GOLF R, HUMOROUS PLAY ON MOVIE RATING - RATED R"
7026,BB,2,MY NICKNAME IS BB,LOOKS LIKE 88 HITLER REFERENCE,N,0,
4146,9O9 GT5O,2,AREA CODE OF CAR LOCATION AND MODEL OF THE CAR,CA AREA CODE,N,1,AREA CODE OF CAR LOCATION AND MODEL OF THE CAR
20005,XYXKXKX,6,DESIGN,ALL THE LETTERS LOOK THE SAME,N,0,
995,OVR W8,2,IM CALORICALLY CHALLENGED,NOT SAYING WHO?,Y,0,
18553,IN666US,,WEDDING ANNIVERSARY,DEVIL IN US,Y,1,WEDDING ANNIVERSARY
5281,$NPLANB,1,LOVING PLAN B,LOVING PLAN B,Y,3,LOVING PLAN B
15462,CHAPO15,7D,"CHAPO TRANSLATE TO SHORT WHERE IM FROM,  IM SHORT AND THEY CALL ME CHAPO","EL CHAPO IS A DRUG LORD, DRUG REFERENCE",N,1,"CHAPO TRANSLATE TO SHORT WHERE IM FROM,  IM SHORT AND THEY CALL ME CHAPO"
10907,HAUDIHO,1,HIDYHO BUT WITH AUDI,HO-WHORE,N,0,
20824,FJ#88,2,LETTERS FROM ME AND MY HUSBANDS LAST NAMES,88 HITLER REFERENCE,N,0,
19981,SLAYYYR,2,"THIS PLATE IS A TRIBUTE TO MY FAVORITE ROCK BAND, SLAYER. EXTENDED SPELLING REPRESENTS THE WAY FANS GREET THE BAND AT CONCERTS.",SLAY COULD BE CONSIDERED HOSTILE,N,1,"THIS PLATE IS A TRIBUTE TO MY FAVORITE ROCK BAND, SLAYER. EXTENDED SPELLING REPRESENTS THE WAY FANS GREET THE BAND AT CONCERTS."
11141,8O5PASO,2,AREA CODE AND PASO ROBLES,805=AREA CODE,N,1,AREA CODE AND PASO ROBLES
15146,367O4V1,6,NO SPECIAL MEANING,LOOK ALIKE,N,0,
9262,WYU H8NN,7,WHY YOU HATING?,WHY YOU HATIN,N,3,WHY YOU HATING?
1476,TANQUE,2,TANK IN SPANISH WHICH IS THE COLOR OF THE JEEP,TANK AS IN ARMY,N,2,TANK AS IN ARMY
22402,RAPTLOS,2,VEHICLE MODEL/NICKNAME,CAN NOT TRANSLATE,Y,0,
23350,MR PSI,1,THE LICENSE PLATE IS IN MEMORY OF MY 3 MOST HELPFUL AND FAVORITE MALE TEACHERS IN MY HIGHSCHOOL YEARS. MR.PACHEKO. MR.SANDURS. MR.IGLESIAS,LOOKS LIKE A SEXUAL REFERENCE,N,2,LOOKS LIKE A SEXUAL REFERENCE
13002,WINEXXX,1,NO MICRO,PULLED FOR XXX,N,0,
9932,BLAQ BOX,1,BLACK BOX,"BOX CAN BE SEXUAL, HAS HONDA SUV, OK?",N,1,BLACK BOX
21045,YNWA RED,2,YOULL NEVER WALK ALONE IS ASSOCIATED WITH LIVERPOOL FOOTBALL CLUB. RED IS THE COLOR OF THEIR JERSEY,RED=GANG COLOR,Y,1,YOULL NEVER WALK ALONE IS ASSOCIATED WITH LIVERPOOL FOOTBALL CLUB. RED IS THE COLOR OF THEIR JERSEY
22160,ARTIS P,3,NOT ON QUICK WEB YET,PULLING FOR P Name is Artis Perry,N,0,
13063,612HOME,2,DADS NUMBER,612 = AREA CODE?,N,0,
21915,WUDLIMO,1,WOOD LIMO GOING TO BE PUT ON A TRUCK USED FOR HAULING FIREWOOD.,"wood, sexual connotation",N,1,WOOD LIMO GOING TO BE PUT ON A TRUCK USED FOR HAULING FIREWOOD.
8033,QUEENBE,3,"CARS NICKNAME, CAR IS BLACK AND YELLO LIKE A BEE",B=BITCH,N,0,
