index,valid,plate,customer_meaning,reviewer_comments,status,review_reason_code
19751,1,IBNUTTY,I BE NUTTY,"NUT, SEXUAL",Y,1
484,1,H77 GATO,SPANISH CAT,GATO MEANS CAT,N,1
18256,1,DIDIER C,NAME,SEXUAL?,Y,1
5159,2,BOM 1,BRETHREN OF THE MARGARITA,BOMB,N,2
17231,1,MYOUIJA,OUIJA(BOARD GAME),"OUIJA, HOSTILE",Y,2
2984,2,FXR4GVN,IT MEANS THAT THIS VEHICLE IS BLESSED,FUCKS ARE FORGIVEN,N,3
6438,3,PEENT,peanut m,OR peen=penis,N,1
20602,2,MRDABZ,CAM NEWTON DABS,MISTER DABS(DRUG REFERENCE),N,7D
1362,0,ANGIE88,GOOD FORTUNE T ANGIE,88-HITLER,N,2
3074,0,H7777H,NO MEANING JUST LIKE IT,HH HAIL HITLER,N,2
2493,0,CWLK 86,MY FIRST LETTER OF MY NAME AND MY LAST NAME ABBREVIATED 86 IS MY HIGH SCHOOL SPORTS NUMBER,"C WALK MEANS CRIP WALK, ALTHOUGH CUSTOMER INITIALS AND LAST NAME ARE C. WALKER",N,2
19431,1,BULLYOU,BULLY YOU,"BULLY YOU, HOSTILE",N,2
1224,0,MRPENDU,FAMILY NAME,URBAN SAYS SIMPLETON. GOOGLE SHOWS A BUNCH OF STICK FIGURE HANG MEN THAT SAY FUCK BY THEM.,N,2
18083,2,BSDAN,BODY SHOP DAN. I MANAGE A BODY SHOP,BULLSHIT DAN,N,
14158,0,CANCRPI,WE DO CANCER RESEARCH,SOUNDS SIMILAR TO CAN SEE HER PEE,N,1
18118,2,NUT ONE,GOLF SHOT,NUT ONE,N,
15940,1,GOP PWR,GOP(GRAND OLD PARTY) POWER,GOP POWER=REPUBLICAN POWER? WHITE POWER?,N,2
5397,2,VIILION,NOT ON QUICK WEB YET,VILLAIN,Y,2
8100,1,SNWBALL,SNOWBALL,SNOWBALLâ€¦. COCAINE,N,7
10254,2,Z3X,"Z3 IS THE FIRST TO LETTERS OF THE CAR MODEL(Z350), AND X IS JUST A RANDOM LETTER.",Z3X=SEX,N,1
18729,2,MOB SQD,"FLOCK OF RAMS, LOS ANGELES RAMS",MOB SQUAD,N,2
21093,0,QBOX3O,BOXING,PULLED FOR BOX,N,1
11874,3,GON2 HLL,NO MEANING ON REG 17,GOING(GONE) TO HELL,N,2
2660,1,CHPNHAM,CHOPPING HAM,CHP? N HAM SLANG FOR PIG,N,5
18655,0,O11O1,THIS IS THE SAME UNIQUE NUMBER THAT WAS ISSUED ON MY CALIFORNIA OLYMPICS PLATE IN 2000.,LOOK  A LIKE,N,
8972,0,MOP AR5,NO MICRO,SUBBING? MOPARS IS CURRENT,N,7
12576,0,8BB81S3,THE CAR IS AN AUDI S3 AND I LIOKE THE SEQUENCE 8BB8,COULD BE A LOOK A LIKE,N,2
22619,0,MAZ1326,NAME MATCHING NUMERICALLY,"THE 13 STANDS OUT TO ME, COULD BE A GANG REFERENCE",Y,2
18354,1,STKRKTY,STALKER KITTY,"STALKER KITTY, SEXUAL REFERENCE",N,1
18121,2,PHUCIT1,NAME OF OUR MOTORSPORT CLUB NAMED IN MEMORY OF OUR VIETNAMESE FRIEND,FUCK IT,N,
19191,2,BLEKCAT,I OWN A BLACK DODGE CHALLENGER HELLCAT,BLACK CAT,Y,1
2281,2,424 IZ,NO MICRO,CA AREA CODE,N,2
15628,0,2VBLOWN,DESCRIPTION OF ME,BLOWN CAN BE TAKEN AS SEXUAL,N,1
10447,1,SPAZZY,SPAZZY(SPASTIC),"dictionary.com says spazz is offensive slang, shortened from spastic",N,2
8247,2,LTL BAST,NO QUICKWEB,LITTLE BASTARD,N,3
20692,0,OGITANA,SPANISH/PORTGUESES WORD FOR GYPSY (O GYPSY),OG  ORIGINAL GANGSTER,Y,2
5385,0,MOCHA13,DEFINES THE COLOR OF MY VEHICLE AND THE NICKNAME I HAVE GOVEN IT BECAUSE IT IS BROWN/DOSENT OWN A 2013 VEHICLE,GANG #,N,8
13625,0,RED 18,RACHEL ELI DAPHNA,18 HITLER REFERENCE,N,
6553,2,SOUL RED,NEW2016 MAZDA MIATA LAUNCH EDITION WITH EXTERIOR SOUL RED COLOR,SOULD RED,Y,2
3094,2,RC F YAH,MY NEW CAR IS A LEXUS RC F AND I AM SOOOO HAPPY!,[CAR NAME] FUCK YEA,N,3
4849,2,GUN FTR,NO MICRO,GUN FIGHTER,N,2
8423,2,NEGRA,my black truck,NEGRA=BLACK IN SPANISH,Y,2
19369,0,KAVLA69,ITS FOR 1969 CHECVY TRUCK THAT I BUILT WITH MY UNCLE KAVLA WHO HAS PASSED AWAY,PULLED FOR 69 (1969 CHEVY ON ANI),Y,1
21449,0,69 PTL,MODEL YEAR AND LAST NAME,"69, SEXUAL REFERENCE",Y,1
18244,2,LMALOSO,THATS MY NICK NAME,MALOSO=SPANISH INSULT,N,2
16853,2,LYNPIPA,IM A PIPEFITTER IT STANDS FOR LAYING PIPE,LAYING PIPE=SEX,N,1
18260,1,INFIDIL,INFIDEL=RELIGIOUS NON-BELIEVER,BAD TASTE,N,7D
752,0,SR CHONA,"CHILDHOOD NICKNAME, SHORT FOR JHONATAN",TRASNLATES TO HUGE BOOB LADY PER DAVID.,N,1
16760,0,LRR18,MY INITIALS AND GOOD LUCK NUMBER,"18, GANG REFERENCE",N,2
8286,0,TATEO69,IN MEMORY OF MY FAVORITE ACTRESS,COULDNT VERIFY 1969 VEHICLE,N,1
10996,2,CHMPR$B,MY TWO SON NAMES,CHOMPER b=bitch?,N,3
1048,2,BNTOVER,CHIROPRACTOR,BENT OVER (SEXUAL?),N,1
20190,2,PIMP327,"POPS IMPALA 327, I WAS BORN IN 1962 WHEN CHEVROLET WAS INSTALLING 327 ENGINES IN THEIR VEHICLES.",PIMP,N,2
8637,2,PHO KEW,THE NAME OF THE FAMILY OWNED RESTAURANT,FUCK YOU,N,3
8527,3,HIBDAZZ,HI BEDAZZLED,OR HI BAD ASS,N,3
23413,2,HULNASP,HAULING SNAKES,HAULING ASS,N,3
13831,0,JEWSTIS,MY NAME.,JEW,Y,
13605,1,RDY2PLA,READY TO PLAY,READY TO PLAY,Y,
10549,2,IEATASS,I EAT MEXICAN FOOD,I EAT ASS,N,1
19906,2,CAMLTQW,CAMEL TOW TOWING. WE ARE A PRIVATE TOWING COMPANY.,CAMEL TOE(SEXUAL),N,1
20150,1,EASY,EASY,easy can have sexual connotations,Y,1
13616,2,WOODYLV,THE LOVE OF MY HUSBAND,WOODY(SEXUAL) LOVE,N,
22064,2,EXTRMHT,EXTREME HOME THEATER,EXTREME HATE OR EXTERMINATE,N,2
15932,1,H82BCGD,HATE TO BE CAGED,HATE,N,2
19395,1,TNT REX,TNT TREX,TNT = EXPLOSIVE,N,2
4480,1,CHP NOO,NO CHIP(AS IN PAINT),CHP,N,5
2262,2,SMK HERB,GRANDMOTHERS INITIALS AND GRANDFATHERS NICKNAME,SMOKE HERB=WEED,N,D
15138,2,SXXYHOE,REFERRING TO MY 99 CHEVY TAHOE AND HOW  MUCH I LIKE IT,SEXY HOE,N,3
2390,2,OH FACK,CATCH PHRASE,OH FUCK,N,3
18626,2,69LUV N,LOVING MY 69 GMC,69 LOVIN,Y,
6166,2,5 OH FOX,5.0 IS THE ENGINE SIZE. FOX IS THE CHASSIS NAME. 5.0 FOX.,5-OH POLICE FOX(NEWS?),Y,5
19392,2,SXXTY 9,1969 CHEVROLET,69(SEXUAL),N,1
6523,1,G19M69C,1969 GMC(CAR),1969 GMC. NO 69 GMC ON RECORD,Y,7
7734,2,FWLKILN,I AM A POTTERY MAKER AND AFTER I FIRE MY POTTERY IN MY KILN THE KILN SMELLS VERY FOUL THEREFORE I CAME UP WITH FWLKILN,FOWL KILLIN,N,7
21094,1,RBSVAGE,RED BLACK SAVAGE,PULLED FOR SAVAGE,N,2
7990,0,BUI B13,MY KIDS LAST NAME AND DAY OF BIRTH,13-GANG,N,2
693,1,OVTHUGS,ORANGEVALE THUGS,GANG,N,2
11173,2,FN THING,FAST VOLKSWAGEN THING TYPE 181,FUCKING THING,N,
22479,1,TACO TK,TACO TRUCK,TACO,N,1
1447,0,OG 59 EL,NO MICRO,OG ORIGINAL GANGSTER,N,2
12787,2,KAKEPOP,"WE HAVE A SMALL BUSINESS, CALLED DENSONIOS CAKE POPS. THIS WOULD GO ON OUR CURRENT CAR FOR THE BUSINESS.",CAKE POP,Y,2
10530,1,N2DEEP,IN TOO DEEP,SEXUAL,N,1
9047,2,1BTCN VT,ONE CORVETTE AT THE BEACH,ONE BITCHIN CORVETTE,N,3
3797,2,BDKM VIB,BUD DONT KILL MY VIBE,BITCH DON’T KILL MY VIBE,N,3
5936,1,BLZN 51,BLAZING 1951(CAR YEAR),BLAZINâ€¦ NO CHEVY ON RECORD. HAS A 51 VEHICLE.,N,7
3061,2,DKS 68,DKS IS THE INITIALS FOR MY FAMILY MEMBER AND 68 IS THE YEAR OF,DICKS 68(REFERENCE TO 69?),N,1
2714,0,XROSEX,MY NICKNAME (LAST NAME IS ROSEMOND),ROSE WITH XS OR ZERO SEX,N,3
15721,1,REDSO5,NICKNAME(RED) AND YEAR OF BIKE,RED. HE HAS A 2005 M/C,Y,2
5786,2,BYRNER,NICKNAME,BURNER,N,2
2160,2,FCK 3,"THE INITIALS OF MY 3 SONS FROM OLDEST TO YOUNGEST FOSS,CECIL,&KELLY",FUCK,N,
4629,0,CBAD 88,CARLSBAD 1988,COULDNT VERIFY 1988 VEHICLE,N,2
13732,0,MB925CC,ITS MY CAR CLUB . MUSCLEBOYZ925.CC (CARCLUB),AREA CODE,N,2
11866,1,2 BLASÃ‰,TOO BLASA,BLASÃ‰=BLAZE? DRUG REFERENCE,N,7D
10135,1,GPOPS73,GRANDPAS 73(YEAR),LOOKS LIKE GRANDPOPS BUT G LOOKS LIKE GANGSTER,Y,2
20181,2,IEDS X5,NUMBER OF TIMES I WAS HIT WITH IEDS IN IRAQ,5 IEDS = IMPROVISED EXPLOSIVE DEVICE,N,2
1312,3,LAGUNA C,LAGUNA CALIFORNIA,OR LAGUNA CRIP,Y,2
8389,0,PT&GA2G,OUR FAMILIES INITIALS.,CAN NOT TRANSLATE,Y,2
9364,1,RAIDR13,RAIDER(SPORTS TEAM) 13,13-GANG NUMBER?,N,7
12595,2,ABG 1V,NO MICRO,ABG MEANS AZNBBYGIRL OR ASIAN FEMALE GANGSTER,N,2
14004,1,BISH417,LAST NAME & LUCKY NUMBERS,"BISH COULD MEAN BITCH, CUSTOMER NAME IS BISHOP. 417 IS MISSOURI AREA CODE NOT CA",N,3
501,2,42OEDDI,IF HAS NO MEANING I JUS WANT TO GET IT BECAUSE I LIKE IT THATS IT,420=DRUG REFERENCE EDDI,N,D
6638,3,BLUNSTY,BLUE NASTY,BLUNTS-WEED,N,7
15231,3,BCHCTY8,BEACH CITY 8,BITCH CITY?,N,3
4931,2,ZROFXS,NO EFFECTS,NO FUCKS,N,3
9189,1,CARPETS,CARPETS,COULD SIMPLY MEAN CARPETS OR COULD MEAN VAGINA HAIR,Y,1
19132,1,4LY554G,NAME REPLACED WITH NUMBERS,G AS IN GANGSTER,N,
13573,3,ELITE 88,TOP OF THE LINE AND YEAR OF BIRTH,88 HITLER REFERENCE,N,
21103,0,AURORA B,NO MEANING ON REG 17,STAND ALONE B (Duplicate plate order),Y,3
3691,0,BANKS14,NO MICRO,14-HITLER,N,2
6289,2,SKA69,NO MICRO,SKA=DRUGS 69(SEXUAL REFERENCE),N,1
1586,1,BOOTZ13,BOOTS(NICKNAME),13=GANG NUMBER BUT HE DOES OWN 2 2013 VEHICLES,Y,2
6300,1,KWEEN BE,QUEEN BEE,QUEEN B,N,3
9460,1,SIEGEUP,SIEGE UP(QUOTE),TO ATTACK,N,2
9250,0,AVA OG1,NO MICRO,OG,N,7
12996,0,NOONA 13,NICKNAME OF MY NIECE,13 = GANG NUMBER,N,2
3193,2,69 ARMY,I WAS DRAFTED IN THE US ARMY IN 1969,69 ARMY,N,1
20493,1,I$NIPPY,I LOVE NIPPY,"NIPPY COULD STAND FOR NIPPLE, SEXUAL REFERENCE",N,1
17590,1,SIKSCAT,SICK SCATPACK(CAR),"SCAT IS ANOTHER WORD FOR POOP, OBSCENE",N,3
10355,0,2GGBB88,TO GIGI BABY,88-HITLER RELATED,N,7
9257,0,MRID 13,MANUEL REGALADO INTEREIOR DESIGNS OPEN IN 2013,13-GANG,N,7
21251,0,SP IG14,SPARKY IVAN GURROLA,14 = GANG NUMBER,N,2
16823,2,BDAFMZ3,BE DRIVEN AFTER FAILURE MAZDA 3,BAD AS FUCK MAZDA,N,3
5186,2,EFFFIT,F FIT. SHORT FOR FUTURE FITNESS. A PERSONAL TRAINING BUSINESS WE ARE STARTING,FUCK IT,N,3
20747,2,ILWU42O,WORK NUMBER,I LOVE WHEN YOURE 420=HIGH,N,D7
9822,2,BNDYBLZ,BUNDY BLAZE. NICKNAME,BUNDY BALLS,N,1
8791,2,4 WHOOPI,HAPPY YELL,FOR WHOOPI=SEX,N,1
19826,3,CDAWG 12,CDAWG=NICKNAME,CDAWG = CRIP AFFILIATION,N,2
21893,2,RAMM N U,IT IS A SAYING THAT HERE COMES THE RAMM TRUCK,RAMING YOU(SEXUAL?),N,1
2744,3,BRN2BSS,BORN TO BOSS,OR BORN TO BULLSHIT,Y,3
11629,2,SKNDLUS,MY NEW CAR IS BLACK AND A CONVERTABLE AND IS SCANDULUS!!!,SCANDALOUS,Y,1
2350,0,09ASA13,"COMPANY NAME (ASA PICTURES) - DAY OF BIRTH (09-09-1981)  CITY OF ORIGIN (MARSEILLE, FRANCE, 13)",13 GANG REFERENCE,N,2
3959,2,FDALLAS,DEAD UNCLE WHO WAS MENTO,FUCK DALLAS,N,3
5809,2,HTSHTZ1,HOTSHOTZ COURIER SERVICE,HOT SHOTS OR HOT SHIT,N,3
2539,2,GANJ GUY,DIESNTZ,GANJA=WEED GUY,N,D
20130,0,R8DRS88,IM A DOCTOR,"88=hate symbol, no 1988 car on ani",N,2
4285,2,PJSTACO,IN MEMORY OF PASTOR JUAN JUAREZ,PJ'S TACO,N,1
9676,2,4 PLAAY,I HAVE A NEW 2015 TOYOTA 4RUNNER THAT I LIKE TO TAKE AND PLAY IN THE DIRT IT IS MY OFF ROAD VEHICLE THAT I LIKE TO GO AND PLAY IN,FOREPLAY,N,1
23258,2,HUNTM DN,LAST NAME AND KIDS INITIALS,HUNTNING THEM DOWN,N,2
7175,2,WEST AF,WEST IS MY NICKNAME IN MY TRUCK CLUB. AF IS THE INTIALS OF THE CLUB,WEST AS FUCK,N,3
19556,2,UR SALTY,THE OPPOSITE OF YOUR SWEET,YOU ARE SALTY,N,2
16884,0,88TDI22,"BIRTH YEAR 1988, TDI MAKE OF CAR, 22 DAY I WAS BORN",88=HATE SYMBOL,N,2
17633,0,2ZLO4U,PERSONAL,"YOU, HOSTILE",N,2
7571,0,88 CRRRA,NO MICRO,88-HITLER RELATED. DOES HAVE A 88 PORSCHE,Y,7
23009,1,BLCKOWT,BLACK OUT,BLACK OUT,Y,7D
9190,1,C HUSSLE,CHARLIE HUSTLE(ATHLETE),HUSTLE COULD MEAN A HARD WORKER OR COULD MEAN ATHLETIC DRIVE OR COULD MEAN SELLING DRUGS,N,2
15672,2,AKLUV,I LOVE ALASKA!,AK=GUN OR AK=ALASKA LOVE,N,2
219,0,BUIOO13,NO MEANING,13-GANG,N,2
22524,2,IDGF IGA,I DONT GO FAST I GO ANYWHERE,I DON’T GIVE A FUCK I GO ANYWHERE,N,3
11171,2,DUNG HO,ORGANIC FERTILIZER PROPONENT,DUNG HOE,N,
8682,2,GR8X4US,GREAT TIMES FOR US,GREAT X=TIMES/SEX/EXTASY FOR US,N,2
17896,1,SMLYTT,SMILEY TIANTIAN(NAME),SMELLY TTâ€¦ TT=PENIS IN TAGALOG. CUSTOMER FIRST NAME IS TIANTIAN,N,1
18072,2,RNMF2,RAY NEFF METAL FAB 2,RUN MOTHERFUCKER,N,3
4025,2,ASMAN1,ALL SEASONS MAN ONE,LOOKS LIKE ASS MAN 1,N,1
15103,3,MFU,MOTORCYCLES FOR UNITY,OR MAD FUCKED UP OR MIDDLE FINGER UP,N,3
6816,2,SHZNATS,OUT OF THIS WORLD,SHIZNITS(PHRASE),N,2
260,0,FED S 69,"ABBREVIATION OF OUR NAME, FEDER.",no 69 car on ani,N,1
9679,0,EFFS 3OO,no quickweb,EFF (FUCK) HIS NAME IS EFRAIN,N,3
2359,1,1ULV2H8,ONE YOU LOVE TO HATE,ONE YOU LOVE TO HATE,N,2
3883,3,SF SNIPR,SPECIAL FORCES SNIPER,OR SAN FRANCISCO SNIPER,N,2
19304,2,NUKEZ,MUSICIAN NAME,NUKES=WEAPON,N,2
9613,2,BITSHYD,BITS PILANK HYDERABAD CAMPUS ALUMNI,BITCH SHIT,N,3
7752,2,WTF RHD,CAR IS CONVERT TO RIGHT HAND DRIVE,WHAT THE FUCK RHD(RIGHT HAND DRIVE?),N,3
13531,1,415CITY,[AREA CODE]  CITY,415 = AREA CODE,N,2
21832,1,MZENBLU,MAIZE AND BLUE,BLUE,Y,2
20685,1,LNCHBX1,LUNCH BOX,LUNCH BOX,Y,1
21713,1,RED GUTS,RED GUTS(INTERIOR),OFFENSIVE?,N,2
14678,0,O7GF357,"LUCKY NUMBER 7, MY INITIALS, DECEASED BROTHERS BIRTHDAY",357=GUN,N,2
16522,1,MRQ9999,MR QUOC 9999,CONFIGURATION,Y,6
15802,2,ASS HOL,"IM KNOWN AS AN ASSHOLE TO MOST FRIENDS & FAMILY, SO WHY NOT OWN IT.",ASSHOLE,N,3
9074,0,BLUGNGL,NO MICRO,BLUE-GANG. ON A WHALE TALE PLATE,Y,7
20117,1,LOWSTDS,LOW STANDARDS,STD=SEXUALLY TRANSMITTED DISEASE,N,2
14876,2,CEIDYAF,FIRST NAME OF OWNER AND INITALS OF PAST FMAILY MEMBER,CEIDY=SEEDY AF = AS FUCK,N,3
19260,0,AHRIBB,AHRIBABY,"AHRI (KIDS HEART) BB, COULD STAND FOR AHRI LOVES BAREBACK, SEXUAL REFERENCE",Y,1
15643,1,7TFREAK,1970(CAR YEAR) THE FREAK,"FREAK, SOME MAY FIND OFFENSIVE",N,2
15637,2,5OTOSLW,MY MUSTANG HAS A 5.0 LITER ENGINE AND IM MAKING FUN OF IT SAYING ITS TOO SLOW. ITS A  THING THAT CHEVY CAMARO GUYS SAY TO  MUSTANG DRIVERS.,FIVE-OH=POLICE TOO SLOW,N,5
3744,0,MRDRTRD,ITS A BLACK 4RUNNER,MRDR=MURDER,N,2
11124,1,LA NEGRI,NERGRI=BLACK PLURAL IN SPANISH,NEGRI CAN MEAN FEMALE VERSION OF NIGGER OR BABY NIGGER,N,2
695,2,XID MARY,MY CAT IS CROSS EYED MARY,CROSS EYED MARY,N,2
9959,1,FTZYMBZ,FUTZY MERCES BENZ,"FUTZ=CUNT OR FART, ENGLISH (FROM YIDDISH) WIKTIONARY",Y,1
5660,3,F ONE,FORMULA ONE RACING,OR FUCK ONE,N,3
18116,2,NUKEMOM,NUCLEAR ENGINEERING MOM MY SON IS A NUCLEAR ENGINEER FOR OUR UNITED STATES NAVY,NUCLEAR MOM,N,
2491,1,CLAUDKL,GAMING NAME,CLAUD KILL,N,2
6018,1,RZR BOXX,RAZOR BOX,BOX-SLANG FOR VAGINA,N,1
1788,2,2DOMNAT,2 KIDS NAMED DOMINIC AND NATHAN,TO DOMINATE,N,
8447,2,FUYOU,my name,"FUCK YOU, customer name is Fuyou Gu",N,3
9775,2,FUCHI 3,GUMMY OR STICK. THIS IS MY THRID CAR,FUCHI=BAD SMELLING,N,7
405,0,S12 88,MAKE AND YEAR,88-HITLER,Y,2
3003,2,LILDICK,MY NICKNAME,LITTLE DICK,N,3
21342,1,HELLTRN,HELL TRAIN,"HELL, PROFANITY",Y,3
15560,2,PORMEXN,MOMS BIRTHPLACE,POOR MEXICAN\,N,2
20593,1,HILLTTR,HILL(NAME) TRUCK AND TRAILER,LOOKS SIMILAR TO HITLER (CUSTOMERS NAME IS HILL),Y,2
19841,2,HELION 1,WHAT I WAS GROWING UP,HELION=FROM HELL,Y,2
18597,3,PURE LVN,PURE LIVING,OR PURE LOVIN,Y,
4136,2,OH MY 69,OH MY 1969 DATSUN,OH MY 69(SEXUAL),N,1
4248,3,XOXXXOX,HUG AND KISSES SYMBOLS,XXX SEXUAL REFERENCE,N,
3578,2,88HHH88,CHINESE LUCKY NUMBER 8 WITH MY LAST NAME INITIAL,88-HITLER,N,2
2382,1,CUH82BU,SEE YOU HATE TO BE YOU,HATE,N,2
4557,1,ITS MY G,IT IS MY G(CAR MODEL),"g=gangster, HAS A TOYOTA AND INFINITI. COULD BE THE MODEL FOR INFINITI",Y,2
9285,2,MRBGSTF,IM A COOL GUY THATS BIG.,MR BIG STUFF(SONG OR SEXUAL REFERENCE),N,1
7040,1,619,WEDDING ANNIVERSARY. JUNE 19TH,AREA CODE,N,2
3541,0,COLT LQ,NO MICRO,COLTâ€¦. GUN,N,2
15382,0,MUDD 18,HARVEY MUDD CLASS OF 2018 GRAD,18 = GANG NUMBER,N,2
3545,3,DROPN U,DROPPING YOU=LEAVING YOU BEHIND,OR KNOCK SOMEONE OUT.,N,2
6099,0,JS 424,NO MICRO,424 WEST LA AREA CODE,N,7
4397,0,TROJN18,THIS IS MY SCHOOL MASCOT AND THE YEAR I WILL GRADUATE WITH MY MASTERS DEGREE,18-HITLER,N,2
11145,0,EGM 13,"ELK GROVE MILLING, ONE THREE","13=GANG NUMBER, (EGM 12 WAS ISSUED TO SAME COMPANY, DID NOT FIND ANY OTHER PLATES ISSUED IN SEQUENCE)",Y,2
22947,2,HOTTBCH,HOT BEACH,HOT BITCH,N,3
1009,0,FREE RPE,DAD CALLED ME THIS,FREE ROPE?,N,1
18754,3,PAZZO 13,ITALIAN FOR DERANGED/CRAZY,13 = GANG NUMBER?,N,2
6801,0,KCOC323,NO MICRO,"323-LA, BEVERLY HILLS, INGLEWOOD AREA CODES",N,7
1307,2,HYRDKLR,HIRED KILLER FOR TERMITE BUSINESS.,HIRED KILLER,N,2
6304,0,NAZ64,NO MICRO,NAZ-NAZI? NO 64 CAR,N,4
15875,2,1SIKFKR,ONE SICK FUN KOOL RIDE,ONE SICK FUCKER,N,3
1598,2,FOGYOU,WE LOVE THE FOG IN SAN FRANCISCO GROWING UP IN SEATTLE MY PAERNTS PLATES ARE RAINY 1 AND RAINY 2 WOULD LIKE TO CONTINUE THE TRADITION HERE IN SAN FRANCISCO.,fuck you,N,3
4428,2,STFUPLZ,SPEE THE FREEWAY UP PLEASE,SHUT THE FUCK UP PLEASE,N,2
19766,1,BULYPWS,I HAVE BULLDOGS. IT MEANS BULLDOG PAWS,BULLY,Y,2
269,0,GOBALLA,MY LAST NAME IS BALLA,"GO BALLER, CUSTOMER LAST NAME IS BALLA",N,2
22128,1,RX PHO,RX=MEDICINE PHO=SOUP,"RX IS THE SYMBOL FOR PRESCRIPTION DRUGS, DRUG REFERENCE",Y,7D
11631,2,THEBUNZ,NICKNAME,THE BUNS=BUTT,N,1
15744,1,DRAG CAT,DRAG(AS IN DRIFT) HELLCAT(CAR),DOES HAVE A 2016 DODGE. NOT SURE ABOUT DRAG?,Y,2
13364,1,MADMAC,MAD MAC(MOVIE),MAC IS ANOTHER WORD FOR PIMP,Y,3
4559,1,KYLERHO,NAME AND LAST NAME,pulled for ho but it is customers last name,N,1
11448,0,302 13,THE PLATE STANDS FOR THE MODEL AND YEAR OF MY CAR WHICH IS A 2013 BOSS 302 MUSTANG. THE 302 IS FOR BOSS 302 AND THE 13 IS FOR THE MODEL YEAR 2013.,13 GANG RELATED,Y,2
4533,2,69MOBBN,THE 69 STANDS FOR THE YEAR OF THE CAR. WHICH IS A 1969 CAMARO. MOBBIN IS A SLANG TERM FOR HANGING OUT AND DRIVING AROUND TOWN WITH OTHER CLASSIC CARS,69 MOBBING,N,1
19706,0,KBUG13,DAUGHTERS NICKNAME AND NUMBER,"13, GANG REFERENCE (NO TOYOTA ON RECORD)",N,2
4053,1,8ZERO5,AREA CODE,805 AREA CODE,N,2
10622,2,TURBO HO,2000 CHEVY TAHOE WITH A TURBO CHARGER,TURBO HOE,N,1
9712,2,MOB LYFE,JUST A CAR CLUB...I HAVE A BLACK CHRYSLER 300 SHOW CAR AND THAT SEEMED LIKE A FUN PLATE TO HAVE,MOB LIFE,N,2
9505,0,GNTKILA,DAVIS AND GOLIATH,KILLA?,N,2
17071,2,WIKDCAT,WICKED CAT. THE CAR IS A DODGE CHALLENGER HELLCAT. THANKS,WICKED CAT,Y,2
4551,0,DWNNDGN,INITIALS OF FAMILY MEMBERS,DOGGING? CAN HAVE A SEXUAL CONNOTATION.. OR DOWN IN THE DUNGEON? NOT CUSTOMERS INITIALS.,N,1
22884,2,1SLKHOE,CLUB,ONE SLICK(?) HOE,N,2
11951,1,ALLEKT,ALLEY CAT(NICKNAME),"KT=CAT, SEXUAL",Y,1
19989,2,SUPFCKR,WHATS UP FIRE CRACKER,WHATS UP FUCKER,N,3
13102,2,MVEVRNP,WIVES NICKNAME,MOVE OVER AND PEE,N,2
21591,1,SCPO,SENIOR CHIEF PETTY OFFICER,PULLED FOR OFFICER,Y,5
20793,0,KO3A13V,MY AND MY BROTHERS BIRTHDAY,13 GANG REFRENCE,Y,2
18202,0,FA JAPA,FIRST INITIAL TO EVERYONES NAME IN MY FAMILY,JAPA MAY BE OFFENSIVE,N,2
21734,1,HOG BOSS,HOG=MOTORCYCLE BOSS,PULLED FOR BOSS No Harley on ANI,Y,2
1618,1,LO NUTS,LIVE OAKE NUTS(MASCOT),"balls.. GOOGLED Live Oaks High School in Morgan Hill, it says home of the Acorns",N,1
20250,1,GO UGLY,GO UGLY(PHRASE),CALLING SOMEONE UGLY,N,2
16935,0,PP88,PULIWAT,88 = HATE NUMBER,N,2
21884,3,OGSURFR,OLD GUY SURFER,OR ORIGINAL GANGSTER SURFER,N,2
20719,0,ZA MICH,ZAMORA MICHOACAN,THE MITCH ANOTHER NAME FOR BITCH,Y,2
4030,1,FJ55 PIG,FJ55=CAR MODEL. NICKNAMED THE IRON PIG.,PIG,N,5
15565,1,RANDG,ROBERT AND GRISELDA,"G, GANG REFERENCE",N,2
9050,1,AMPD BLU,AMPED BLUE (CAR COLOR),BLUE-GANG,N,7
23205,2,9EFSGVN,MY CAR IS A 1990 HONDA CIVIC CHASSIS (EF9),NO(NEIEN) FUCKS GIVEN,N,3
22207,2,BDCMJB,MY INITIALS,BAD CUM JOB,N,1
1554,3,CREDO13,LATIN FOR I BELIEVE,13-GANG?,N,2
6701,0,JASE 88,EACH LETTER MEANS THE INICIAL OF MY EVERY SINGLE NAME AND LAST NAME AND THE NUMBERS ITS THE YEAR I BORN,88NO 88 CAR,N,2
4651,0,BOYLH8S,PETS NAME BOYLE,BOIL HATES?,Y,2
9838,3,BLACKD2,BLACK D2(CAR MODEL),OR BLACK D AS IN DICK TOO,N,
8330,0,13PENDU,NAME,13 GANG TRANSLATION,N,2
16534,1,PAPO2O9,PAPA [AREA CODE],209 = AREA CODE,N,2
15403,1,SXE CBRA,SEXY COBRA,COULD HAVE SEXUAL CONNOTATION,Y,1
18489,0,ARAS 13,KIDS NAMES AND YEAR MY SON WAS BORN,13 GANG REFERENCE,N,
3966,2,BADASRV,NO MICRO,BAD ASS RV,N,3
10744,2,GOCMNDO,THIS IS FOR A JEEP WHICH WAS ORIGINALLY A MILITARY VEHICLE. A COMMANDO WAS ORIGINALLY A TYPE OF COMBAT UNIT,GO COMANDO=UNDERWEAR LESS,N,1
22083,2,BIMBOS2,CAR CLUB,BIMBO,N,2
