index,plate,review_reason_code,customer_meaning,reviewer_comments,status,valid,meaning
10820,MY13CAM,7,I OWN A 2013 CAMARO,13-GANG NUMBER,N,1,I OWN A 2013 CAMARO
20762,BLIZZ69,1,BLIZZ = WHITE BLIZZARD PAINT COLOR OF CAR; 69 = BIRTH YEAR,69 SEXUAL,N,2,69 SEXUAL
3879,NAHAL G,2,LAST NAME,G AS IN GANGSTER,N,3,LAST NAME G AS IN GANGSTER
2441,G UPINIT,2,FIRST NAME IS GINO HENCE G. AS A PERSONAL TRAINER IM PUSHING MY STUDENTS,Get up in it,N,2,Get up in it
18558,KUDAH,,KATES NICKNAME FOR LIKING SHINNING THINGS LIKE A BARRACUDA,COOTER,N,1,KATES NICKNAME FOR LIKING SHINNING THINGS LIKE A BARRACUDA
11585,DJ DAANK,D,THIS IS MY DJ NAME.,DANK AS IN WEED,N,2,DANK AS IN WEED
4913,NSFW 911,2,PORSCHE MODEL 911,Not safe for work (NSFW),Y,3,PORSCHE MODEL 911 Not safe for work (NSFW)
5935,BCHNART,1,BEACH AND ART,BITCHIN ART,N,2,BITCHIN ART
16241,ROYALDP,1,ROYAL - MY INITIALS,"DP CAN STAND FOR DOUBLE PENETRATION, SEXUAL REFERENCE",N,2,"DP CAN STAND FOR DOUBLE PENETRATION, SEXUAL REFERENCE"
10651,PIE VAN,1,"WE LOVE APPLE, CHERRY, BLUEBERRY AND PUMPKIN PIE",PUSSY VAN?,N,2,PUSSY VAN?
2782,F14 AT,2,F14 = TOMCAT JET AT = NAVY RATING,14 GANG REFERENCE,Y,1,F14 = TOMCAT JET AT = NAVY RATING
23322,CAT CALI,1,MY CATS NAME IS CALI.,CAT,Y,1,MY CATS NAME IS CALI.
19422,NOPOSSI,1,THATS RIGHT IN SPANISH,NOPOSSI = NO PUSSY,N,2,NOPOSSI = NO PUSSY
7172,M9 M9 M9,7,MINE MINE MINE,M9 IS A BERETTA M9,N,2,M9 IS A BERETTA M9
18305,24ME14U,2,TWO FOR ME ONE FOR YOU,14 = GANG NUMBER,Y,1,TWO FOR ME ONE FOR YOU
1850,GLKNSIG,2,TWO FIREARM MANUFACTUERS I LIKE. GLOCK AND SIG SAUER,GUNS,N,1,TWO FIREARM MANUFACTUERS I LIKE. GLOCK AND SIG SAUER
10388,OGVIBES,7,THIS IS A STRONG MEANING TO MYSELF. I AM AN UPLIFTING MAN WHO NEVER LETS PEOPLE AROUND ME BE IN A BAD MOOD.,OG VIBES,N,2,OG VIBES
13767,TCHNGK,2,LOVE TEACHING KINDERGARTEN,"LOOKS SIMILAR TO T CHINK, WHICH CHINK IS A DEROGATORY TERM FOR A PERSON OF CHINESE DESCENT",N,1,LOVE TEACHING KINDERGARTEN
5142,ZEN GAGE,2,THE MEANING OF THE LICENSE PLATE MEANS TO ENGAGE IN PEACE AND MEDITATION. ZEN MEANING THE MEDITATION GARDEN IN JAPAN AND GAGE MEANING IN GOOD FAITH.,GAGE GUN,Y,1,THE MEANING OF THE LICENSE PLATE MEANS TO ENGAGE IN PEACE AND MEDITATION. ZEN MEANING THE MEDITATION GARDEN IN JAPAN AND GAGE MEANING IN GOOD FAITH.
22867,FKYRCH,3,INITIALS OF 3 FRIENDS THAT DIED.IN THE ORDER THEY DIED,FUCK YOU RICH?,N,2,FUCK YOU RICH?
15101,44O B1GB,"3, 7B",NOT ON QUICKWEB YET,"SUB 1 FOR I, AND BIG B=BIG BITCH",N,2,"SUB 1 FOR I, AND BIG B=BIG BITCH"
13853,NUG LIFE,,"OUR FAMILY HOBBY IS PROSPECTING GOLD, MEANING GOLD NUGGET LIFE",THUG LIFE,N,2,THUG LIFE
14131,IEATROX,7D,I OWN A JEEP AND THIS IS IN REFERENCE TO 4X4ING ON THE ROCKS IN THE MOUNTAINS.,COULD BE DRUG REFERNCE,N,1,I OWN A JEEP AND THIS IS IN REFERENCE TO 4X4ING ON THE ROCKS IN THE MOUNTAINS.
291,MACTEP,1,NICKNAME,"MACTEP=RUSSIAN WORD FOR MASTER, DEFINITION ON URBAN DICTIONARY SOUNDS LIKE S&M TYPE MASTER",N,2,"MACTEP=RUSSIAN WORD FOR MASTER, DEFINITION ON URBAN DICTIONARY SOUNDS LIKE S&M TYPE MASTER"
18108,LIK 2 HIT,,CHILDREN PLAYE BASEBALL AND LIKE TO BAT,LIKE TO HIT,N,2,LIKE TO HIT
8751,RD KING1,7,NO MICRO,"ROAD KING, OR RED KING. MOTORCYCLE",Y,2,"ROAD KING, OR RED KING. MOTORCYCLE"
520,BLAYZ,D,CAR NAME (FIRE),"BLAZE=MARIJUANA, NO CHEVY BLAZER ON ANI",N,2,"BLAZE=MARIJUANA, NO CHEVY BLAZER ON ANI"
19264,RODNOCK,1,"ROD KNOCK IS A CONSTANT PROBLEM WITH SUBARUS, THE CAR THIS PLATE WILL BE GOING ON.",ROD CAN BE ANOTHER WORD FOR PENIS,N,2,ROD CAN BE ANOTHER WORD FOR PENIS
15148,71HOTBX,7D,"ITS AN OLD 1971 VW VAN THAT LOOKS LIKE A  BOX. BUT ITS IN GOOD CONDITION, HOT",DRUG REFERENCE,N,2,DRUG REFERENCE
5074,BADAF71,3,BAD AARON FERNANDEZ GRANDFATHERS MAIDEN NAME WHO OWNED PASSED AND OWNED A 1971 CHEVELLE,BAD AS FUCK,N,2,BAD AS FUCK
22690,BIGRRED,2,BIGGER RED,"RED, GANG REFERENCE",Y,1,BIGGER RED
15056,4BUCKIN,,FORD BRONCO,SOUNDS LIKE FOR FUCKIN,N,2,SOUNDS LIKE FOR FUCKIN
1096,88 PORS,2,YEAR OF CAR,88 HITLER REFERENCE.. CUSTOMER DOES HAVE AN 88 PORS,Y,1,YEAR OF CAR
22318,RLL HRD,1,DESCRIBES ENGINE IN VEHICLE,REAL HARD,N,2,REAL HARD
19779,LCNLOAD,2,NICKNAME,LOCK AND LOAD,N,2,LOCK AND LOAD
3210,DUBZ51O,2,"MY NICKNAME AND WHERE IM FROM, DUBS COULD ALSO MEAN WINS",CA AREA CODE,N,1,"MY NICKNAME AND WHERE IM FROM, DUBS COULD ALSO MEAN WINS"
11605,LCAT 707,2,MODEL OF VEHICLE AND HORSEPOWER,707 AREA CODE,Y,3,MODEL OF VEHICLE AND HORSEPOWER 707 AREA CODE
22531,LXUS688,2,PERSONAL LUCKY NUMBERS,88 = HATE NUMBER,Y,1,PERSONAL LUCKY NUMBERS
10597,G THANG5,2,GUTIERREZ IS MY LAST NAME AND THERE IS FIVE OF US IN MY FAMILY,G THANG AS IN GANGSTA THANG,N,2,G THANG AS IN GANGSTA THANG
21897,REDTEE,2,FAVORITE COLOR AND FIRST NAME,RED=GANG COLOR,Y,1,FAVORITE COLOR AND FIRST NAME
12432,NAYNAY1,,NICK NAME OF FIRST NAME (RENEE),NAY NAY CAN BE A ANOTHER WORD FOR VAGINA,Y,1,NICK NAME OF FIRST NAME (RENEE)
21691,IH8T4O5,2,I HATE THE 405 FREEWAY,PULLED FOR HATE,N,1,I HATE THE 405 FREEWAY
20913,1971 PIG,,YEAR I WAS BORN AND THE TRUCK IS FOR SHOP USE TO MOVE ITEMS AROUND IN THE MUD.,PIG,N,1,YEAR I WAS BORN AND THE TRUCK IS FOR SHOP USE TO MOVE ITEMS AROUND IN THE MUD.
2670,BLU LINE,7,SUPPORT OF POLICE OFFICERS,BLUE GANG COLOR,Y,1,SUPPORT OF POLICE OFFICERS
6324,EG OKI,4,ERIMI GARDUNO OKINAWA,VET PLATE. OKI- LIKE OKIE RACIAL SLUR,Y,1,ERIMI GARDUNO OKINAWA
1704,RNBW WAR,2,"IT MEANS RAINBOW WARRIOR, probably war against gays ""rainbow"" being gay",pulled for war,N,1,"IT MEANS RAINBOW WARRIOR, probably war against gays ""rainbow"" being gay"
13111,RMRZ 714,2,RMRZ IS AN ABBREVIATION FOR RAMIREZ WICH IS A LAST NAME AND 714 MY AREA CODE,714 AREA CODE,N,1,RMRZ IS AN ABBREVIATION FOR RAMIREZ WICH IS A LAST NAME AND 714 MY AREA CODE
17777,IS 16 MAG,2,INTIALS,MAG  AS INMAGAZIEN GUN,N,2,MAG  AS INMAGAZIEN GUN
12887,OLBLU68,2,ITS A 1968 BLUE CHEVY CONVERTIBLE SO AN OLDER BLUE CLASSIC CAR OR OL BLUE,"BLUE, GANG REFERENCE",Y,1,ITS A 1968 BLUE CHEVY CONVERTIBLE SO AN OLDER BLUE CLASSIC CAR OR OL BLUE
7500,DRK MRK,2,"THE NICKNAME GIVEN ME BY MY FRIENDS IS DARK MARK, AS I AM NAMED MARK AND CAN NEVER GET TAN. OVER THE YEARS I HAVE EMBRACED THE NAME.",DARK MARK,N,1,"THE NICKNAME GIVEN ME BY MY FRIENDS IS DARK MARK, AS I AM NAMED MARK AND CAN NEVER GET TAN. OVER THE YEARS I HAVE EMBRACED THE NAME."
1421,13B FTW,3,13B ENGINE FOR THE WIN,FTW,N,1,13B ENGINE FOR THE WIN
21143,PSTACCI,,NICKNAME - PINO STACCI,MEDICAL TERM FOR CHLAMYDIA,N,1,NICKNAME - PINO STACCI
19537,PCMRR8C,2,PC MASTER RACE,pulled because of master race,N,1,PC MASTER RACE
5755,BLDNGUT,2,TRAUMA SURGEON (BLOOD AND GUT),BLOOD AND GUT,N,1,TRAUMA SURGEON (BLOOD AND GUT)
18030,FUNDU,2,"IM A LOAN OFFICER AND FUND LOANS;  FUND U MEANING, I WILL FUND YOUR LOAN.","YOU, HOSTILE",N,1,"IM A LOAN OFFICER AND FUND LOANS;  FUND U MEANING, I WILL FUND YOUR LOAN."
1705,RNUOVER,2,RUN YOU OVER. IT WILL GO ON A 4X4 JEEP JK.,"THREATENING, RUN YOU OVER",N,2,"THREATENING, RUN YOU OVER"
20634,65QTPIE,1,1965 IS THE YEAR OF MY CAR QT PIE CAUSE IT A AUSTIN MINI COOPER SUPER SMALL AN REALLY CUTE,"65 car year, QT Pie = Cutie pie",Y,2,"65 car year, QT Pie = Cutie pie"
4461,RMBER M3,7B?,Remember Me,"same situation as PARDN M3 above, this customer has BMW but RMBER ME is currently registered. Look-alike?",N,1,Remember Me
7263,CHRRBMB,2,CHERRY BOMB IS THE NAME OF MY 1999 RED MAZDA MIATA,BOMB,N,1,CHERRY BOMB IS THE NAME OF MY 1999 RED MAZDA MIATA
22851,MNTN BLU,2,WE LIVE IN THE MOUNTAINS AND DRIVE A BLUE CAR,"BLUE, GANG REFERENCE",Y,1,WE LIVE IN THE MOUNTAINS AND DRIVE A BLUE CAR
18402,C8ZBTCH,3,MY NICKNAME,"BTCH COULD BE SHORT FOR BITCH, PROFANITY",N,2,"BTCH COULD BE SHORT FOR BITCH, PROFANITY"
3392,MDL 3SOM,2,WILL BE FOR MY TESLA MODEL THREE AND IS ALSO A GOLFING PUN,THREESOME SEXUAL REFERENCE,N,2,THREESOME SEXUAL REFERENCE
19944,LAHUEVA,3,FEELING LAZY,SIMILAR TO AHUEVO WHICH MEANS FUCK YEAH IN SPANISH,Y,2,SIMILAR TO AHUEVO WHICH MEANS FUCK YEAH IN SPANISH
2351,POS BUG,3,NO MICRO,PIECE OF SHIT BUG,N,2,PIECE OF SHIT BUG
1959,DX SZN,1,OLD GROUP NAME WITH SEASON AT THE END,DICK SEASON,N,2,DICK SEASON
17025,MEAT ME,1,MY FAMILY OWNS A MEAT DISTRIBUTION COMPANY AND IT IS A CLEVER PLATE CONSIDERING ALL MY FAMILY MEMBERS HAVE MEAT RELATED PLATES,MEAT ME.. SEXUAL REFERENCE,N,1,MY FAMILY OWNS A MEAT DISTRIBUTION COMPANY AND IT IS A CLEVER PLATE CONSIDERING ALL MY FAMILY MEMBERS HAVE MEAT RELATED PLATES
2451,MDRNWGN,2,MODERN WAGON,MURDERING (OR IN) WAGON,Y,1,MODERN WAGON
10594,DK$LOVE,1,D IS FOR MY HUSBAND K IS FOR ME. OUR LOVE,LOOKS LIKE DICKLOVE,N,2,LOOKS LIKE DICKLOVE
1119,1UGOBLK,1,ONCE YOU GO BLACK,"ONCE YOU GO BLACK, YOU NEVER GO BACK SEXUAL REFERENCE",N,2,"ONCE YOU GO BLACK, YOU NEVER GO BACK SEXUAL REFERENCE"
5104,JADEAD,2,SONG LYRICS,JAH DEAD,N,2,JAH DEAD
6130,$TAPPED,1,Love TAPPED,TAPPED MEANS TO HAVE SEX,N,1,Love TAPPED
15099,TRD FURY,3,vehicle model + fury,"TURD FURY, ani shows 2 Toyota cars",N,2,"TURD FURY, ani shows 2 Toyota cars"
1233,FYF,3,FACE YOUR FEARS,URBAN SAYS FUCK YOUR FEELINGS BUT NOT MANY THUMBS UP 43 UP 13 DOWN,N,2,URBAN SAYS FUCK YOUR FEELINGS BUT NOT MANY THUMBS UP 43 UP 13 DOWN
20782,HBLHSTL,2,HUMBLE HUSTLE,HUSTLE,N,1,HUMBLE HUSTLE
12500,CHKNNTZ,,Chicken Nuts,"NUTS, SEXUAL TERM",N,1,Chicken Nuts
19282,BJ69GTO,1,BRYAN JONES 1969 PONTIAC GTO,"BJ AND 69, SEXUAL REFERENCE (CANT SEE 1969)",N,2,"BJ AND 69, SEXUAL REFERENCE (CANT SEE 1969)"
11613,NGOC666,2,THIS IS MY NAME 666 LUCKY NUMBER,666 MARK OF THE BEAST,Y,2,666 MARK OF THE BEAST
1645,SUR FIRE,2,SUREFIRE,SUR=SURENOS GANG,N,1,SUREFIRE
6937,FURFAN,1,LOVE ALL ANIMALS (FURRY),FUR  FAN,N,1,LOVE ALL ANIMALS (FURRY)
2924,KTY MOBL,1,KITTY MOBILE,PUSSY WAGON?,N,2,PUSSY WAGON?
20986,H982 FKD,3,FROM BBCS TOP GEAR,"first, looks like fucked. Second, is a take on the controversial plate aired on Top Gear (H982 FKL) that was thought to be making fun of the Faukland War of 1982. H982 FKL is marked unacceptable",N,2,"first, looks like fucked. Second, is a take on the controversial plate aired on Top Gear (H982 FKL) that was thought to be making fun of the Faukland War of 1982. H982 FKL is marked unacceptable"
10613,2FKNSLO,3,TO FRENCH KISS IN SAN LUIS OBISPO,TOO FUCKIN SLOW,N,2,TOO FUCKIN SLOW
10301,PHILDZZ,1,MY NAME,LOOKS LIKE FEEL DEEZ LIKE DEEZ NUTS CUSTOMERS NAME IS PHIL,N,2,LOOKS LIKE FEEL DEEZ LIKE DEEZ NUTS CUSTOMERS NAME IS PHIL
18065,BBRELAX,1,MY INITIALS AND I LIKE TO RELAX BECAUSE IM  RETIRED,"BB COULD STAND FOR BAREBACK, SEXUAL REFERENCE",N,1,MY INITIALS AND I LIKE TO RELAX BECAUSE IM  RETIRED
8110,LTLBLU,2,NAME OF MY CAR IS LITTLE BLUE,BLUE-GANG,Y,1,NAME OF MY CAR IS LITTLE BLUE
3814,YOU SLOW,2,YOU SLOW,PULLED BECAUSE OF YOU,N,1,YOU SLOW
18240,AG GT5OH,3,"AG IS THE CHEMICAL ELEMENT NAME FOR SILVER, WHICH IS MY CARS COLOR. GT IS THE SUBMODEL AND 5-0H IS THE ENGINE SIZE.",GET THE FUCK OUTTA HERE,Y,2,GET THE FUCK OUTTA HERE
19646,SKYBOXD,D7,SKY BOXED,BOXD HIGH,Y,3,SKY BOXED BOXD HIGH
10366,1CUSHJD,7,I HAVE A LAW DEGREE,URBAN DICTIONARY SAYS IT IS HYDROPHONIZ MARIJUANA AND KUSH IS A MAGAZINE ON MARIJUANA,N,2,URBAN DICTIONARY SAYS IT IS HYDROPHONIZ MARIJUANA AND KUSH IS A MAGAZINE ON MARIJUANA
1509,GDFELAS,2,GOOD FELLAS MY FAVORITE MOVIE,GOOD FELLAS IN A MOB GANG MOVIE,N,2,GOOD FELLAS IN A MOB GANG MOVIE
13873,SB BOB1,,CITY/NAME,BOB,N,1,CITY/NAME
15997,MONKYMO,1,MONKEY MO IS MY NICKNAME,PULLED FOR MONKEY,N,1,MONKEY MO IS MY NICKNAME
22876,SHAKE 4M,1,MY CAR IS A SHAKER MODEL 4 MEAN FOR M IS FIRST LETTER OF MY NAME MICHAEL,SHAKE FOR THEM - Cant see ANI for Dodge Challenger,N,2,SHAKE FOR THEM - Cant see ANI for Dodge Challenger
2582,N LV TNT,2,IN LOVE TONY AND TONI,TNT BOMB E,N,2,TNT BOMB E
5954,IMNUDY,1,MY FRIENDS CALL ME NUDY INSTEAD OF MY NAME NUTI. ITS ALWAYS MISPRONOUNCED BUT COMES OUT AS NUDY ALL THROUGH HIGH SCHOOL. SO MY NICKNAME IS MATTHEW NUDY,IM NUDE-Y. CUSTOMERS LAST NAME IS NUTI,Y,3,MY FRIENDS CALL ME NUDY INSTEAD OF MY NAME NUTI. ITS ALWAYS MISPRONOUNCED BUT COMES OUT AS NUDY ALL THROUGH HIGH SCHOOL. SO MY NICKNAME IS MATTHEW NUDY IM NUDE-Y. CUSTOMERS LAST NAME IS NUTI
11475,NFGIVN,3,NOT FORGIVEN,NO FUCKS GIVEN,N,2,NO FUCKS GIVEN
14934,22A3VOM,3,"22 AGE ON BEST FRIEND DYING, 3VOM 3 KIDS FIRST INITIAL OF EACH CHILD",MOVE ASS,N,2,MOVE ASS
20950,BISH BUS,3,"BISH(OP) IS OUR LAST NAME, AND BUS IS A NICKNAME FOR OUR FAMILIES FIRST SUV",BITCH BUS.. CUSTOMER LAST NAME IS BISHOP,N,3,"BISH(OP) IS OUR LAST NAME, AND BUS IS A NICKNAME FOR OUR FAMILIES FIRST SUV BITCH BUS.. CUSTOMER LAST NAME IS BISHOP"
11319,KLL*JOY/,D,"KILL JOY, SOMEONE WHO INSISTS SOBEI ANALYSIS, NOT FUN","KILL AND JOY, KILL CAN BE OFFENSIVE",N,2,"KILL AND JOY, KILL CAN BE OFFENSIVE"
21129,LAZYCAT,,JUST LAZY. MY CAT IS LAZY.,CAT,Y,1,JUST LAZY. MY CAT IS LAZY.
5626,DAM ESE,3,NO MICRO,DAMN ESE,N,2,DAMN ESE
22327,SYCOPTH,2,CRAZY,PSYCHOPATH,N,2,PSYCHOPATH
11243,DOZER NO,D,DOGS NAME,DOZER=SLANG FOR MARIJUANA,N,2,DOZER=SLANG FOR MARIJUANA
2827,SIC FISH,1,SICK FISH,FISH,N,1,SICK FISH
16251,URFANCY,2,THAT YOUR FANCY,"U, HOSTILE",Y,1,THAT YOUR FANCY
15368,LAROOKA,2,OLDER LADY in chilean slang,OFFENSIVE?,Y,1,OLDER LADY in chilean slang
9372,BOSTN BS,2,BOSTON BRUINS,BS LOOKS LIKE BULL SHIT,N,2,BS LOOKS LIKE BULL SHIT
20707,TOITACO,1,TOYOTA TACOMA,TOY TACO,N,1,TOYOTA TACOMA
12021,MYDIX4U,1,HIGH SCHOOL NAME,MY DICK IS FOR YOU,N,2,MY DICK IS FOR YOU
12351,BLEUSTL,,BLUE STEEL.,"BLUE, GANG REFERENCE",Y,1,BLUE STEEL.
9528,PLZDNH8,2,PLEASE DONT HATE,PLEASE DONT HATE,N,1,PLEASE DONT HATE
23306,CATS GE,1,COMPANY NAME,CATS,Y,3,COMPANY NAME CATS
3042,SAMS TT,1,SAMS AUDI TT,TT SEXUAL REFERENCE,Y,2,TT SEXUAL REFERENCE
7066,SUPTNRA,7,I LIVE IN A NAVY MILITARY COMMUNITY/TOWN AND WANT TO SHOW SUPPORT FOR OUR NAVY RETIREMENT ASSOCIATION,NRA-NATIONAL RIFLE ASSOCIATION,Y,2,NRA-NATIONAL RIFLE ASSOCIATION
3037,MOMLSHT,3,MY WIFES LS HARD TOP,MOMLL SHIT MOM WILL SHIT,N,2,MOMLL SHIT MOM WILL SHIT
9980,LRG RED,2,IT IS A BIG STATION WAGON THAT IS PAINTED RED,RED=GANG COLOR,Y,1,IT IS A BIG STATION WAGON THAT IS PAINTED RED
12554,NOKJEFE,2,NONE,JEFE,N,2,JEFE
21706,NEGRO49,2,BLACK 1949,PULLED FOR NEGRO,N,3,BLACK 1949 PULLED FOR NEGRO
22600,D MALO,1,THE (D) STANDS FOR MY NAME DANIEL.  THE PART MALO IS THE OPPOSITE OF MY LAST NAME IN SPANISH(BUENO).,THE D COULD STAND FOR DICK,Y,1,THE (D) STANDS FOR MY NAME DANIEL.  THE PART MALO IS THE OPPOSITE OF MY LAST NAME IN SPANISH(BUENO).
22264,B MOIST,1,I STARTED WORKING WITH AN MLM SELLING MOISTURIZERS FOR SKIN AND HARI. FRIENDS STARTED CALLING BE BEN THE MOISTURIZING MAN WHICH EVENTUALLY SHORTENED TO B. MOIST.,SEXUAL,N,2,SEXUAL
23096,PPABRN,2,POPPA BROWN,PP,Y,3,POPPA BROWN PP
15342,DURDEE,1,FAMILY NICK NAME,COULD HAVE SEXUAL CONNOTATION,N,2,COULD HAVE SEXUAL CONNOTATION
19,H8DES,2,FAVORITE GREEK MYTH,HATE DES,N,1,FAVORITE GREEK MYTH
16068,G VANYA,2,VANYA - GIFT OF GOD; G STANDS FOR GOSWAMI WHICH IS MY LAST NAME,STAND ALONE G,N,1,VANYA - GIFT OF GOD; G STANDS FOR GOSWAMI WHICH IS MY LAST NAME
5591,6 CHORNI,1,CHORNI MEANS BLACK IN RUSSIAN. CAR IS BLACK.,google translate  says it means horney,N,2,google translate  says it means horney
5738,SED8N RN,2,SEDATING RN,SEDATING NURSE. questioning because of sedating,N,1,SEDATING RN
216,GOFUKIT,3,FOR MOTORCYCLE,GO FUCK IT,N,2,GO FUCK IT
18782,CMXXV,2,"ITS 925 IN ROMAN NUMERALS, MY ADDRESS AT THE LAST 2 HOUSES IVE LIVED IN.","925 IN ROMAN NUMERALS, AREA CODE",N,2,"925 IN ROMAN NUMERALS, AREA CODE"
3249,H8MENOW,2,"NOW THAT IM DRIVING, HATE ME FOR THAT",Hate me now,N,2,Hate me now
10481,$JAP G,2,NAME OF THE KID,JAP IS RACIALLY OFFENSIVE,N,2,JAP IS RACIALLY OFFENSIVE
4065,ADVTACO,1,ADVENTURE TACOMA,TACO,N,1,ADVENTURE TACOMA
14207,THOTIE,3,ME,THOT IS ANOTHER WORD FOR HOE/SLUT,N,2,THOT IS ANOTHER WORD FOR HOE/SLUT
12206,818GIRL,2,VALLEY GIRL,818 = AREA CODE,N,3,VALLEY GIRL 818 = AREA CODE
14818,SWTWAGN,1,SWEET WAGON,COULD BE SWEET WAGON BUT COULD ALSO BE SWEAT WAGON WHICH COULD BE TAKEN AS SEXUAL,Y,1,SWEET WAGON
19853,LUV WORM,1,WIFE NICKNAME,COULD HAVE SEXUAL CONNOTATION,N,2,COULD HAVE SEXUAL CONNOTATION
21360,LOL AF,3,LOL = LAUGH OUT LOUD AF = MY STANDUP COMEDY NAME ALEX FUNNY,AF CAN STAND FOR AS FUCK,N,1,LOL = LAUGH OUT LOUD AF = MY STANDUP COMEDY NAME ALEX FUNNY
17378,GSOLMAN,2,FIRST INITIAL AND LAST NAME,"G, GANG REFERENCE",N,1,FIRST INITIAL AND LAST NAME
16737,DOPEG37,7D,NICE G37,"DOPE, DRUG REFERENCE",N,2,"DOPE, DRUG REFERENCE"
2806,FN FUN,3,FOR NIKKIS FUN,FUCKING FUN,N,2,FUCKING FUN
2584,REDCROC,2,COLORED REPTILE,RED CROC,Y,2,RED CROC
7842,RED LDR,7,SCI-FI MOVIE REFERENCE. RED LEADER.,RED-GANG COLOR,N,1,SCI-FI MOVIE REFERENCE. RED LEADER.
1092,ITZ DOPE,D,ITS COOL,DOPE AS IN DRUGS ITSDOPE HAS BEEN DEEMED UNACCEPTABLE,N,1,ITS COOL
17772,HELL BAE,3,SHELBY + BABY = HELLBAE BEFORE ANYONE ELSE),HELL,N,2,HELL
248,CICARIO,2,5XPP825,SICARIO MEANS HITMAN OR HIRED KILLER IN SPANISH,N,2,SICARIO MEANS HITMAN OR HIRED KILLER IN SPANISH
22832,BLZMBL,7D,BLUESMOBILE,"BLAZE MOBILE, DRUG REFERENCE",N,2,"BLAZE MOBILE, DRUG REFERENCE"
14353,NEG POS,3,ELECTRIC VEHICLE,POS = PIECE OF SHIT,N,1,ELECTRIC VEHICLE
1809,WAN KAH,,MEANS NOTHING TO COMPLAIN ABOUT,WANKER A SLANG WORD FOR SOMEONE WHO UPSETS YOU,N,2,WANKER A SLANG WORD FOR SOMEONE WHO UPSETS YOU
4427,SOLO MOB,2,SOLO MEANS BY YOURSELF AND MOB MEANS GROUP OF PEOPLE SO IT MEANS BY MYSELF AS A GROUP,MOB,N,2,MOB
15248,FAQ BISH,3,A T-SHIRT LINE IM STARTING UP,FUCK BITCH,N,2,FUCK BITCH
21923,1T1I1T1,1,MY LUCKY NUMBER AND MY FAVORITE LETTERS,SAYS TIT WITH NUMBERS IN BETWEEN THE LETTERS,N,2,SAYS TIT WITH NUMBERS IN BETWEEN THE LETTERS
9538,559JATT,7,559 IS MY AREA CODE AND JATT MEANING IS HARD WORKINGMAN,559 FRESNO AREA CODE,N,3,559 IS MY AREA CODE AND JATT MEANING IS HARD WORKINGMAN 559 FRESNO AREA CODE
4045,1 BD BECH,3,I SPEND ALMOST ALL MY DAYS AT PISMO BEACH OFF ROADING WITH THIS TRUCK ONE BAD(AS IN GOOD) BEACH,1 BAD BITCH,N,2,1 BAD BITCH
23441,53OCALI,2,WANTING TO REPRESENT CALIFORNIA,"530 IS CUSTOMERS AREA CODE IN ORLAND, CA",N,3,"WANTING TO REPRESENT CALIFORNIA 530 IS CUSTOMERS AREA CODE IN ORLAND, CA"
13631,HTNFOOL,,HUNTING FOOL,HATIN FOOL,N,2,HATIN FOOL
2440,FUN FD,5,FUN FOOD,FUN FIRE DEPT,Y,1,FUN FOOD
3223,1NSTY V,1,A CAR THAT LOOKS REALLY GOOD NOT MEANING ANY OFFENSIVE WORDS,ONE NASTY V,N,2,ONE NASTY V
18745,WEEEEED,7D,WEED CALIFORNIA,WEED,N,2,WEED
22979,TYJUICY,1,THANK YOU TO MY DECEASED HUSBAND,PULLED FOR JUICY,N,3,THANK YOU TO MY DECEASED HUSBAND PULLED FOR JUICY
8415,DUB JUKE,3,my nickname is dub. I own a nissan juke car.,dub can have a drug connotation,N,3,my nickname is dub. I own a nissan juke car. dub can have a drug connotation
14733,DR DABS,7D,NICKNAME,"DABS=BUTANE HASH OIL, DRUG CONNOTATION",N,3,"NICKNAME DABS=BUTANE HASH OIL, DRUG CONNOTATION"
17064,U CUTEAF,3,"IT MEANS YOURE VERY CUTE AND THOUGHT MAYBE IF PEOPLE READ THIS, ID MAKE THEM SMILE AND MAKE THEIR DAY A LITTLE BETTER.",YOU CUTE AS FUCK,N,2,YOU CUTE AS FUCK
20206,31O HB,2,AREA CODE HERMOSA BEACH,310 = AREA CODE,N,3,AREA CODE HERMOSA BEACH 310 = AREA CODE
3988,DMNBLUE,3,NO MICRO,DAMN BLUE,N,2,DAMN BLUE
20669,DOUGHHO,1,STUFFED BAKERY DOUGH MAKER,HOE,N,3,STUFFED BAKERY DOUGH MAKER HOE
4802,SEXXER,1,NICKNAME FOR CAR (6-SERIES/ SIXER/ SEXXER),SEXER,N,2,SEXER
19734,YOWMOMA,2,YO MOMMA,"YO MOMA, COULD BE TAKEN AS HOSTILE",N,1,YO MOMMA
19834,DRTYHRS,1,MUDDY 4X4 FORD BRONCO. BRONCO IS THE HORSE EMBLEM ON THE TRUCK,COULD HAVE SEXUAL CONNOTATION,N,3,MUDDY 4X4 FORD BRONCO. BRONCO IS THE HORSE EMBLEM ON THE TRUCK COULD HAVE SEXUAL CONNOTATION
6896,BADDA6O,3,SLANG FOR NICE ALTERED 1960,LOOKS LIKE BAD ASS 60,N,2,LOOKS LIKE BAD ASS 60
20144,BUD1956,7D,NOT ON QUICKWEB,"BUD CAN MEAN MARIJUANA, NOT HIS NAME",N,2,"BUD CAN MEAN MARIJUANA, NOT HIS NAME"
